seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,39120,3512255,89.7815695296524
chr1,100001,200000,100000,*,39947,3242072,81.1593361203595
chr1,200001,300000,100000,*,37565,3368388,89.668255024624
chr1,300001,400000,100000,*,36195,3271390,90.3823732559746
chr1,400001,500000,100000,*,35695,3232584,90.561255077742
chr1,500001,600000,100000,*,34418,2971279,86.3292172700331
chr1,600001,700000,100000,*,34302,2923239,85.2206576875984
chr1,700001,800000,100000,*,36186,3149865,87.0465096998839
chr1,800001,900000,100000,*,36385,3190542,87.6883880720077
chr1,900001,1000000,100000,*,36607,3067989,83.8088070587593
chr1,1000001,1100000,100000,*,38067,2998797,78.7768145637954
chr1,1100001,1200000,100000,*,34637,1386100,40.017899933597
chr1,1200001,1300000,100000,*,34386,1417518,41.2236956901064
chr1,1300001,1400000,100000,*,37664,1764281,46.8426348768054
chr1,1400001,1500000,100000,*,35446,1577582,44.5066298030807
chr1,1500001,1600000,100000,*,35957,1621354,45.0914703673833
chr1,1600001,1700000,100000,*,36748,1659226,45.1514640252531
chr1,1700001,1800000,100000,*,37304,1709318,45.8213060261634
chr1,1800001,1900000,100000,*,36219,1589309,43.880532317292
chr1,1900001,2000000,100000,*,35613,1571137,44.1169516749502
chr1,2000001,2100000,100000,*,37014,1606985,43.4155995028908
chr1,2100001,2200000,100000,*,36615,1619156,44.221111566298
chr1,2200001,2300000,100000,*,36922,1673220,45.3176967661557
chr1,2300001,2400000,100000,*,35792,1588215,44.373463343764
chr1,2400001,2500000,100000,*,38142,2065679,54.1575953017671
chr1,2500001,2600000,100000,*,38535,1810492,46.9830543661606
chr1,2600001,2700000,100000,*,37696,1752697,46.4955698217317
chr1,2700001,2800000,100000,*,38403,1799471,46.8575632112075
chr1,2800001,2900000,100000,*,37168,1741410,46.8523999139044
chr1,2900001,3000000,100000,*,37181,1737523,46.7314757537452
chr1,3000001,3100000,100000,*,37374,1637802,43.8219617916198
