geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
augustus_masked-chr4-processed-gene-143.10	chr4	14354046	14362408	14359550	14360339	789	increase
maker-chr4-augustus-gene-72.1	chr4	7234437	7235305	7235037	7235972	268	increase
maker-chr4-augustus-gene-69.4	chr4	6939365	6943026	6939643	6940089	446	increase
maker-chr4-augustus-gene-90.1	chr4	9033016	9039107	9032767	9033703	688	increase
augustus_masked-chr4-processed-gene-49.18	chr4	4950560	4959461	4950694	4951449	755	increase
augustus_masked-chr4-processed-gene-51.22	chr4	5103272	5103781	5103412	5104185	369	increase
maker-chr4-augustus-gene-79.2	chr4	7919633	7920905	7919889	7920618	729	increase
augustus_masked-chr4-processed-gene-35.12	chr4	3495603	3496601	3495521	3495895	293	increase
augustus_masked-chr4-processed-gene-201.3	chr4	20110206	20110887	20110630	20110702	72	increase
augustus_masked-chr4-processed-gene-163.15	chr4	16347335	16349200	16347807	16348344	537	increase
maker-chr4-augustus-gene-75.18	chr4	7491220	7493528	7491011	7491581	362	increase
maker-chr4-augustus-gene-150.10	chr4	15053473	15053944	15053721	15054298	223	increase
augustus_masked-chr4-processed-gene-81.14	chr4	8178978	8182667	8179516	8182185	2669	increase
maker-chr4-augustus-gene-143.39	chr4	14366377	14366841	14366050	14366397	21	increase
augustus_masked-chr1-processed-gene-355.3	chr1	35547187	35548214	35548135	35548696	79	increase
maker-chr1-augustus-gene-372.20	chr1	37253792	37254503	37252641	37254513	712	increase
augustus_masked-chr1-processed-gene-373.6	chr1	37317606	37318865	37317848	37318406	558	increase
augustus_masked-chr1-processed-gene-298.12	chr1	29831053	29832333	29831784	29832322	538	increase
augustus_masked-chr1-processed-gene-18.21	chr1	1785183	1785695	1785187	1785638	451	increase
maker-chr1-augustus-gene-122.24	chr1	12169404	12225362	12188917	12189375	458	increase
augustus_masked-chr1-processed-gene-273.26	chr1	27357060	27358013	27357064	27357404	340	increase
maker-chr1-augustus-gene-295.42	chr1	29567401	29583835	29576760	29577378	618	increase
augustus_masked-chr1-processed-gene-180.32	chr1	18068150	18068728	18067999	18068338	189	increase
augustus_masked-chr1-processed-gene-206.4	chr1	20633720	20634100	20633412	20633966	247	increase
maker-chr1-augustus-gene-205.2	chr1	20531862	20534873	20533892	20534402	510	increase
maker-chr1-augustus-gene-6.8	chr1	594657	597625	596072	596471	399	increase
maker-chr1-augustus-gene-44.16	chr1	4487246	4488554	4487336	4487897	561	increase
augustus_masked-chr1-processed-gene-288.3	chr1	28798792	28832918	28826306	28827506	1200	increase
maker-chr1-augustus-gene-49.12	chr1	4934771	4940762	4936625	4937167	542	increase
augustus_masked-chr1-processed-gene-355.2	chr1	35501505	35518664	35509904	35510173	269	increase
augustus_masked-chr1-processed-gene-313.0_augustus_masked-chr1-processed-gene-313.1	chr1	31281929	31294595	31288195	31288781	586	increase
maker-chr1-augustus-gene-284.15	chr1	28472882	28473735	28473542	28474028	193	increase
maker-chr1-augustus-gene-372.16	chr1	37251276	37253209	37252641	37254513	568	increase
augustus_masked-chr1-processed-gene-355.1	chr1	35497699	35499287	35499211	35499372	76	increase
maker-chr1-augustus-gene-286.9	chr1	28586261	28654725	28599762	28600744	982	increase
maker-chr1-augustus-gene-122.15	chr1	12186916	12189641	12188917	12189375	458	increase
maker-chr1-augustus-gene-49.2	chr1	4933780	4936728	4936625	4937167	103	increase
maker-chr1-augustus-gene-301.36	chr1	30050918	30054320	30050956	30051398	442	increase
maker-chr8-augustus-gene-192.25	chr8	19223855	19224305	19224023	19224694	282	increase
maker-chr8-augustus-gene-205.13	chr8	20518580	20519524	20519325	20520951	199	increase
maker-chr8-augustus-gene-145.15	chr8	14500160	14502128	14499874	14501108	949	increase
augustus_masked-chr8-processed-gene-46.16	chr8	4660795	4661333	4660587	4661109	315	increase
augustus_masked-chr8-processed-gene-205.37	chr8	20520271	20520940	20519325	20520951	670	increase
maker-chr8-augustus-gene-123.13	chr8	12343346	12347353	12342343	12343414	69	increase
maker-chr8-augustus-gene-145.14	chr8	14496657	14499767	14490130	14496727	71	increase
maker-chr8-augustus-gene-145.12	chr8	14493217	14494561	14490130	14496727	1345	increase
maker-chr8-augustus-gene-145.11	chr8	14491480	14492824	14490130	14496727	1345	increase
maker-chr8-augustus-gene-145.13	chr8	14494938	14496282	14490130	14496727	1345	increase
augustus_masked-chr8-processed-gene-205.34_augustus_masked-chr8-processed-gene-205.38	chr8	20512198	20529019	20519325	20520951	1626	increase
maker-chr8-augustus-gene-172.8	chr8	17269768	17274688	17271363	17272047	684	increase
maker-chr8-augustus-gene-145.10	chr8	14489743	14491354	14490130	14496727	1224	increase
maker-chr8-augustus-gene-11.7	chr8	1116977	1122864	1122777	1123212	87	increase
maker-chr5-augustus-gene-105.2	chr5	10535848	10537543	10537413	10537975	130	increase
augustus_masked-chr5-processed-gene-109.6	chr5	10972060	10975563	10974086	10974572	486	increase
maker-chr5-augustus-gene-57.15_maker-chr5-augustus-gene-57.16	chr5	5703331	5732284	5706009	5706738	729	increase
maker-chr5-augustus-gene-57.15_maker-chr5-augustus-gene-57.16	chr5	5703331	5732284	5718280	5719031	751	increase
maker-chr5-augustus-gene-75.8	chr5	7531043	7533394	7530447	7531135	93	increase
maker-chr5-augustus-gene-118.4	chr5	11881668	11884880	11884872	11886071	8	increase
augustus_masked-chr5-processed-gene-39.0	chr5	3891712	3892414	3891625	3892678	703	increase
augustus_masked-chr5-processed-gene-175.17	chr5	17485129	17491503	17487754	17488203	449	decrease
maker-chr5-augustus-gene-36.12	chr5	3671439	3672790	3671019	3671452	14	increase
maker-chr5-augustus-gene-126.21	chr5	12513915	12611705	12569302	12569678	376	increase
