geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023660	chr16	13353576	13358653	13358435	13358936	218	increase
AlMed_G022743	chr16	2805057	2805284	2802025	2805073	17	decrease
AlMed_G022440	chr16	657941	660674	657682	658709	769	increase
AlMed_G023938	chr16	14845803	14849220	14846414	14846955	541	increase
AlMed_G023166	chr16	10134138	10134499	10134415	10135054	84	decrease
AlMed_G022336	chr16	97540	103822	98777	99031	254	increase
AlMed_G023152	chr16	9993842	9995186	9994388	9995242	798	decrease
AlMed_G024344	chr16	16837130	16837647	16836789	16838985	518	decrease
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12278237	12279994	1757	decrease
AlMed_G022777	chr16	3079728	3081250	3079643	3081498	1523	decrease
AlMed_G023183	chr16	10313244	10317727	10315590	10315908	318	increase
AlMed_G023291	chr16	11078603	11084192	11081910	11082244	334	increase
AlMed_G023962	chr16	14948880	14952386	14948571	14949080	201	increase
AlMed_G023145	chr16	9959964	9965479	9962607	9962757	150	increase
AlMed_G023956	chr16	14927506	14928447	14927500	14927844	339	decrease
AlMed_G022956	chr16	8018745	8020507	8020380	8020597	127	decrease
AlMed_G023033	chr16	9099311	9103210	9102777	9103162	385	decrease
AlMed_G023201	chr16	10450478	10457788	10452127	10452628	501	decrease
AlMed_G023122	chr16	9774354	9775620	9774685	9775311	626	increase
AlMed_G023376	chr16	11646419	11647749	11646730	11647162	432	decrease
AlMed_G022469	chr16	830516	834407	830296	830640	125	decrease
AlMed_G023664	chr16	13372261	13373879	13373523	13374013	356	increase
AlMed_G024266	chr16	16421737	16428806	16426721	16428469	1748	decrease
AlMed_G022654	chr16	2110280	2111618	2110281	2111861	1337	decrease
AlMed_G023714	chr16	13636458	13642728	13636996	13637538	542	decrease
AlMed_G022583	chr16	1644322	1648762	1647787	1648193	406	decrease
AlMed_G022556	chr16	1474391	1475050	1474968	1476447	82	decrease
AlMed_G024521	chr16	17736773	17743543	17743396	17743603	147	increase
AlMed_G022545	chr16	1415466	1416963	1415456	1415648	183	increase
AlMed_G023615	chr16	13041241	13050108	13043190	13048389	5199	increase
AlMed_G023615	chr16	13041241	13050108	13041197	13042079	839	increase
AlMed_G022755	chr16	2896359	2896664	2895987	2896528	170	decrease
AlMed_G024965	chr16	19753356	19753682	19753419	19753672	253	increase
AlMed_G022394	chr16	400716	402545	400526	401366	651	decrease
AlMed_G023523	chr16	12533537	12536756	12534666	12535213	547	increase
AlMed_G023523	chr16	12533537	12536756	12536627	12536883	129	increase
AlMed_G022388	chr16	372509	373643	372992	373691	651	decrease
AlMed_G024555	chr16	17936992	17937802	17937089	17937750	661	decrease
AlMed_G023103	chr16	9649796	9650992	9650839	9651041	153	decrease
AlMed_G023668	chr16	13397689	13398144	13397802	13399235	342	increase
AlMed_G023304	chr16	11207060	11210075	11207526	11208282	756	increase
AlMed_G024234	chr16	16273428	16276245	16274128	16275411	1283	decrease
AlMed_G022534	chr16	1359184	1363089	1362852	1363099	237	decrease
AlMed_G023658	chr16	13342413	13343972	13338759	13344518	1560	increase
AlMed_G022781	chr16	3096771	3103406	3102153	3102386	233	increase
AlMed_G024454	chr16	17410699	17414357	17410382	17411049	351	increase
AlMed_G024007	chr16	15196861	15198297	15197572	15198292	720	decrease
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4624026	4626099	1612	decrease
AlMed_G024723	chr16	18719343	18720173	18719707	18719860	153	increase
AlMed_G022424	chr16	552616	555596	555035	556028	561	increase
AlMed_G022518	chr16	1201039	1209830	1207821	1208981	1160	increase
AlMed_G023581	chr16	12855847	12859343	12856737	12857489	752	decrease
AlMed_G023942	chr16	14857070	14860206	14858709	14858975	266	decrease
AlMed_G022450	chr16	698082	699902	694377	700365	1821	decrease
AlMed_G022460	chr16	787595	789829	789797	790278	32	increase
AlMed_G023203	chr16	10463357	10465168	10465105	10465748	63	decrease
AlMed_G022770	chr16	3001861	3002360	3001711	3002953	500	decrease
AlMed_G023657	chr16	13339122	13340634	13338759	13344518	1513	increase
AlMed_G024008	chr16	15200371	15204198	15200134	15200912	542	decrease
AlMed_G022697	chr16	2391123	2392829	2391543	2392162	619	increase
