seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,35902,364698,10.1581527491505
chr9,100001,200000,100000,*,35612,317316,8.91036729192407
chr9,200001,300000,100000,*,35035,409148,11.6782645925503
chr9,300001,400000,100000,*,35710,472389,13.2284794175301
chr9,400001,500000,100000,*,35204,476780,13.5433473468924
chr9,500001,600000,100000,*,34104,499799,14.6551430917194
chr9,600001,700000,100000,*,33863,480586,14.1920680388625
chr9,700001,800000,100000,*,35497,434185,12.2315970363693
chr9,800001,900000,100000,*,35780,423971,11.8493851313583
chr9,900001,1000000,100000,*,34998,414316,11.8382764729413
chr9,1000001,1100000,100000,*,36751,378364,10.2953389023428
chr9,1100001,1200000,100000,*,32686,340724,10.4241571314936
chr9,1200001,1300000,100000,*,32584,339889,10.4311625337589
chr9,1300001,1400000,100000,*,36797,305507,8.30249748620811
chr9,1400001,1500000,100000,*,34877,359195,10.2989075895289
chr9,1500001,1600000,100000,*,34935,352760,10.0976098468585
chr9,1600001,1700000,100000,*,36159,322423,8.91681185873503
chr9,1700001,1800000,100000,*,36588,322836,8.82354870449328
chr9,1800001,1900000,100000,*,33788,302897,8.96463241387475
chr9,1900001,2000000,100000,*,34489,379339,10.998840209922
chr9,2000001,2100000,100000,*,35456,339531,9.57612251805054
chr9,2100001,2200000,100000,*,35150,328417,9.34330014224751
chr9,2200001,2300000,100000,*,35829,272737,7.61218565966117
chr9,2300001,2400000,100000,*,34019,224491,6.59898880037626
chr9,2400001,2500000,100000,*,35288,197553,5.59830537293131
chr9,2500001,2600000,100000,*,35923,191117,5.32018483979623
chr9,2600001,2700000,100000,*,34583,207517,6.00054940288581
chr9,2700001,2800000,100000,*,35784,217389,6.07503353454058
chr9,2800001,2900000,100000,*,35421,215240,6.07662121340448
chr9,2900001,3000000,100000,*,35197,226038,6.42208142739438
chr9,3000001,3100000,100000,*,31138,193910,6.22743914188451
chr9,3100001,3200000,100000,*,35155,215234,6.1224292419286
chr9,3200001,3300000,100000,*,33744,217681,6.4509542437174
chr9,3300001,3400000,100000,*,35044,246703,7.03980709964616
chr9,3400001,3500000,100000,*,35447,216349,6.10345022145739
chr9,3500001,3600000,100000,*,34507,211791,6.13762425015214
chr9,3600001,3700000,100000,*,36068,209970,5.82150382610624
chr9,3700001,3800000,100000,*,30642,181895,5.9361334116572
chr9,3800001,3900000,100000,*,35247,201858,5.72695548557324
chr9,3900001,4000000,100000,*,34368,224680,6.53747672253259
chr9,4000001,4100000,100000,*,34773,209809,6.03367555287148
chr9,4100001,4200000,100000,*,33942,224234,6.60638736668434
chr9,4200001,4300000,100000,*,34122,240906,7.06013715491472
chr9,4300001,4400000,100000,*,33093,210468,6.35989484180945
chr9,4400001,4500000,100000,*,33836,184602,5.45578673602081
chr9,4500001,4600000,100000,*,32925,230693,7.00662110858011
chr9,4600001,4700000,100000,*,34884,201599,5.77912510033253
chr9,4700001,4800000,100000,*,32479,236046,7.26764986606731
chr9,4800001,4900000,100000,*,34634,222205,6.41580527805047
chr9,4900001,5000000,100000,*,32999,240628,7.29197854480439
chr9,5000001,5100000,100000,*,33933,215556,6.35240031827425
chr9,5100001,5200000,100000,*,33630,225074,6.69265536723164
chr9,5200001,5300000,100000,*,30108,197229,6.55071741729773
chr9,5300001,5400000,100000,*,34538,235574,6.82071920782906
chr9,5400001,5500000,100000,*,34884,201929,5.78858502465314
chr9,5500001,5600000,100000,*,25735,206043,8.00633378667185
chr9,5600001,5700000,100000,*,32321,229516,7.10114167259676
chr9,5700001,5800000,100000,*,33013,238853,7.23511949837943
chr9,5800001,5900000,100000,*,33475,221480,6.61628080657207
chr9,5900001,6000000,100000,*,32561,204650,6.28512637818249
chr9,6000001,6100000,100000,*,33619,240529,7.15455545971028
chr9,6100001,6200000,100000,*,21366,139728,6.53973602920528
chr9,6200001,6300000,100000,*,32967,233109,7.07098007098007
chr9,6300001,6400000,100000,*,31256,205840,6.58561556181213
chr9,6400001,6500000,100000,*,36220,201389,5.56016013252347
chr9,6500001,6600000,100000,*,35450,203645,5.74456981664316
chr9,6600001,6700000,100000,*,33811,230895,6.82899056520067
chr9,6700001,6800000,100000,*,35393,203996,5.76373859237702
chr9,6800001,6900000,100000,*,35489,217300,6.12302403561667
chr9,6900001,7000000,100000,*,33529,222768,6.64403948820424
chr9,7000001,7100000,100000,*,36377,200419,5.50949775957336
chr9,7100001,7200000,100000,*,34600,226020,6.53236994219653
chr9,7200001,7300000,100000,*,34878,217165,6.22641779918573
