geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
augustus_masked-chr4-processed-gene-210.37	chr4	21019890	21021287	21021250	21021810	37	increase
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14279552	14280193	641	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222350	17223038	392	decrease
maker-chr4-augustus-gene-148.5	chr4	14816344	14820395	14816121	14816719	376	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873361	2873974	613	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191305	24191577	10	decrease
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14875270	14875740	470	decrease
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14879385	14879505	120	decrease
maker-chr4-augustus-gene-166.7_maker-chr4-augustus-gene-166.8	chr4	16640486	16648243	16645239	16645477	238	decrease
augustus_masked-chr4-processed-gene-146.3	chr4	14664280	14666527	14664082	14664289	10	decrease
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9391580	9391690	110	decrease
maker-chr4-augustus-gene-28.41	chr4	2844805	2846487	2844470	2845082	278	decrease
augustus_masked-chr4-processed-gene-34.0	chr4	3420616	3421415	3420158	3420939	324	decrease
augustus_masked-chr4-processed-gene-34.0	chr4	3420616	3421415	3421301	3421901	114	decrease
augustus_masked-chr4-processed-gene-252.12	chr4	25273965	25276835	25275350	25276074	724	decrease
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227703	18228226	523	decrease
augustus_masked-chr4-processed-gene-29.12	chr4	2896629	2897347	2896490	2896735	107	decrease
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319620	8320153	309	increase
maker-chr4-augustus-gene-9.4	chr4	977193	980716	978588	979168	580	decrease
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042430	3043032	602	increase
maker-chr4-augustus-gene-33.26	chr4	3311093	3311857	3310501	3312248	765	decrease
augustus_masked-chr4-processed-gene-242.62	chr4	24287140	24287298	24287063	24287407	159	decrease
augustus_masked-chr4-processed-gene-88.11	chr4	8862275	8862499	8861961	8862445	171	decrease
augustus_masked-chr4-processed-gene-250.50	chr4	25013920	25015755	25015043	25015231	188	decrease
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22427459	22428048	589	decrease
maker-chr4-augustus-gene-188.8	chr4	18815464	18817996	18816811	18817023	212	decrease
augustus_masked-chr4-processed-gene-200.3	chr4	20018709	20021686	20019973	20020451	478	decrease
augustus_masked-chr4-processed-gene-143.10	chr4	14354046	14362408	14361521	14362352	831	decrease
maker-chr4-augustus-gene-246.12	chr4	24636357	24639726	24636065	24636483	127	decrease
augustus_masked-chr4-processed-gene-173.30	chr4	17321275	17321487	17320675	17321485	211	decrease
maker-chr4-augustus-gene-36.2	chr4	3609631	3614335	3609432	3610309	679	decrease
maker-chr4-augustus-gene-19.8	chr4	1954625	1958037	1953968	1955066	442	decrease
maker-chr4-augustus-gene-19.8	chr4	1954625	1958037	1956351	1957147	796	decrease
maker-chr4-augustus-gene-144.9	chr4	14396708	14400404	14398531	14399119	588	decrease
augustus_masked-chr4-processed-gene-212.12	chr4	21264973	21268923	21265485	21266111	626	decrease
maker-chr4-augustus-gene-138.8	chr4	13858410	13860992	13860952	13861554	40	decrease
augustus_masked-chr4-processed-gene-238.25	chr4	23796153	23799602	23798276	23798769	493	decrease
maker-chr4-augustus-gene-252.26	chr4	25233434	25242062	25235350	25235807	457	decrease
maker-chr4-augustus-gene-257.29	chr4	25766145	25767563	25765746	25766368	224	decrease
maker-chr4-augustus-gene-217.31	chr4	21735875	21736462	21735632	21736563	588	decrease
augustus_masked-chr4-processed-gene-10.16	chr4	988707	990732	989750	990734	982	decrease
augustus_masked-chr4-processed-gene-167.10	chr4	16739420	16740618	16740133	16740573	440	decrease
augustus_masked-chr4-processed-gene-247.15	chr4	24686000	24690802	24688167	24688273	106	decrease
augustus_masked-chr4-processed-gene-25.12	chr4	2578822	2581029	2579572	2580240	668	decrease
maker-chr4-augustus-gene-180.24	chr4	18043233	18046084	18043288	18043964	676	decrease
maker-chr4-augustus-gene-210.10	chr4	21021615	21024151	21021250	21021810	196	increase
maker-chr4-augustus-gene-31.14	chr4	3109115	3113456	3112535	3113088	553	decrease
maker-chr4-augustus-gene-193.0	chr4	19304231	19312270	19305089	19305470	381	decrease
maker-chr4-augustus-gene-42.16	chr4	4217726	4229310	4223245	4223567	322	decrease
maker-chr4-augustus-gene-81.3	chr4	8150230	8151977	8149857	8150551	322	decrease
maker-chr4-augustus-gene-163.23	chr4	16364869	16366801	16364926	16365396	470	decrease
maker-chr4-augustus-gene-83.5	chr4	8301307	8301810	8301284	8301490	184	decrease
augustus_masked-chr4-processed-gene-28.18	chr4	2841613	2844473	2844470	2845082	3	decrease
maker-chr4-augustus-gene-213.24	chr4	21364458	21366867	21365744	21366237	493	decrease
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14392622	14392765	143	decrease
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14398531	14399119	588	decrease
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14385151	14385427	276	decrease
maker-chr4-augustus-gene-122.22	chr4	12269430	12270952	12268472	12269898	469	decrease
augustus_masked-chr4-processed-gene-155.13	chr4	15507529	15507819	15507428	15507967	291	decrease
maker-chr4-augustus-gene-18.11	chr4	1798414	1799094	1798918	1799402	176	decrease
