seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,8,0,0
chr9,100001,200000,100000,*,17,0,0
chr9,200001,300000,100000,*,2,0,0
chr9,300001,400000,100000,*,5,0,0
chr9,400001,500000,100000,*,5,0,0
chr9,500001,600000,100000,*,7,0,0
chr9,600001,700000,100000,*,10,0,0
chr9,700001,800000,100000,*,4,0,0
chr9,800001,900000,100000,*,8,0,0
chr9,900001,1000000,100000,*,8,0,0
chr9,1000001,1100000,100000,*,2,0,0
chr9,1100001,1200000,100000,*,8,0,0
chr9,1200001,1300000,100000,*,13,0,0
chr9,1300001,1400000,100000,*,2,0,0
chr9,1400001,1500000,100000,*,5,0,0
chr9,1500001,1600000,100000,*,9,0,0
chr9,1600001,1700000,100000,*,2,0,0
chr9,1700001,1800000,100000,*,1,0,0
chr9,1800001,1900000,100000,*,13,0,0
chr9,1900001,2000000,100000,*,2,0,0
chr9,2000001,2100000,100000,*,5,0,0
chr9,2100001,2200000,100000,*,6,0,0
chr9,2200001,2300000,100000,*,3,0,0
chr9,2300001,2400000,100000,*,6,0,0
chr9,2400001,2500000,100000,*,5,0,0
chr9,2500001,2600000,100000,*,1,0,0
chr9,2600001,2700000,100000,*,5,0,0
chr9,2700001,2800000,100000,*,9,0,0
chr9,2800001,2900000,100000,*,0,0,NA
chr9,2900001,3000000,100000,*,2,0,0
chr9,3000001,3100000,100000,*,11,0,0
chr9,3100001,3200000,100000,*,6,0,0
chr9,3200001,3300000,100000,*,8,0,0
chr9,3300001,3400000,100000,*,8,0,0
chr9,3400001,3500000,100000,*,0,0,NA
chr9,3500001,3600000,100000,*,7,0,0
chr9,3600001,3700000,100000,*,3,0,0
chr9,3700001,3800000,100000,*,4,0,0
chr9,3800001,3900000,100000,*,3,0,0
chr9,3900001,4000000,100000,*,9,0,0
chr9,4000001,4100000,100000,*,6,0,0
chr9,4100001,4200000,100000,*,4,0,0
chr9,4200001,4300000,100000,*,6,0,0
chr9,4300001,4400000,100000,*,5,0,0
chr9,4400001,4500000,100000,*,4,0,0
chr9,4500001,4600000,100000,*,8,0,0
chr9,4600001,4700000,100000,*,12,0,0
chr9,4700001,4800000,100000,*,11,0,0
chr9,4800001,4900000,100000,*,5,0,0
chr9,4900001,5000000,100000,*,15,0,0
chr9,5000001,5100000,100000,*,7,0,0
chr9,5100001,5200000,100000,*,2,0,0
chr9,5200001,5300000,100000,*,8,0,0
chr9,5300001,5400000,100000,*,8,0,0
chr9,5400001,5500000,100000,*,13,0,0
chr9,5500001,5600000,100000,*,14,0,0
chr9,5600001,5700000,100000,*,16,0,0
chr9,5700001,5800000,100000,*,9,0,0
chr9,5800001,5900000,100000,*,12,0,0
chr9,5900001,6000000,100000,*,8,0,0
chr9,6000001,6100000,100000,*,4,0,0
chr9,6100001,6200000,100000,*,17,0,0
chr9,6200001,6300000,100000,*,7,0,0
chr9,6300001,6400000,100000,*,13,0,0
chr9,6400001,6500000,100000,*,2,0,0
chr9,6500001,6600000,100000,*,2,0,0
chr9,6600001,6700000,100000,*,22,0,0
chr9,6700001,6800000,100000,*,2,0,0
chr9,6800001,6900000,100000,*,4,0,0
chr9,6900001,7000000,100000,*,7,0,0
chr9,7000001,7100000,100000,*,2,0,0
chr9,7100001,7200000,100000,*,2,0,0
chr9,7200001,7300000,100000,*,1,0,0
chr9,7300001,7400000,100000,*,1,0,0
chr9,7400001,7500000,100000,*,3,0,0
chr9,7500001,7600000,100000,*,9,0,0
chr9,7600001,7700000,100000,*,8,0,0
chr9,7700001,7800000,100000,*,2,0,0
chr9,7800001,7900000,100000,*,13,0,0
chr9,7900001,8000000,100000,*,6,0,0
chr9,8000001,8100000,100000,*,14,0,0
chr9,8100001,8200000,100000,*,12,0,0
chr9,8200001,8300000,100000,*,8,0,0
chr9,8300001,8400000,100000,*,7,0,0
chr9,8400001,8500000,100000,*,8,0,0
chr9,8500001,8600000,100000,*,2,0,0
chr9,8600001,8700000,100000,*,5,0,0
chr9,8700001,8800000,100000,*,6,0,0
chr9,8800001,8900000,100000,*,6,0,0
chr9,8900001,9000000,100000,*,8,0,0
chr9,9000001,9100000,100000,*,9,0,0
chr9,9100001,9200000,100000,*,13,0,0
chr9,9200001,9300000,100000,*,8,0,0
chr9,9300001,9400000,100000,*,7,0,0
chr9,9400001,9500000,100000,*,40,0,0
chr9,9500001,9600000,100000,*,22,0,0
chr9,9600001,9700000,100000,*,8,0,0
chr9,9700001,9800000,100000,*,10,0,0
chr9,9800001,9900000,100000,*,8,0,0
chr9,9900001,10000000,100000,*,11,0,0
chr9,10000001,10100000,100000,*,15,0,0
chr9,10100001,10200000,100000,*,4,0,0
chr9,10200001,10300000,100000,*,15,0,0
chr9,10300001,10400000,100000,*,13,0,0
chr9,10400001,10500000,100000,*,19,0,0
chr9,10500001,10600000,100000,*,10,0,0
chr9,10600001,10700000,100000,*,16,0,0
chr9,10700001,10800000,100000,*,13,0,0
chr9,10800001,10900000,100000,*,10,0,0
chr9,10900001,11000000,100000,*,17,0,0
