geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18244884	18247559	1157	decrease
augustus_masked-chr4-processed-gene-210.37	chr4	21019890	21021287	21021250	21021889	37	decrease
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551768	14552223	455	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972670	21973107	208	decrease
augustus_masked-chr4-processed-gene-137.1	chr4	13689954	13690747	13690727	13690953	20	increase
maker-chr4-augustus-gene-23.13	chr4	2301122	2303202	2303061	2303625	141	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14279229	14279858	413	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222385	17225909	3021	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24190969	24191934	367	decrease
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172950	14175263	808	increase
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16287783	16288221	438	increase
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14884303	14884525	93	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268019	23268462	167	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716162	25716742	580	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681953	2683215	536	decrease
maker-chr4-augustus-gene-195.20	chr4	19572034	19572319	19571592	19572122	89	decrease
maker-chr4-augustus-gene-228.6	chr4	22866317	22868338	22866686	22867274	588	increase
augustus_masked-chr4-processed-gene-32.24	chr4	3206840	3207805	3206841	3208641	964	decrease
maker-chr4-augustus-gene-28.25	chr4	2802584	2804514	2803155	2804529	1359	increase
maker-chr4-augustus-gene-4.31	chr4	412761	415084	413870	414777	907	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8413762	8414069	87	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486321	25489850	1407	decrease
augustus_masked-chr4-processed-gene-162.2	chr4	16193419	16197425	16193063	16194008	590	increase
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539412	1539565	62	decrease
augustus_masked-chr4-processed-gene-252.12	chr4	25273965	25276835	25275429	25275650	221	decrease
augustus_masked-chr4-processed-gene-263.21_maker-chr4-augustus-gene-263.40	chr4	26353322	26364504	26360735	26361209	474	decrease
augustus_masked-chr4-processed-gene-161.19	chr4	16099873	16100656	16099414	16100367	495	increase
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16303767	16303968	56	decrease
maker-chr4-augustus-gene-190.15	chr4	19028192	19029233	19028037	19028858	667	increase
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510227	12510554	235	increase
maker-chr4-augustus-gene-26.18	chr4	2669597	2671795	2671726	2672311	69	increase
augustus_masked-chr4-processed-gene-236.4	chr4	23603204	23603893	23603583	23603940	310	increase
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319620	8320212	368	decrease
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042497	3043001	504	decrease
augustus_masked-chr4-processed-gene-20.9	chr4	2035831	2036094	2035433	2036019	189	decrease
augustus_masked-chr4-processed-gene-250.50	chr4	25013920	25015755	25014762	25015323	561	increase
augustus_masked-chr4-processed-gene-229.19	chr4	22932103	22933782	22932329	22932760	431	increase
maker-chr4-augustus-gene-2.3	chr4	206051	206934	205828	206164	114	decrease
augustus_masked-chr4-processed-gene-129.13	chr4	12974470	12974892	12974209	12974568	99	increase
maker-chr4-augustus-gene-126.12	chr4	12608219	12610330	12609953	12610379	377	increase
maker-chr4-augustus-gene-268.24	chr4	26841596	26842388	26841273	26841733	138	decrease
augustus_masked-chr4-processed-gene-76.3	chr4	7680213	7684086	7682778	7683051	273	decrease
augustus_masked-chr4-processed-gene-30.13	chr4	3065208	3066332	3065525	3066114	589	decrease
augustus_masked-chr4-processed-gene-226.27	chr4	22616796	22620884	22617111	22617220	109	increase
maker-chr4-augustus-gene-34.15	chr4	3450402	3451523	3450810	3450888	78	increase
maker-chr4-augustus-gene-231.2	chr4	23121939	23128165	23127976	23128609	189	increase
maker-chr4-augustus-gene-176.0	chr4	17617507	17617916	17617418	17617656	150	decrease
maker-chr4-augustus-gene-246.12	chr4	24636357	24639726	24636159	24636488	132	increase
augustus_masked-chr4-processed-gene-173.30	chr4	17321275	17321487	17320925	17321509	213	decrease
augustus_masked-chr4-processed-gene-145.13	chr4	14528394	14530152	14528049	14530200	1759	decrease
maker-chr4-augustus-gene-36.2	chr4	3609631	3614335	3609239	3610672	1042	decrease
augustus_masked-chr4-processed-gene-15.17	chr4	1582421	1583550	1583463	1583736	87	decrease
maker-chr4-augustus-gene-206.21_maker-chr4-augustus-gene-206.22	chr4	20608737	20620314	20611985	20612031	46	decrease
