geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023938	chr16	14845803	14849220	14847860	14848339	479	increase
AlMed_G025091	chr16	20369212	20370400	20369633	20369922	289	decrease
AlMed_G022365_AlMed_G022367	chr16	259506	264536	260542	260828	286	decrease
AlMed_G022779	chr16	3085772	3086921	3085562	3086006	235	increase
AlMed_G024137	chr16	15872604	15876785	15872279	15872673	70	decrease
AlMed_G023615	chr16	13041241	13050108	13042832	13043517	685	decrease
AlMed_G023615	chr16	13041241	13050108	13041153	13041772	532	decrease
AlMed_G024717	chr16	18691368	18693652	18693571	18693813	81	decrease
AlMed_G024965	chr16	19753356	19753682	19753165	19753738	327	decrease
AlMed_G022742	chr16	2798393	2799394	2799047	2799621	347	decrease
AlMed_G024468_AlMed_G024467	chr16	17498075	17505493	17500320	17501328	1008	decrease
AlMed_G024468_AlMed_G024467	chr16	17498075	17505493	17502650	17502941	291	decrease
AlMed_G024468_AlMed_G024467	chr16	17498075	17505493	17504432	17505108	676	decrease
AlMed_G024263	chr16	16409896	16412051	16409419	16409917	22	decrease
AlMed_G023534	chr16	12583485	12585813	12585808	12586420	5	decrease
AlMed_G022781	chr16	3096771	3103406	3101455	3101994	539	decrease
AlMed_G022890	chr16	4323121	4326293	4323107	4323762	642	decrease
AlMed_G023581	chr16	12855847	12859343	12858350	12858747	397	decrease
AlMed_G024475	chr16	17535430	17536892	17536794	17537359	98	decrease
AlMed_G024917	chr16	19564656	19569364	19564805	19565129	324	decrease
AlMed_G022717	chr16	2559430	2560551	2559499	2560248	749	decrease
AlMed_G023274	chr16	10999582	11003920	10999853	11000584	731	increase
AlMed_G023488	chr16	12306013	12307553	12307520	12307893	33	decrease
AlMed_G022899	chr16	4444293	4446220	4445336	4445521	185	decrease
AlMed_G023783	chr16	14129548	14131624	14130404	14130915	511	increase
AlMed_G024506	chr16	17677728	17683455	17679740	17679936	196	increase
AlMed_G023612	chr16	13034204	13035477	13034764	13035232	468	increase
AlMed_G022991	chr16	8678009	8679844	8679761	8680194	83	decrease
AlMed_G024922	chr16	19576288	19579145	19577380	19577630	250	decrease
AlMed_G023619	chr16	13087081	13088372	13087541	13088120	579	increase
AlMed_G024531	chr16	17810940	17813611	17810682	17810975	36	decrease
AlMed_G024144	chr16	15903258	15905201	15905082	15905547	119	decrease
