seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,30583,110434,3.61096033744237
chr1,100001,200000,100000,*,32027,102064,3.18681112811066
chr1,200001,300000,100000,*,33130,113968,3.44002414729852
chr1,300001,400000,100000,*,31817,111527,3.50526448125216
chr1,400001,500000,100000,*,32718,120571,3.6851580169937
chr1,500001,600000,100000,*,31648,115079,3.63621713852376
chr1,600001,700000,100000,*,31940,114301,3.57861615529117
chr1,700001,800000,100000,*,32027,123958,3.8704218315796
chr1,800001,900000,100000,*,32611,113186,3.47079206402748
chr1,900001,1000000,100000,*,29514,101122,3.42623839533781
chr1,1000001,1100000,100000,*,32556,112117,3.44381987959209
chr1,1100001,1200000,100000,*,32825,119478,3.6398476770754
chr1,1200001,1300000,100000,*,31632,114525,3.62054248861912
chr1,1300001,1400000,100000,*,31230,111805,3.58005123278899
chr1,1400001,1500000,100000,*,29200,99375,3.40325342465753
chr1,1500001,1600000,100000,*,31994,114442,3.57698318434706
chr1,1600001,1700000,100000,*,31313,106497,3.40104748826366
chr1,1700001,1800000,100000,*,32423,121715,3.75397094655029
chr1,1800001,1900000,100000,*,33749,118605,3.51432635041038
chr1,1900001,2000000,100000,*,31032,155677,5.01666022170663
chr1,2000001,2100000,100000,*,31935,116558,3.64985126037263
chr1,2100001,2200000,100000,*,23604,85933,3.64061176071852
chr1,2200001,2300000,100000,*,32527,111084,3.41513204414794
chr1,2300001,2400000,100000,*,32175,110210,3.42533022533023
chr1,2400001,2500000,100000,*,34487,124523,3.61072288108563
chr1,2500001,2600000,100000,*,32923,115372,3.5042979072381
chr1,2600001,2700000,100000,*,32900,121713,3.69948328267477
chr1,2700001,2800000,100000,*,34184,116077,3.39565293704657
chr1,2800001,2900000,100000,*,30572,99001,3.23828993850582
chr1,2900001,3000000,100000,*,34882,133282,3.82093916633221
chr1,3000001,3100000,100000,*,30983,104448,3.3711390117161
chr1,3100001,3200000,100000,*,32351,112254,3.4698772835461
chr1,3200001,3300000,100000,*,30458,107583,3.53217545472454
chr1,3300001,3400000,100000,*,26023,109810,4.21972870153326
chr1,3400001,3500000,100000,*,31575,105135,3.32969121140143
chr1,3500001,3600000,100000,*,33996,125987,3.7059359924697
chr1,3600001,3700000,100000,*,32548,116551,3.58089590758265
chr1,3700001,3800000,100000,*,29081,102341,3.51917059248306
chr1,3800001,3900000,100000,*,32496,115436,3.55231413096997
chr1,3900001,4000000,100000,*,32499,108660,3.34348749192283
