seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
chr8,17085623,17087271,1649,*,72,62.4680251067455,-2.39247530895402,-134.497264805942,5.84966364434045e-05,0.00059428323485734,5689854,5689925,72
chr3,17954415,17955695,1281,*,42,39.0453808141709,-2.55070935531721,-88.4153041822175,5.84966364434045e-05,0.00059428323485734,2047702,2047743,42
chr5,21994196,21994365,170,*,15,16.0495916519769,-2.61951677770475,-79.6557230058735,5.84966364434045e-05,0.00059428323485734,3573125,3573139,15
chr3,28507656,28508799,1144,*,59,50.6428020263784,-2.43565202424592,-68.2753597338046,5.84966364434045e-05,0.00059428323485734,2183094,2183152,59
chr7,22807582,22808193,612,*,29,25.4528271816732,-2.37248804664248,-67.0425344340717,5.84966364434045e-05,0.00059428323485734,5027387,5027415,29
chr6,27633005,27633459,455,*,46,34.5641541843699,-2.23712617947167,-61.1257413370844,5.84966364434045e-05,0.00059428323485734,4504951,4504996,46
chr3,2828755,2829546,792,*,18,12.1010280658108,-2.31598610303266,-57.7657761932288,5.84966364434045e-05,0.00059428323485734,1783502,1783519,18
chr3,22606641,22607361,721,*,40,32.2703974025012,2.58339076054705,56.7240516828437,5.84966364434045e-05,0.00059428323485734,2054830,2054869,40
chr1,16324726,16325812,1087,*,76,58.323510156232,-1.92886196851131,-55.5836645639874,5.84966364434045e-05,0.00059428323485734,467153,467228,76
chr3,22776658,22778279,1622,*,58,49.605371684169,-2.26648376129635,-55.061080941597,5.84966364434045e-05,0.00059428323485734,2055246,2055303,58
chr6,21901300,21901533,234,*,20,14.3264669486796,2.56234897777149,54.2755524005376,5.84966364434045e-05,0.00059428323485734,4322750,4322769,20
chr2,3932790,3938330,5541,*,138,108.426893060722,-2.05468365155015,-50.3747338654697,5.84966364434045e-05,0.00059428323485734,1192664,1192801,138
chr8,1566101,1566835,735,*,33,21.5910164422568,2.39178045087852,50.1508022380742,5.84966364434045e-05,0.00059428323485734,5305963,5305995,33
chr5,4153293,4153990,698,*,34,27.9074075479472,2.30212677794008,49.97797374353,5.84966364434045e-05,0.00059428323485734,3074084,3074117,34
chr6,24957332,24958723,1392,*,84,70.6507792829742,2.22093177642153,48.3158656214017,5.84966364434045e-05,0.00059428323485734,4418548,4418631,84
