seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,32221,227354,7.05608143757177
chr1,100001,200000,100000,*,28367,157708,5.55955864208411
chr1,200001,300000,100000,*,31109,226438,7.27885820823556
chr1,300001,400000,100000,*,31450,178664,5.68089030206677
chr1,400001,500000,100000,*,32745,199928,6.10560390899374
chr1,500001,600000,100000,*,29580,191518,6.47457741717377
chr1,600001,700000,100000,*,27717,179238,6.46671717718368
chr1,700001,800000,100000,*,33251,222178,6.68184415506301
chr1,800001,900000,100000,*,29876,182559,6.11055696880439
chr1,900001,1000000,100000,*,28376,171500,6.04383986467437
chr1,1000001,1100000,100000,*,32775,200039,6.10340198321892
chr1,1100001,1200000,100000,*,28310,179898,6.35457435535147
chr1,1200001,1300000,100000,*,29667,186409,6.28337883844002
chr1,1300001,1400000,100000,*,28602,170422,5.95839451786588
chr1,1400001,1500000,100000,*,30212,190529,6.30640142989541
chr1,1500001,1600000,100000,*,31994,202377,6.32546727511408
chr1,1600001,1700000,100000,*,30556,185767,6.07955884278047
chr1,1700001,1800000,100000,*,33258,224929,6.7631547296891
chr1,1800001,1900000,100000,*,35508,247618,6.97358341782134
chr1,1900001,2000000,100000,*,30691,248862,8.10863119481281
chr1,2000001,2100000,100000,*,33700,241501,7.16620178041543
chr1,2100001,2200000,100000,*,18736,150278,8.02081554227156
chr1,2200001,2300000,100000,*,30091,184454,6.12987271941777
chr1,2300001,2400000,100000,*,26262,155488,5.92064580001523
chr1,2400001,2500000,100000,*,35568,229853,6.46235380116959
chr1,2500001,2600000,100000,*,33297,203987,6.12628765354236
chr1,2600001,2700000,100000,*,33536,213047,6.35278506679389
chr1,2700001,2800000,100000,*,34538,214876,6.22143725751346
chr1,2800001,2900000,100000,*,16715,85773,5.13149865390368
chr1,2900001,3000000,100000,*,33333,215591,6.46779467794678
chr1,3000001,3100000,100000,*,29137,169552,5.81913031540653
chr1,3100001,3200000,100000,*,30528,196311,6.43052279874214
chr1,3200001,3300000,100000,*,32039,217639,6.79293985455226
chr1,3300001,3400000,100000,*,21366,146101,6.83801366657306
chr1,3400001,3500000,100000,*,29650,212416,7.16411467116358
chr1,3500001,3600000,100000,*,35951,264283,7.35120024477761
chr1,3600001,3700000,100000,*,31240,209813,6.71616517285531
chr1,3700001,3800000,100000,*,28474,182446,6.40745943667908
chr1,3800001,3900000,100000,*,31952,201240,6.29819729594392
chr1,3900001,4000000,100000,*,31936,202622,6.34462675350701
chr1,4000001,4100000,100000,*,34955,231838,6.63247031898155
chr1,4100001,4200000,100000,*,32632,209663,6.4250735474381
chr1,4200001,4300000,100000,*,30515,193140,6.32934622316893
chr1,4300001,4400000,100000,*,28351,193871,6.83824203731791
chr1,4400001,4500000,100000,*,33503,215698,6.43816971614482
chr1,4500001,4600000,100000,*,30747,211989,6.894623865743
chr1,4600001,4700000,100000,*,29461,198792,6.74763246325651
chr1,4700001,4800000,100000,*,30472,213583,7.00915594644264
chr1,4800001,4900000,100000,*,33699,228175,6.77097243241639
chr1,4900001,5000000,100000,*,33958,222012,6.53784086224159
chr1,5000001,5100000,100000,*,26843,190466,7.09555563834147
chr1,5100001,5200000,100000,*,27129,184260,6.79199380736481
chr1,5200001,5300000,100000,*,32212,201776,6.2640009934186
chr1,5300001,5400000,100000,*,31832,202669,6.36683211862277
chr1,5400001,5500000,100000,*,32279,229087,7.09709098794882
chr1,5500001,5600000,100000,*,31825,225721,7.09256873527101
chr1,5600001,5700000,100000,*,27392,187060,6.8290011682243
chr1,5700001,5800000,100000,*,28738,218575,7.60578328345744
chr1,5800001,5900000,100000,*,30944,241426,7.80202947259566
chr1,5900001,6000000,100000,*,30216,211070,6.98537198835054
chr1,6000001,6100000,100000,*,27254,179634,6.591105892713
chr1,6100001,6200000,100000,*,25052,159461,6.36520038320294
chr1,6200001,6300000,100000,*,32638,256727,7.86589251792389
chr1,6300001,6400000,100000,*,29059,201860,6.94655700471455
chr1,6400001,6500000,100000,*,32174,221780,6.89314353204451
chr1,6500001,6600000,100000,*,32202,211209,6.55887833053848
chr1,6600001,6700000,100000,*,21644,158131,7.30599704306043
chr1,6700001,6800000,100000,*,29296,195861,6.68558847624249
chr1,6800001,6900000,100000,*,29547,197804,6.6945544386909
chr1,6900001,7000000,100000,*,31648,212993,6.73006193124368
chr1,7000001,7100000,100000,*,32035,208423,6.50610270017169
chr1,7100001,7200000,100000,*,33139,213173,6.43269259784544
chr1,7200001,7300000,100000,*,35530,229088,6.44773430903462
chr1,7300001,7400000,100000,*,25450,172950,6.79567779960707
chr1,7400001,7500000,100000,*,31156,196043,6.2923032481705
chr1,7500001,7600000,100000,*,36734,238798,6.5007350138836
chr1,7600001,7700000,100000,*,29810,166568,5.58765514927877
chr1,7700001,7800000,100000,*,35748,253062,7.07905337361531
