geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18246137	18247563	895	decrease
augustus_masked-chr4-processed-gene-210.37	chr4	21019890	21021287	21021098	21021853	189	increase
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972690	21973023	124	decrease
augustus_masked-chr4-processed-gene-198.24	chr4	19840010	19840786	19840216	19845173	570	increase
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14278833	14280063	618	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222343	17226500	3021	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24190868	24191718	151	decrease
maker-chr4-augustus-gene-166.7_maker-chr4-augustus-gene-166.8	chr4	16640486	16648243	16644971	16645322	351	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23267813	23268610	315	decrease
maker-chr4-augustus-gene-139.20	chr4	13931909	13933141	13932587	13932796	209	increase
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716153	25716751	598	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681949	2683140	536	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098283	5098684	321	decrease
maker-chr4-augustus-gene-185.3_maker-chr4-augustus-gene-185.4	chr4	18506325	18511432	18508629	18508823	194	increase
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19955814	19955967	153	increase
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19960114	19960850	736	increase
maker-chr4-augustus-gene-28.41	chr4	2844805	2846487	2843981	2846917	1683	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673314	19673793	479	decrease
augustus_masked-chr4-processed-gene-34.0	chr4	3420616	3421415	3420634	3421302	668	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25483574	25490097	1407	decrease
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227876	18228070	194	decrease
augustus_masked-chr4-processed-gene-143.11	chr4	14364106	14364683	14364062	14364130	25	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16305240	16305310	70	decrease
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510524	12511125	508	increase
maker-chr4-augustus-gene-220.2	chr4	21984915	21985836	21984826	21984940	26	decrease
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18602046	18602274	228	decrease
maker-chr4-augustus-gene-9.4	chr4	977193	980716	978087	978214	127	increase
augustus_masked-chr4-processed-gene-81.12	chr4	8166723	8166995	8166286	8167437	273	increase
