seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,28157,109674,3.89508825514082
chr9,100001,200000,100000,*,21854,93197,4.26452823281779
chr9,200001,300000,100000,*,33146,188349,5.68240511675617
chr9,300001,400000,100000,*,34350,213693,6.2210480349345
chr9,400001,500000,100000,*,33274,200767,6.03375007513374
chr9,500001,600000,100000,*,33199,209809,6.31973854634176
chr9,600001,700000,100000,*,31421,198605,6.32077273161262
chr9,700001,800000,100000,*,33358,188452,5.64937945920019
chr9,800001,900000,100000,*,34763,191728,5.51528924431148
chr9,900001,1000000,100000,*,33028,177649,5.37873925154414
chr9,1000001,1100000,100000,*,35277,179432,5.08637355784222
chr9,1100001,1200000,100000,*,29872,183823,6.15368907337975
chr9,1200001,1300000,100000,*,28365,158969,5.60440683941477
chr9,1300001,1400000,100000,*,35002,180019,5.14310610822239
chr9,1400001,1500000,100000,*,33799,202106,5.97964436817657
chr9,1500001,1600000,100000,*,27013,141682,5.24495613223263
chr9,1600001,1700000,100000,*,32166,149880,4.6595784368588
chr9,1700001,1800000,100000,*,30248,128638,4.25277704311029
chr9,1800001,1900000,100000,*,20615,89399,4.33659956342469
chr9,1900001,2000000,100000,*,26814,149909,5.59069888864026
chr9,2000001,2100000,100000,*,31706,170466,5.37645871443891
chr9,2100001,2200000,100000,*,33031,188571,5.70890981199479
chr9,2200001,2300000,100000,*,33439,176076,5.26558808576812
chr9,2300001,2400000,100000,*,33711,196778,5.83720447331731
chr9,2400001,2500000,100000,*,35799,185877,5.1922400067041
chr9,2500001,2600000,100000,*,35701,189488,5.30763844150024
chr9,2600001,2700000,100000,*,32638,169069,5.18012745879037
chr9,2700001,2800000,100000,*,35208,171826,4.88031129288798
chr9,2800001,2900000,100000,*,33806,183438,5.42619653315979
chr9,2900001,3000000,100000,*,35345,188287,5.32711840430047
chr9,3000001,3100000,100000,*,30884,193812,6.27548245045979
chr9,3100001,3200000,100000,*,22652,101384,4.47571958325976
chr9,3200001,3300000,100000,*,30749,163480,5.31659566164753
chr9,3300001,3400000,100000,*,33855,193027,5.70158026879338
chr9,3400001,3500000,100000,*,34132,171335,5.01977616313137
chr9,3500001,3600000,100000,*,31313,152947,4.8844569348194
chr9,3600001,3700000,100000,*,33588,152984,4.55472192449684
chr9,3700001,3800000,100000,*,28680,136969,4.77576708507671
chr9,3800001,3900000,100000,*,32177,147722,4.59091897939522
chr9,3900001,4000000,100000,*,30273,140159,4.62983516665015
chr9,4000001,4100000,100000,*,30829,135013,4.37941548541957
chr9,4100001,4200000,100000,*,30449,138413,4.54573220795428
chr9,4200001,4300000,100000,*,25918,129673,5.00320240759318
chr9,4300001,4400000,100000,*,26910,122732,4.56083240431067
chr9,4400001,4500000,100000,*,27292,120602,4.41895060823685
chr9,4500001,4600000,100000,*,24511,118127,4.8193464158949
chr9,4600001,4700000,100000,*,27585,121154,4.39202465107848
chr9,4700001,4800000,100000,*,26270,134034,5.10216977540921
chr9,4800001,4900000,100000,*,28737,127769,4.44614956328079
chr9,4900001,5000000,100000,*,25154,114698,4.55983143833983
chr9,5000001,5100000,100000,*,29723,146420,4.9261514651953
chr9,5100001,5200000,100000,*,23301,114307,4.90566928458006
chr9,5200001,5300000,100000,*,20227,90055,4.45221733326741
chr9,5300001,5400000,100000,*,29326,155661,5.307951987997
chr9,5400001,5500000,100000,*,25938,107351,4.13875395173105
chr9,5500001,5600000,100000,*,21049,115886,5.50553470473657
chr9,5600001,5700000,100000,*,25674,131526,5.12292591727039
chr9,5700001,5800000,100000,*,28472,140122,4.92139645967969
chr9,5800001,5900000,100000,*,26183,123898,4.7320016804797
chr9,5900001,6000000,100000,*,22676,92981,4.10041453519139
chr9,6000001,6100000,100000,*,29447,139817,4.74808978843346
chr9,6100001,6200000,100000,*,15320,70727,4.61664490861619
chr9,6200001,6300000,100000,*,26967,121776,4.51574146178663
chr9,6300001,6400000,100000,*,21103,92979,4.40596123773871
chr9,6400001,6500000,100000,*,31486,129184,4.10290287746935
chr9,6500001,6600000,100000,*,30836,126759,4.11074717862239
chr9,6600001,6700000,100000,*,27680,124829,4.50971820809249
chr9,6700001,6800000,100000,*,28872,125069,4.33184400110834
chr9,6800001,6900000,100000,*,30969,144599,4.66915302399173
chr9,6900001,7000000,100000,*,26599,116256,4.3706906274672
chr9,7000001,7100000,100000,*,22717,83135,3.65959413654972
chr9,7100001,7200000,100000,*,28209,131857,4.67428834769045
chr9,7200001,7300000,100000,*,32268,146612,4.54357257964547
chr9,7300001,7400000,100000,*,27158,123061,4.53129832830105
chr9,7400001,7500000,100000,*,32023,143365,4.47693845048871
chr9,7500001,7600000,100000,*,30062,138669,4.61276694830683
chr9,7600001,7700000,100000,*,23262,101574,4.36652050554552
chr9,7700001,7800000,100000,*,30568,145683,4.76586626537556
chr9,7800001,7900000,100000,*,26550,117348,4.41988700564972
chr9,7900001,8000000,100000,*,28420,139765,4.91783954961295
chr9,8000001,8100000,100000,*,23268,91425,3.92921609076844
chr9,8100001,8200000,100000,*,25928,121479,4.68524375192842
chr9,8200001,8300000,100000,*,23665,99720,4.2138178744982
chr9,8300001,8400000,100000,*,25142,114458,4.55246201575054
chr9,8400001,8500000,100000,*,25870,114641,4.43142636258214
chr9,8500001,8600000,100000,*,30542,141079,4.61918014537358
chr9,8600001,8700000,100000,*,26457,130407,4.92901689533961
chr9,8700001,8800000,100000,*,27427,124378,4.53487439384548
chr9,8800001,8900000,100000,*,29430,136053,4.62293577981651
chr9,8900001,9000000,100000,*,23069,119434,5.17725085612727
chr9,9000001,9100000,100000,*,23631,107950,4.56815200372392
chr9,9100001,9200000,100000,*,25474,136662,5.36476407317265
chr9,9200001,9300000,100000,*,30992,131406,4.23999741868869
chr9,9300001,9400000,100000,*,26193,116314,4.44065208261749
chr9,9400001,9500000,100000,*,11414,67076,5.87664271946732
chr9,9500001,9600000,100000,*,20247,89074,4.39936780757643
chr9,9600001,9700000,100000,*,25093,122303,4.87398876180608
chr9,9700001,9800000,100000,*,25733,117717,4.57455407453464
chr9,9800001,9900000,100000,*,26996,135502,5.01933619795525
chr9,9900001,10000000,100000,*,29207,154383,5.28582189201219
chr9,10000001,10100000,100000,*,26348,113135,4.29387429785942
chr9,10100001,10200000,100000,*,20978,94409,4.50038135189246
chr9,10200001,10300000,100000,*,21785,102015,4.68280927243516
chr9,10300001,10400000,100000,*,23255,109777,4.72057622016771
chr9,10400001,10500000,100000,*,32358,180976,5.59292910563076
chr9,10500001,10600000,100000,*,21048,104688,4.97377423033067
chr9,10600001,10700000,100000,*,25806,146961,5.69483840967217
chr9,10700001,10800000,100000,*,25144,121227,4.82130925867006
chr9,10800001,10900000,100000,*,23697,120310,5.07701396801283
chr9,10900001,11000000,100000,*,16289,67419,4.13892811099515
chr9,11000001,11100000,100000,*,13542,65855,4.86301875646138
chr9,11100001,11200000,100000,*,26438,124773,4.71945684242378
chr9,11200001,11300000,100000,*,23987,97084,4.04735898611748
chr9,11300001,11400000,100000,*,19187,79493,4.14306561734508
chr9,11400001,11500000,100000,*,32010,162894,5.08884723523899
chr9,11500001,11600000,100000,*,26172,142098,5.42939018798716
chr9,11600001,11700000,100000,*,23606,188711,7.99419639074812
chr9,11700001,11800000,100000,*,23842,118221,4.95851858065599
chr9,11800001,11900000,100000,*,24969,94465,3.78329128118867
chr9,11900001,12000000,100000,*,26305,130825,4.97338908952671
chr9,12000001,12100000,100000,*,23764,102503,4.31337316950008
chr9,12100001,12200000,100000,*,25641,113128,4.41199641199641
chr9,12200001,12300000,100000,*,29121,129656,4.45231963188077
chr9,12300001,12400000,100000,*,26315,131335,4.99087972639179
chr9,12400001,12500000,100000,*,18181,95235,5.23816071723228
chr9,12500001,12600000,100000,*,29657,176472,5.9504332872509
chr9,12600001,12700000,100000,*,24181,203754,8.42620239030644
chr9,12700001,12800000,100000,*,26707,155311,5.81536675777886
chr9,12800001,12900000,100000,*,26130,142385,5.44910065059319
chr9,12900001,13000000,100000,*,24587,130226,5.29653882132834
chr9,13000001,13100000,100000,*,24227,135587,5.59652453873777
chr9,13100001,13200000,100000,*,19943,97148,4.87128315699744
chr9,13200001,13300000,100000,*,28040,117779,4.20039229671897
chr9,13300001,13400000,100000,*,21947,102798,4.68392035357908
chr9,13400001,13500000,100000,*,28515,190259,6.6722426792916
chr9,13500001,13600000,100000,*,27302,155733,5.70408761262911
chr9,13600001,13700000,100000,*,22668,112271,4.95284100935239
chr9,13700001,13800000,100000,*,31574,151379,4.79441945904858
chr9,13800001,13900000,100000,*,29709,158402,5.33178498098219
chr9,13900001,14000000,100000,*,26602,161430,6.06834072626118
chr9,14000001,14100000,100000,*,23569,102481,4.34812677669821
chr9,14100001,14200000,100000,*,23856,131149,5.49752682763246
chr9,14200001,14300000,100000,*,28309,133891,4.72962662050938
chr9,14300001,14400000,100000,*,26213,138879,5.29809636439934
chr9,14400001,14500000,100000,*,24412,120593,4.93990660330985
chr9,14500001,14600000,100000,*,18204,71303,3.91688639859372
chr9,14600001,14700000,100000,*,23362,116066,4.96815341152299
chr9,14700001,14800000,100000,*,22066,94097,4.26434333363546
chr9,14800001,14900000,100000,*,24488,131242,5.359441359033
chr9,14900001,15000000,100000,*,27218,149191,5.48133588066721
chr9,15000001,15100000,100000,*,27251,170891,6.27099922938608
chr9,15100001,15200000,100000,*,22400,112837,5.03736607142857
chr9,15200001,15300000,100000,*,16126,84727,5.25406176361156
chr9,15300001,15400000,100000,*,22498,175368,7.79482620677394
chr9,15400001,15500000,100000,*,14874,77289,5.19624848729326
chr9,15500001,15600000,100000,*,33707,274997,8.15845373364583
chr9,15600001,15700000,100000,*,28835,192195,6.66533726374198
chr9,15700001,15800000,100000,*,25341,103116,4.06913697170593
chr9,15800001,15900000,100000,*,30718,192451,6.2650888729735
chr9,15900001,16000000,100000,*,29389,158044,5.37765830753003
chr9,16000001,16100000,100000,*,22340,121955,5.45904207699194
chr9,16100001,16200000,100000,*,23433,103136,4.40131438569539
chr9,16200001,16300000,100000,*,18332,129032,7.0386209906175
chr9,16300001,16400000,100000,*,15017,166485,11.0864353732437
chr9,16400001,16500000,100000,*,11671,71547,6.13032302287722
chr9,16500001,16600000,100000,*,13591,48207,3.54697961886543
chr9,16600001,16700000,100000,*,17653,240270,13.6107177250326
chr9,16700001,16800000,100000,*,23277,149159,6.4079993126262
chr9,16800001,16900000,100000,*,25270,115204,4.5589236248516
chr9,16900001,17000000,100000,*,25589,127058,4.96533666809957
