seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,2966,15445,5.20734996628456
chr1,100001,200000,100000,*,2368,3505,1.48015202702703
chr1,200001,300000,100000,*,973,1073,1.10277492291881
chr1,300001,400000,100000,*,1068,1036,0.970037453183521
chr1,400001,500000,100000,*,1261,1199,0.950832672482157
chr1,500001,600000,100000,*,1163,1081,0.929492691315563
chr1,600001,700000,100000,*,1135,1628,1.43436123348018
chr1,700001,800000,100000,*,1554,4018,2.58558558558559
chr1,800001,900000,100000,*,1025,1116,1.08878048780488
chr1,900001,1000000,100000,*,1328,1874,1.41114457831325
chr1,1000001,1100000,100000,*,1322,1775,1.34266263237519
chr1,1100001,1200000,100000,*,4614,27552,5.97139141742523
chr1,1200001,1300000,100000,*,34188,268515,7.8540716040716
chr1,1300001,1400000,100000,*,33215,252996,7.61692006623514
chr1,1400001,1500000,100000,*,32794,219231,6.68509483442093
chr1,1500001,1600000,100000,*,33923,263550,7.76906523597559
chr1,1600001,1700000,100000,*,33795,240908,7.1285101346353
chr1,1700001,1800000,100000,*,34629,272878,7.88004273874498
chr1,1800001,1900000,100000,*,36431,270079,7.41343910405973
chr1,1900001,2000000,100000,*,33468,338403,10.1112405880244
chr1,2000001,2100000,100000,*,34666,267037,7.70313852189465
chr1,2100001,2200000,100000,*,26246,186517,7.10649241789225
chr1,2200001,2300000,100000,*,35371,254132,7.18475587345566
chr1,2300001,2400000,100000,*,34543,243118,7.03812639319109
chr1,2400001,2500000,100000,*,36565,265581,7.263257213182
chr1,2500001,2600000,100000,*,35401,259447,7.32880427106579
chr1,2600001,2700000,100000,*,35271,262919,7.45425420316974
chr1,2700001,2800000,100000,*,36713,254952,6.94446109007708
chr1,2800001,2900000,100000,*,33516,224154,6.68796992481203
chr1,2900001,3000000,100000,*,36879,299101,8.11033379430028
chr1,3000001,3100000,100000,*,33809,241418,7.14064302404685
chr1,3100001,3200000,100000,*,34379,250421,7.28412693795631
chr1,3200001,3300000,100000,*,32551,239407,7.35482780866947
chr1,3300001,3400000,100000,*,27736,232868,8.39587539659648
chr1,3400001,3500000,100000,*,33765,237340,7.02917221975418
chr1,3500001,3600000,100000,*,36013,273865,7.60461500013884
chr1,3600001,3700000,100000,*,35150,247719,7.04748221906117
chr1,3700001,3800000,100000,*,31269,226064,7.22965237135821
chr1,3800001,3900000,100000,*,34655,269671,7.781589958159
chr1,3900001,4000000,100000,*,35013,242180,6.91685945220347
chr1,4000001,4100000,100000,*,35637,264541,7.42321183040099
chr1,4100001,4200000,100000,*,34865,266588,7.64629284382619
chr1,4200001,4300000,100000,*,35285,248138,7.03239336828681
chr1,4300001,4400000,100000,*,31944,227720,7.12872526922114
chr1,4400001,4500000,100000,*,35026,263050,7.51013532804203
chr1,4500001,4600000,100000,*,32867,218758,6.65585541728786
chr1,4600001,4700000,100000,*,34102,238798,7.00246319863938
chr1,4700001,4800000,100000,*,33160,262208,7.90735826296743
chr1,4800001,4900000,100000,*,34711,262304,7.55679755697041
chr1,4900001,5000000,100000,*,35732,260600,7.29318258143961
