geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912314	23912611	267	increase
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222329	17222996	350	decrease
maker-chr4-augustus-gene-236.31	chr4	23627868	23628534	23628446	23628994	88	decrease
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042087	3043006	919	decrease
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22425972	22426597	625	decrease
maker-chr4-augustus-gene-192.34	chr4	19270700	19272824	19271388	19271952	564	decrease
augustus_masked-chr4-processed-gene-143.10	chr4	14354046	14362408	14361005	14361564	559	decrease
maker-chr4-augustus-gene-160.41	chr4	16023369	16026310	16022876	16023658	290	decrease
augustus_masked-chr4-processed-gene-238.25	chr4	23796153	23799602	23798137	23798684	547	increase
maker-chr4-augustus-gene-217.31	chr4	21735875	21736462	21735827	21736877	588	decrease
maker-chr4-augustus-gene-18.9	chr4	1845947	1847645	1845975	1846284	309	decrease
maker-chr4-augustus-gene-18.9	chr4	1845947	1847645	1847072	1847575	503	decrease
maker-chr4-augustus-gene-249.12	chr4	24897999	24899974	24899438	24899902	464	decrease
maker-chr4-augustus-gene-178.31	chr4	17796141	17802293	17800516	17800731	215	decrease
augustus_masked-chr4-processed-gene-125.2	chr4	12503450	12504822	12503073	12503980	531	decrease
maker-chr4-augustus-gene-18.16	chr4	1884016	1886267	1883596	1885284	1269	decrease
augustus_masked-chr4-processed-gene-4.13	chr4	431704	437153	432007	432524	517	decrease
augustus_masked-chr4-processed-gene-38.2	chr4	3800696	3801679	3800600	3801210	515	decrease
augustus_masked-chr4-processed-gene-181.18	chr4	18157318	18163054	18161332	18162151	819	decrease
maker-chr4-augustus-gene-202.18	chr4	20193436	20195650	20194540	20195065	525	decrease
augustus_masked-chr4-processed-gene-139.7	chr4	13918986	13923350	13919686	13920678	992	decrease
maker-chr4-augustus-gene-156.5	chr4	15601543	15604372	15602309	15602660	351	decrease
maker-chr4-augustus-gene-32.4	chr4	3197392	3200406	3198547	3199572	1025	decrease
maker-chr4-augustus-gene-150.10	chr4	15053473	15053944	15053042	15054078	472	decrease
augustus_masked-chr4-processed-gene-217.2	chr4	21700831	21703897	21701312	21702202	890	increase
maker-chr4-augustus-gene-134.17	chr4	13486701	13489607	13489256	13489881	351	decrease
maker-chr4-augustus-gene-243.21	chr4	24362638	24364324	24362656	24363305	649	decrease
augustus_masked-chr4-processed-gene-39.2	chr4	3889137	3890273	3889767	3890094	327	decrease
maker-chr4-augustus-gene-160.36	chr4	16054258	16056647	16054102	16054619	362	decrease
augustus_masked-chr4-processed-gene-220.35	chr4	22039803	22040934	22039640	22040858	1056	decrease
maker-chr1-augustus-gene-301.33	chr1	30036433	30040257	30036542	30037391	849	decrease
maker-chr1-augustus-gene-132.15	chr1	13198601	13205778	13199270	13202686	3416	decrease
maker-chr1-augustus-gene-254.3	chr1	25487152	25487598	25487481	25488763	117	decrease
maker-chr1-augustus-gene-100.6_maker-chr1-augustus-gene-100.7	chr1	10033826	10049622	10041659	10042083	424	decrease
maker-chr1-augustus-gene-53.0	chr1	5277400	5280885	5278972	5279205	233	increase
augustus_masked-chr1-processed-gene-121.20	chr1	12097771	12099466	12099378	12100134	88	decrease
augustus_masked-chr1-processed-gene-45.8	chr1	4520776	4522384	4520841	4521479	638	decrease
augustus_masked-chr1-processed-gene-375.17	chr1	37534143	37535751	37535730	37536303	21	decrease
maker-chr1-augustus-gene-158.0	chr1	15789402	15792884	15789317	15789905	504	decrease
maker-chr1-augustus-gene-162.20	chr1	16280294	16281422	16280936	16281359	423	decrease
augustus_masked-chr1-processed-gene-100.31	chr1	10015502	10049566	10041659	10042083	424	decrease
augustus_masked-chr1-processed-gene-121.27	chr1	12148654	12153545	12151388	12151758	370	decrease
augustus_masked-chr1-processed-gene-272.8_maker-chr1-augustus-gene-272.18	chr1	27240788	27247996	27243624	27244163	539	decrease
maker-chr1-augustus-gene-139.32	chr1	13987173	13989265	13989229	13989469	36	decrease
maker-chr1-augustus-gene-100.11	chr1	10040129	10041862	10041659	10042083	203	decrease
augustus_masked-chr1-processed-gene-178.5_augustus_masked-chr1-processed-gene-179.1	chr1	17824818	17897151	17843503	17843737	234	decrease
maker-chr1-augustus-gene-286.9	chr1	28586261	28654725	28596299	28596707	408	decrease
maker-chr1-augustus-gene-286.9	chr1	28586261	28654725	28640249	28640735	486	decrease
augustus_masked-chr1-processed-gene-369.12	chr1	36890766	36893504	36891485	36892323	838	decrease
augustus_masked-chr1-processed-gene-273.19	chr1	27345198	27347725	27347603	27348109	122	decrease
maker-chr1-augustus-gene-301.36	chr1	30050918	30054320	30051098	30052526	1428	decrease
maker-chr8-augustus-gene-234.10	chr8	23416387	23423262	23421204	23421557	353	decrease
augustus_masked-chr8-processed-gene-161.9	chr8	16101822	16102346	16101856	16102473	490	decrease
maker-chr8-augustus-gene-234.11	chr8	23437814	23442154	23437957	23441198	3241	decrease
maker-chr8-augustus-gene-241.32	chr8	24135441	24136843	24135993	24136368	375	decrease
maker-chr8-augustus-gene-210.26	chr8	21016967	21022032	21019430	21020042	612	decrease
maker-chr8-augustus-gene-69.2	chr8	6980615	6981542	6980781	6981361	580	increase
maker-chr8-augustus-gene-234.9	chr8	23396844	23403719	23401506	23401931	425	decrease
maker-chr8-augustus-gene-55.3	chr8	5517223	5523630	5521554	5521979	425	decrease
maker-chr8-augustus-gene-198.4	chr8	19829061	19831177	19830114	19830953	839	decrease
augustus_masked-chr8-processed-gene-210.10	chr8	21031360	21040094	21034804	21035429	625	decrease
augustus_masked-chr8-processed-gene-210.10	chr8	21031360	21040094	21037285	21037428	143	decrease
maker-chr8-augustus-gene-156.6	chr8	15645652	15647031	15645630	15645997	346	decrease
maker-chr8-augustus-gene-148.24	chr8	14850581	14854829	14850057	14850583	3	decrease
maker-chr8-augustus-gene-27.0	chr8	2710065	2710636	2710144	2710711	492	decrease
augustus_masked-chr8-processed-gene-205.34_augustus_masked-chr8-processed-gene-205.38	chr8	20512198	20529019	20522159	20523999	1840	decrease
maker-chr8-augustus-gene-255.30	chr8	25557978	25559345	25558764	25559074	310	decrease
maker-chr8-augustus-gene-205.4	chr8	20521858	20523528	20522159	20523999	1369	decrease
maker-chr8-augustus-gene-179.19	chr8	17932491	17934380	17933842	17934399	538	decrease
maker-chr8-augustus-gene-222.10	chr8	22235023	22235857	22235468	22235849	381	decrease
maker-chr8-augustus-gene-179.20	chr8	17937146	17944997	17937697	17938016	319	decrease
augustus_masked-chr8-processed-gene-162.6	chr8	16255711	16257616	16257183	16257586	403	decrease
maker-chr8-augustus-gene-43.8	chr8	4383893	4384518	4383745	4384435	543	decrease
augustus_masked-chr5-processed-gene-223.0	chr5	22285434	22286846	22285872	22286426	554	decrease
maker-chr5-augustus-gene-227.26	chr5	22744747	22746632	22745067	22745810	743	decrease
