seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,34672,200936,5.79533917858791
chr9,100001,200000,100000,*,34690,187028,5.39140962813491
chr9,200001,300000,100000,*,34562,221535,6.40978531334992
chr9,300001,400000,100000,*,35018,238327,6.8058427094637
chr9,400001,500000,100000,*,34613,240454,6.94692745500246
chr9,500001,600000,100000,*,33613,236164,7.02597209413025
chr9,600001,700000,100000,*,33521,230666,6.88123862653262
chr9,700001,800000,100000,*,34615,231489,6.68753430593673
chr9,800001,900000,100000,*,35731,236052,6.60636422154432
chr9,900001,1000000,100000,*,35073,215451,6.14293045932769
chr9,1000001,1100000,100000,*,36245,230186,6.35083459787557
chr9,1100001,1200000,100000,*,32432,216032,6.66107548100641
chr9,1200001,1300000,100000,*,32160,213277,6.63174751243781
chr9,1300001,1400000,100000,*,36357,229705,6.31804054239899
chr9,1400001,1500000,100000,*,34518,237798,6.88910133843212
chr9,1500001,1600000,100000,*,34817,233105,6.69514892150386
chr9,1600001,1700000,100000,*,35692,232873,6.52451529754567
chr9,1700001,1800000,100000,*,36447,238702,6.54929075095344
chr9,1800001,1900000,100000,*,32948,213324,6.47456598276071
chr9,1900001,2000000,100000,*,34335,238251,6.9390126692879
chr9,2000001,2100000,100000,*,35666,224650,6.29871586384792
chr9,2100001,2200000,100000,*,34718,224529,6.46722161414828
chr9,2200001,2300000,100000,*,35732,231029,6.46560505989029
chr9,2300001,2400000,100000,*,34931,238836,6.83736509117975
chr9,2400001,2500000,100000,*,36416,222806,6.11835456942003
chr9,2500001,2600000,100000,*,37217,234458,6.2997554880834
chr9,2600001,2700000,100000,*,35267,217282,6.16105707885559
chr9,2700001,2800000,100000,*,36430,211845,5.81512489706286
chr9,2800001,2900000,100000,*,35863,227135,6.33340769037727
chr9,2900001,3000000,100000,*,35808,232019,6.47952971403038
chr9,3000001,3100000,100000,*,32081,203674,6.34874224618933
chr9,3100001,3200000,100000,*,35685,214970,6.02409976180468
chr9,3200001,3300000,100000,*,34233,231079,6.75018257237169
chr9,3300001,3400000,100000,*,35523,242947,6.83914646848521
chr9,3400001,3500000,100000,*,35963,238754,6.63887884770459
chr9,3500001,3600000,100000,*,35086,223675,6.37504987744399
chr9,3600001,3700000,100000,*,36571,234902,6.42317683410352
chr9,3700001,3800000,100000,*,31994,212808,6.6514971557167
chr9,3800001,3900000,100000,*,35960,228702,6.35989988876529
