geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023938	chr16	14845803	14849220	14847684	14848317	633	increase
AlMed_G022497	chr16	1020595	1025310	1023587	1024192	605	increase
AlMed_G024859	chr16	19305519	19308934	19308093	19308659	566	increase
AlMed_G023413	chr16	11851947	11853960	11851758	11852315	369	increase
AlMed_G023000	chr16	8699194	8703851	8700836	8701049	213	increase
AlMed_G022779	chr16	3085772	3086921	3085388	3085972	201	increase
AlMed_G023015	chr16	8929751	8934121	8933852	8934358	269	increase
AlMed_G023615	chr16	13041241	13050108	13043068	13043727	659	decrease
AlMed_G023615	chr16	13041241	13050108	13041186	13041811	571	decrease
AlMed_G022676	chr16	2232554	2236436	2231954	2232629	76	increase
AlMed_G024009	chr16	15204852	15206180	15206175	15206864	5	decrease
AlMed_G022742	chr16	2798393	2799394	2799044	2799588	350	decrease
AlMed_G022974	chr16	8388661	8390056	8388296	8388693	33	increase
AlMed_G024468_AlMed_G024467	chr16	17498075	17505493	17500268	17501638	1370	decrease
AlMed_G024468_AlMed_G024467	chr16	17498075	17505493	17502698	17503065	367	decrease
AlMed_G024468_AlMed_G024467	chr16	17498075	17505493	17504443	17504965	522	decrease
AlMed_G023534	chr16	12583485	12585813	12585794	12586377	19	decrease
AlMed_G022347	chr16	178458	182629	181980	182527	547	increase
AlMed_G023581	chr16	12855847	12859343	12858323	12858831	508	decrease
AlMed_G024475	chr16	17535430	17536892	17536822	17537405	70	decrease
AlMed_G024917	chr16	19564656	19569364	19564802	19565145	343	decrease
AlMed_G022717	chr16	2559430	2560551	2559422	2560122	693	decrease
AlMed_G022899	chr16	4444293	4446220	4445366	4445521	155	decrease
AlMed_G023783	chr16	14129548	14131624	14130384	14131011	627	increase
AlMed_G023612	chr16	13034204	13035477	13034739	13035284	545	increase
AlMed_G024922	chr16	19576288	19579145	19577256	19577590	334	decrease
AlMed_G023840	chr16	14421737	14425940	14421908	14422486	578	increase
AlMed_G022501	chr16	1094377	1099419	1099231	1099829	188	increase
AlMed_G023619	chr16	13087081	13088372	13087497	13088120	623	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11840298	11840849	551	increase
AlMed_G022509_AlMed_G022510	chr16	1165915	1172685	1167848	1168712	864	increase
AlMed_G023338	chr16	11427090	11427614	11427418	11427781	196	increase
AlMed_G024144	chr16	15903258	15905201	15904868	15905408	333	decrease
