geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023261	chr16	10923787	10924577	10923495	10924084	298	decrease
AlMed_G023938	chr16	14845803	14849220	14846663	14847314	651	decrease
AlMed_G023166	chr16	10134138	10134499	10134268	10134585	231	increase
AlMed_G024344	chr16	16837130	16837647	16836834	16838922	518	increase
AlMed_G022620_AlMed_G022621	chr16	1940503	1943200	1943070	1943478	130	increase
AlMed_G023336	chr16	11419422	11420027	11419972	11420142	55	increase
AlMed_G022368	chr16	269745	272745	270178	271004	826	decrease
AlMed_G022777	chr16	3079728	3081250	3079712	3081525	1523	increase
AlMed_G022884	chr16	4291020	4294976	4288041	4291392	373	increase
AlMed_G023033	chr16	9099311	9103210	9102147	9102419	272	decrease
AlMed_G023033	chr16	9099311	9103210	9102970	9103261	240	increase
AlMed_G024501	chr16	17660548	17664875	17661993	17662056	63	decrease
AlMed_G023000	chr16	8699194	8703851	8700979	8701106	127	decrease
AlMed_G023000	chr16	8699194	8703851	8703688	8704150	163	decrease
AlMed_G023808	chr16	14273688	14274716	14273772	14274036	264	decrease
AlMed_G024266	chr16	16421737	16428806	16427723	16428410	687	increase
AlMed_G022779	chr16	3085772	3086921	3085619	3085824	53	decrease
AlMed_G022654	chr16	2110280	2111618	2110740	2111242	502	increase
AlMed_G023714	chr16	13636458	13642728	13637307	13637430	123	increase
AlMed_G023459	chr16	12156757	12158607	12158196	12158789	411	decrease
AlMed_G025021	chr16	20038895	20042491	20040998	20041683	685	increase
AlMed_G024951	chr16	19718070	19718865	19718309	19719268	556	decrease
AlMed_G022556	chr16	1474391	1475050	1474799	1475947	251	increase
AlMed_G023015	chr16	8929751	8934121	8930104	8930692	588	increase
AlMed_G023300	chr16	11160710	11161911	11160615	11161458	749	decrease
AlMed_G023615	chr16	13041241	13050108	13041883	13042069	186	decrease
AlMed_G023615	chr16	13041241	13050108	13043198	13043361	163	decrease
AlMed_G023615	chr16	13041241	13050108	13044492	13044806	314	decrease
AlMed_G024995	chr16	19921262	19923690	19922490	19922731	241	decrease
AlMed_G022676	chr16	2232554	2236436	2233521	2233738	217	increase
AlMed_G022676	chr16	2232554	2236436	2235700	2235898	198	increase
AlMed_G023986	chr16	15091747	15093754	15093603	15094508	151	increase
AlMed_G024965	chr16	19753356	19753682	19753258	19753480	125	decrease
AlMed_G022475	chr16	852544	854243	852686	853790	1104	increase
AlMed_G024555	chr16	17936992	17937802	17937154	17938054	648	increase
AlMed_G022981_AlMed_G022982	chr16	8508391	8512250	8508348	8508693	303	decrease
AlMed_G022781	chr16	3096771	3103406	3099353	3099428	75	decrease
AlMed_G022781	chr16	3096771	3103406	3099836	3100251	415	increase
AlMed_G022781	chr16	3096771	3103406	3102061	3102194	133	increase
AlMed_G024454	chr16	17410699	17414357	17410086	17410699	1	decrease
AlMed_G024007	chr16	15196861	15198297	15197779	15198364	518	increase
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4624720	4625467	747	increase
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4627855	4628527	672	decrease
AlMed_G022698	chr16	2397047	2401203	2401193	2401704	10	increase
AlMed_G022518	chr16	1201039	1209830	1206004	1206075	71	decrease
AlMed_G022518	chr16	1201039	1209830	1206571	1208291	1720	decrease
AlMed_G023581	chr16	12855847	12859343	12856284	12857060	776	increase
AlMed_G023581	chr16	12855847	12859343	12858328	12858870	542	increase
AlMed_G022335	chr16	89978	94044	94003	94065	41	increase
AlMed_G022753	chr16	2855839	2856279	2851909	2856157	319	increase
AlMed_G023040	chr16	9123899	9124150	9123327	9124577	252	decrease
AlMed_G023155	chr16	10009342	10009575	10009052	10009677	234	increase
AlMed_G023657	chr16	13339122	13340634	13338441	13339294	173	decrease
AlMed_G024008	chr16	15200371	15204198	15200239	15200872	502	increase
AlMed_G023659	chr16	13345293	13349608	13345014	13346287	995	increase
AlMed_G022719	chr16	2613278	2618345	2613544	2614296	752	decrease
AlMed_G023293	chr16	11098369	11098725	11098132	11099743	357	increase
AlMed_G022741	chr16	2786925	2792775	2790440	2791418	978	increase
AlMed_G023069	chr16	9377662	9379092	9378647	9378792	145	increase
AlMed_G023044	chr16	9206664	9210039	9207967	9208277	310	increase
AlMed_G022546	chr16	1422911	1426917	1426803	1426922	114	increase
AlMed_G023783	chr16	14129548	14131624	14130697	14131299	602	increase
AlMed_G023616	chr16	13050617	13051363	13051001	13053939	362	decrease
AlMed_G022977	chr16	8446598	8449809	8449797	8450410	12	decrease
AlMed_G022371	chr16	281422	282621	282277	283180	344	decrease
AlMed_G023871	chr16	14564600	14568635	14566306	14567578	1272	increase
AlMed_G023871	chr16	14564600	14568635	14568249	14568428	179	decrease
AlMed_G025022	chr16	20042222	20044520	20042631	20043489	858	increase
AlMed_G023844	chr16	14448006	14450882	14447664	14449308	1303	increase
AlMed_G022827	chr16	3507868	3508378	3507630	3508201	334	decrease
AlMed_G022752	chr16	2853662	2855390	2851909	2856157	1729	increase
AlMed_G022991	chr16	8678009	8679844	8678214	8680079	1630	decrease
AlMed_G023137	chr16	9918529	9919728	9918663	9918788	125	increase
AlMed_G023840	chr16	14421737	14425940	14421978	14422496	518	decrease
AlMed_G022331	chr16	69055	70022	69698	69805	107	increase
AlMed_G025052	chr16	20198036	20201011	20200015	20200174	159	increase
AlMed_G023292	chr16	11098026	11099624	11098132	11099743	1492	increase
AlMed_G023132	chr16	9886722	9895186	9892143	9892255	112	decrease
AlMed_G023132	chr16	9886722	9895186	9893277	9893894	617	decrease
AlMed_G022396	chr16	416336	416898	416732	417124	166	decrease
AlMed_G023619	chr16	13087081	13088372	13087524	13088983	848	decrease
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11821438	11822004	566	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11830903	11831712	809	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11836836	11837167	331	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11838405	11838958	553	increase
AlMed_G025009	chr16	19977629	19978878	19977752	19979513	1126	decrease
AlMed_G023936	chr16	14843077	14843909	14842930	14843111	35	decrease
AlMed_G024144	chr16	15903258	15905201	15904109	15904681	572	increase
AlMed_G024339	chr16	16799246	16803463	16802373	16802499	126	increase
AlMed_G024462	chr16	17476960	17479727	17476492	17477428	469	increase
AlMed_G023128	chr16	9855533	9859604	9849445	9860261	4072	decrease
AlMed_G022693	chr16	2355233	2361105	2356426	2356613	187	increase
AlMed_G023653	chr16	13323804	13326070	13323363	13323830	27	increase
AlMed_G023670	chr16	13404112	13405821	13403990	13404412	301	decrease
AlMed_G022731	chr16	2685615	2688040	2685475	2685730	116	increase
AlMed_G023568	chr16	12802019	12804768	12801313	12803021	1003	increase
