seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,23851,186046,7.80034380109849
chr9,100001,200000,100000,*,21745,197969,9.10411588871005
chr9,200001,300000,100000,*,31639,237520,7.50719049274629
chr9,300001,400000,100000,*,31287,232363,7.42682264199188
chr9,400001,500000,100000,*,29448,191479,6.50227519695735
chr9,500001,600000,100000,*,28878,229216,7.93739178613477
chr9,600001,700000,100000,*,28153,193126,6.85987283770824
chr9,700001,800000,100000,*,29100,196303,6.74580756013746
chr9,800001,900000,100000,*,31702,230880,7.2828212731058
chr9,900001,1000000,100000,*,28873,190297,6.59082880199494
chr9,1000001,1100000,100000,*,33207,258035,7.77050019574186
chr9,1100001,1200000,100000,*,23890,212827,8.90862285475094
chr9,1200001,1300000,100000,*,28353,326698,11.5225196628223
chr9,1300001,1400000,100000,*,33741,268090,7.94552621439791
chr9,1400001,1500000,100000,*,31559,249595,7.90883741563421
chr9,1500001,1600000,100000,*,31397,252937,8.0560881612893
chr9,1600001,1700000,100000,*,33573,251298,7.48512197301403
chr9,1700001,1800000,100000,*,33449,230826,6.90083410565338
chr9,1800001,1900000,100000,*,24031,159100,6.62061503890808
chr9,1900001,2000000,100000,*,30223,256567,8.48913079442809
chr9,2000001,2100000,100000,*,33451,281200,8.40632567038355
chr9,2100001,2200000,100000,*,32937,286663,8.70337310623311
chr9,2200001,2300000,100000,*,34005,279036,8.20573445081606
chr9,2300001,2400000,100000,*,31794,246304,7.74687047870667
chr9,2400001,2500000,100000,*,33908,231266,6.82039636663914
chr9,2500001,2600000,100000,*,35296,260988,7.39426563916591
chr9,2600001,2700000,100000,*,26766,190100,7.10229395501756
chr9,2700001,2800000,100000,*,32587,233571,7.1676128517507
chr9,2800001,2900000,100000,*,31811,234863,7.38307503693691
chr9,2900001,3000000,100000,*,34097,277526,8.13930844355808
chr9,3000001,3100000,100000,*,28064,191432,6.82126567844926
chr9,3100001,3200000,100000,*,26845,180841,6.73648724157199
chr9,3200001,3300000,100000,*,32712,260084,7.95072144778675
chr9,3300001,3400000,100000,*,34373,332276,9.66677333953976
chr9,3400001,3500000,100000,*,35109,301854,8.59762454071606
chr9,3500001,3600000,100000,*,32886,261719,7.95837134342881
chr9,3600001,3700000,100000,*,36542,316359,8.65740791418094
chr9,3700001,3800000,100000,*,29751,240323,8.07781251050385
chr9,3800001,3900000,100000,*,31665,220534,6.96459813674404
chr9,3900001,4000000,100000,*,32031,248648,7.76272985545253
chr9,4000001,4100000,100000,*,33044,249193,7.5412480329258
chr9,4100001,4200000,100000,*,32694,247695,7.57616076344283
chr9,4200001,4300000,100000,*,28681,225394,7.85865206931418
chr9,4300001,4400000,100000,*,30009,223301,7.44113432636876
chr9,4400001,4500000,100000,*,29783,217138,7.29066917368969
chr9,4500001,4600000,100000,*,26217,192931,7.35900369988939
