geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022440	chr16	657941	660674	658052	659219	1167	increase
AlMed_G023938	chr16	14845803	14849220	14845820	14846823	1003	increase
AlMed_G023938	chr16	14845803	14849220	14848264	14849967	956	increase
AlMed_G023166	chr16	10134138	10134499	10134165	10134445	280	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12278042	12279137	1095	decrease
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12279810	12280297	487	decrease
AlMed_G022368	chr16	269745	272745	270051	270116	65	decrease
AlMed_G022368	chr16	269745	272745	270637	271346	709	decrease
AlMed_G024859	chr16	19305519	19308934	19308054	19308359	305	decrease
AlMed_G023183	chr16	10313244	10317727	10315830	10316157	327	increase
AlMed_G023145	chr16	9959964	9965479	9962596	9962830	234	increase
AlMed_G022884	chr16	4291020	4294976	4288109	4291766	747	increase
AlMed_G024501	chr16	17660548	17664875	17661973	17662056	83	decrease
AlMed_G023000	chr16	8699194	8703851	8700844	8701334	490	decrease
AlMed_G023000	chr16	8699194	8703851	8701900	8702288	388	increase
AlMed_G023000	chr16	8699194	8703851	8703016	8704128	835	decrease
AlMed_G023808	chr16	14273688	14274716	14273816	14274096	280	decrease
AlMed_G022469	chr16	830516	834407	830266	831116	601	decrease
AlMed_G022779	chr16	3085772	3086921	3085023	3085837	66	decrease
AlMed_G023459	chr16	12156757	12158607	12157923	12158777	684	decrease
AlMed_G022872	chr16	4057797	4059639	4057679	4058079	283	increase
AlMed_G025021	chr16	20038895	20042491	20041052	20043530	1439	increase
AlMed_G024951	chr16	19718070	19718865	19718376	19719052	489	decrease
AlMed_G023795	chr16	14213179	14214073	14213662	14213755	93	increase
AlMed_G023015	chr16	8929751	8934121	8930024	8930644	620	increase
AlMed_G023300	chr16	11160710	11161911	11160588	11161562	853	decrease
AlMed_G023615	chr16	13041241	13050108	13043166	13048666	5500	increase
AlMed_G023615	chr16	13041241	13050108	13040920	13041861	621	increase
AlMed_G023349	chr16	11481056	11483326	11477776	11481091	36	increase
AlMed_G022676	chr16	2232554	2236436	2232325	2233071	518	increase
AlMed_G023523	chr16	12533537	12536756	12534861	12534924	63	increase
AlMed_G023523	chr16	12533537	12536756	12536675	12537006	81	increase
AlMed_G022475	chr16	852544	854243	852705	854303	1538	increase
AlMed_G022981_AlMed_G022982	chr16	8508391	8512250	8508364	8508616	226	decrease
AlMed_G023668	chr16	13397689	13398144	13397713	13398441	431	increase
AlMed_G024234	chr16	16273428	16276245	16273961	16275641	1680	decrease
AlMed_G023658	chr16	13342413	13343972	13340680	13346539	1560	increase
AlMed_G022781	chr16	3096771	3103406	3099229	3099435	206	decrease
AlMed_G022781	chr16	3096771	3103406	3099811	3099977	166	increase
