geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022966	chr16	8221303	8223556	8221171	8221735	433	decrease
AlMed_G023938	chr16	14845803	14849220	14847892	14848194	302	increase
AlMed_G023166	chr16	10134138	10134499	10134035	10134448	311	increase
AlMed_G023152	chr16	9993842	9995186	9995135	9995489	51	increase
AlMed_G022368	chr16	269745	272745	270848	270991	143	decrease
AlMed_G022777	chr16	3079728	3081250	3078199	3080831	1104	increase
AlMed_G024859	chr16	19305519	19308934	19307927	19308479	552	increase
AlMed_G022996	chr16	8695231	8695422	8694438	8695253	23	increase
AlMed_G023000	chr16	8699194	8703851	8699085	8699764	571	increase
AlMed_G023106	chr16	9658846	9660599	9658194	9658900	55	increase
AlMed_G022779	chr16	3085772	3086921	3085295	3086099	328	increase
AlMed_G022654	chr16	2110280	2111618	2110193	2111561	1282	increase
AlMed_G022737	chr16	2761565	2763181	2761781	2762081	300	decrease
AlMed_G025021	chr16	20038895	20042491	20042457	20042751	34	decrease
AlMed_G023102	chr16	9648367	9649418	9649068	9649753	350	increase
AlMed_G022596	chr16	1772696	1774604	1772974	1773597	623	increase
AlMed_G022459	chr16	784204	786960	784614	785172	558	increase
AlMed_G023615	chr16	13041241	13050108	13043905	13044709	804	decrease
AlMed_G023615	chr16	13041241	13050108	13045342	13046416	1074	increase
AlMed_G023615	chr16	13041241	13050108	13041286	13042021	735	decrease
AlMed_G023676	chr16	13434781	13435162	13435097	13435634	65	decrease
AlMed_G022676	chr16	2232554	2236436	2232355	2234643	2090	increase
AlMed_G024965	chr16	19753356	19753682	19753287	19753760	327	decrease
AlMed_G024424	chr16	17277101	17281010	17277724	17277828	104	increase
AlMed_G022742	chr16	2798393	2799394	2799131	2799732	263	decrease
AlMed_G024433	chr16	17318744	17324901	17323272	17323595	323	decrease
AlMed_G023725	chr16	13694416	13694871	13694426	13694836	410	decrease
AlMed_G023103	chr16	9649796	9650992	9650330	9650591	261	increase
AlMed_G023304	chr16	11207060	11210075	11208059	11208469	410	decrease
AlMed_G022534	chr16	1359184	1363089	1360687	1360983	296	decrease
AlMed_G022781	chr16	3096771	3103406	3097755	3098757	1002	decrease
AlMed_G022890	chr16	4323121	4326293	4323304	4323670	366	decrease
AlMed_G022518	chr16	1201039	1209830	1203728	1204399	671	increase
AlMed_G022753	chr16	2855839	2856279	2855635	2856175	337	increase
AlMed_G024422_AlMed_G024423	chr16	17270403	17276845	17272050	17272250	200	decrease
AlMed_G024541	chr16	17870785	17871593	17870874	17870995	121	increase
AlMed_G023274	chr16	10999582	11003920	10999442	11000010	429	increase
AlMed_G023105	chr16	9658135	9658682	9658194	9658900	488	increase
AlMed_G022555	chr16	1471137	1473161	1471683	1472661	978	increase
AlMed_G022925	chr16	5028134	5030337	5029651	5029933	282	increase
AlMed_G023783	chr16	14129548	14131624	14130346	14130893	547	increase
AlMed_G025022	chr16	20042222	20044520	20042457	20042751	294	decrease
AlMed_G023139	chr16	9933826	9937808	9936199	9936483	284	decrease
AlMed_G023612	chr16	13034204	13035477	13034619	13035081	462	increase
AlMed_G022635	chr16	2018747	2019127	2018671	2019420	381	increase
AlMed_G024922	chr16	19576288	19579145	19577261	19577419	158	decrease
