geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022371	chr16	281422	282621	282321	282814	300	decrease
AlMed_G023244_AlMed_G023245	chr16	10789330	10797655	10795877	10796037	160	decrease
AlMed_G000851	chr9	3466437	3471475	3468754	3469250	496	decrease
AlMed_G000235	chr9	949217	951865	950538	951081	543	increase
AlMed_G003254	chr9	15653272	15655331	15653396	15653791	395	decrease
AlMed_G003884	chr9	24340098	24340604	24339921	24340405	308	increase
AlMed_G000344	chr9	1371879	1385349	1373890	1374312	422	increase
AlMed_G004429	chr9	27705086	27710205	27707922	27708483	561	increase
AlMed_G003734	chr9	23104458	23107498	23106295	23106394	99	decrease
AlMed_G012051	chr14	23894283	23895787	23895602	23895805	185	decrease
AlMed_G012025	chr14	23740162	23748370	23743175	23743683	508	decrease
AlMed_G012391	chr14	25700792	25703975	25700995	25701186	191	decrease
AlMed_G010674	chr14	8334160	8350416	8348608	8349037	429	decrease
AlMed_G011592	chr14	20572701	20574490	20572864	20572954	90	decrease
AlMed_G011139	chr14	11326306	11327919	11326398	11326639	241	decrease
AlMed_G010220	chr14	6382002	6385177	6383648	6384161	513	decrease
AlMed_G012181	chr14	24520412	24522539	24521091	24521246	155	decrease
AlMed_G011823	chr14	22377317	22377683	22377512	22378047	171	decrease
AlMed_G012072	chr14	24020214	24026010	24023050	24023426	376	decrease
AlMed_G012525	chr11	323846	324846	323687	324103	258	decrease
AlMed_G012848	chr11	1500705	1509992	1502346	1503179	833	decrease
AlMed_G013174	chr11	2885174	2886861	2886008	2886666	658	decrease
AlMed_G013162	chr11	2834307	2841300	2836017	2836524	507	decrease
AlMed_G013701	chr11	4915752	4918646	4915860	4916188	328	decrease
AlMed_G014408	chr11	7884395	7887399	7886253	7886724	471	decrease
AlMed_G012978	chr11	2030735	2036419	2033357	2033816	459	decrease
AlMed_G015448	chr11	15476332	15478803	15475547	15476459	128	decrease
AlMed_G014964	chr11	10718538	10720644	10719497	10720116	619	decrease
AlMed_G013220	chr11	3029736	3043505	3038553	3038990	437	decrease
AlMed_G013662	chr11	4748537	4751124	4749844	4750148	304	decrease
AlMed_G013645	chr11	4666284	4672822	4668291	4668840	549	decrease
AlMed_G015447	chr11	15468479	15476412	15475547	15476459	865	decrease
AlMed_G013958	chr11	5921420	5926838	5925232	5925735	503	decrease
AlMed_G014776	chr11	9743705	9747528	9745985	9746149	164	decrease
AlMed_G019304	chr12	24457593	24460986	24459016	24459250	234	decrease
AlMed_G017686	chr12	16504079	16516010	16509373	16510261	888	decrease
AlMed_G016572	chr12	2174841	2177056	2174559	2175228	388	decrease
AlMed_G019172	chr12	23808491	23809477	23808486	23808861	371	decrease
AlMed_G018246	chr12	19427981	19433121	19431187	19431250	63	increase
AlMed_G019749	chr13	1993972	2010820	1996571	1996962	391	increase
AlMed_G020096	chr13	4199120	4206222	4204383	4205082	699	decrease
AlMed_G020689	chr13	15271315	15274939	15272570	15273155	585	decrease
AlMed_G020982	chr13	16873943	16874497	16873716	16874334	392	decrease
AlMed_G008458	chr15	26088006	26090545	26088314	26089034	720	increase
AlMed_G006701	chr15	9360331	9362783	9361155	9362243	1088	decrease
AlMed_G005811	chr15	5529855	5533099	5530345	5530779	434	increase
AlMed_G008291	chr15	24938872	24943935	24943837	24944186	98	increase
AlMed_G025816	chr10	4150531	4152391	4150421	4151420	890	decrease
AlMed_G027747	chr10	20492766	20497987	20495329	20495754	425	decrease
