seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,39939,2752476,68.9169984225945
chr1,100001,200000,100000,*,39124,2725070,69.6521316838769
chr1,200001,300000,100000,*,37426,2587338,69.1321006786726
chr1,300001,400000,100000,*,35731,2394365,67.0108589180264
chr1,400001,500000,100000,*,36447,2574164,70.6275962356298
chr1,500001,600000,100000,*,34896,2296512,65.8101788170564
chr1,600001,700000,100000,*,34273,2239101,65.3313395384122
chr1,700001,800000,100000,*,34749,2293267,65.9951941063052
chr1,800001,900000,100000,*,35766,2392127,66.8827098361572
chr1,900001,1000000,100000,*,36298,2346973,64.6584660311863
chr1,1000001,1100000,100000,*,36627,2429126,66.320637780872
chr1,1100001,1200000,100000,*,37109,2611640,70.3775364466841
chr1,1200001,1300000,100000,*,35349,2369226,67.0238479164899
chr1,1300001,1400000,100000,*,34862,2221105,63.711347599105
chr1,1400001,1500000,100000,*,38254,2722420,71.1669367909238
chr1,1500001,1600000,100000,*,36167,2498371,69.0787458180109
chr1,1600001,1700000,100000,*,37251,2350978,63.1118090789509
chr1,1700001,1800000,100000,*,35429,2354777,66.4646758305343
chr1,1800001,1900000,100000,*,37224,2718476,73.0301955727488
chr1,1900001,2000000,100000,*,37464,3705270,98.9021460602178
chr1,2000001,2100000,100000,*,36136,2454156,67.9144343590879
chr1,2100001,2200000,100000,*,36949,2488983,67.3626620476874
chr1,2200001,2300000,100000,*,36969,2545491,68.8547431631908
chr1,2300001,2400000,100000,*,36655,2344404,63.9586413858955
chr1,2400001,2500000,100000,*,37096,2609941,70.356399611818
chr1,2500001,2600000,100000,*,36573,2517515,68.8353430126049
chr1,2600001,2700000,100000,*,36701,2524659,68.789923980273
chr1,2700001,2800000,100000,*,37955,2757915,72.662758529838
chr1,2800001,2900000,100000,*,38521,2702998,70.1694660055554
chr1,2900001,3000000,100000,*,37973,2741640,72.1997208542912
chr1,3000001,3100000,100000,*,36653,2508753,68.4460480724634
chr1,3100001,3200000,100000,*,36279,2391658,65.9240331872433
chr1,3200001,3300000,100000,*,37057,2619560,70.6900180802547
chr1,3300001,3400000,100000,*,35990,2431247,67.5534037232565
chr1,3400001,3500000,100000,*,36547,2423527,66.3126111582346
chr1,3500001,3600000,100000,*,36953,2589670,70.0801017508727
chr1,3600001,3700000,100000,*,38421,2794201,72.7258790765467
chr1,3700001,3800000,100000,*,37155,2572920,69.2482842147759
chr1,3800001,3900000,100000,*,35778,2404237,67.1987534238918
chr1,3900001,4000000,100000,*,37661,2688544,71.388014126019
chr1,4000001,4100000,100000,*,36599,2584409,70.6141971092106
chr1,4100001,4200000,100000,*,36379,2542282,69.8832293356057
chr1,4200001,4300000,100000,*,37964,2702334,71.1814877252134
chr1,4300001,4400000,100000,*,35692,2355261,65.9884848145243
chr1,4400001,4500000,100000,*,36279,2521351,69.4989112158549
chr1,4500001,4600000,100000,*,38774,2704821,69.758626914943
chr1,4600001,4700000,100000,*,36563,2497023,68.2937122227388
chr1,4700001,4800000,100000,*,35258,2345229,66.5162232684781
chr1,4800001,4900000,100000,*,35942,2429551,67.5964331422848
chr1,4900001,5000000,100000,*,37410,2580930,68.990376904571
chr1,5000001,5100000,100000,*,36268,2436441,67.1788077644204
chr1,5100001,5200000,100000,*,37487,2541290,67.7912342945555
chr1,5200001,5300000,100000,*,36732,2394337,65.1839540455189
chr1,5300001,5400000,100000,*,35188,2401944,68.2603160168239
chr1,5400001,5500000,100000,*,36920,2640967,71.532150595883
chr1,5500001,5600000,100000,*,34467,2207775,64.0547480198451
chr1,5600001,5700000,100000,*,36919,2548900,69.0403315366072
chr1,5700001,5800000,100000,*,37388,2545980,68.0961805927035
chr1,5800001,5900000,100000,*,35494,2234203,62.9459345241449
chr1,5900001,6000000,100000,*,35576,2440648,68.603777827749
chr1,6000001,6100000,100000,*,37867,2692966,71.1164338342092
chr1,6100001,6200000,100000,*,35247,2226344,63.1640707010526
chr1,6200001,6300000,100000,*,33837,2177517,64.3531341430978
chr1,6300001,6400000,100000,*,34444,2277802,66.1305887817907
chr1,6400001,6500000,100000,*,36014,2571282,71.3967346032099
chr1,6500001,6600000,100000,*,35314,2351983,66.6019992071133
chr1,6600001,6700000,100000,*,35086,2347656,66.9114746622585
chr1,6700001,6800000,100000,*,35864,2445903,68.1993921481151
chr1,6800001,6900000,100000,*,35418,2435709,68.7703709977977
chr1,6900001,7000000,100000,*,36044,2500536,69.374542226168
chr1,7000001,7100000,100000,*,36105,2394451,66.319097077967
chr1,7100001,7200000,100000,*,40413,3104620,76.8223096528345
chr1,7200001,7300000,100000,*,38386,2747466,71.5746886885844
chr1,7300001,7400000,100000,*,37259,2543102,68.2547035615556
chr1,7400001,7500000,100000,*,37034,2601606,70.2491224280391
chr1,7500001,7600000,100000,*,39026,2934365,75.1900015374366
chr1,7600001,7700000,100000,*,36838,2545419,69.097643737445
chr1,7700001,7800000,100000,*,37260,2678953,71.8988996242619
chr1,7800001,7900000,100000,*,36342,2597657,71.4780969676958
chr1,7900001,8000000,100000,*,35644,2389897,67.0490685669397
chr1,8000001,8100000,100000,*,37269,17400439,466.887735114975
chr1,8100001,8200000,100000,*,33565,2080452,61.9827796812156
chr1,8200001,8300000,100000,*,37321,2642648,70.8086064146191
chr1,8300001,8400000,100000,*,36405,2504339,68.7910726548551
chr1,8400001,8500000,100000,*,37621,2626590,69.8171234151139
chr1,8500001,8600000,100000,*,36645,2676022,73.025569654796
chr1,8600001,8700000,100000,*,38524,2817978,73.1486346173814
chr1,8700001,8800000,100000,*,34515,2215042,64.17621324062
chr1,8800001,8900000,100000,*,33952,2170081,63.9161463242224
chr1,8900001,9000000,100000,*,35667,2403370,67.3835758544313
chr1,9000001,9100000,100000,*,35982,2441927,67.8652381746429
chr1,9100001,9200000,100000,*,36310,2532888,69.757312035252
chr1,9200001,9300000,100000,*,35072,2396970,68.344263229927
chr1,9300001,9400000,100000,*,36622,2499641,68.2551744852821
chr1,9400001,9500000,100000,*,34972,2271553,64.9534770673682
chr1,9500001,9600000,100000,*,35617,2373935,66.6517393379566
chr1,9600001,9700000,100000,*,36160,2507772,69.3521017699115
chr1,9700001,9800000,100000,*,36645,2735308,74.6434165643335
chr1,9800001,9900000,100000,*,35824,2325947,64.9270600714605
chr1,9900001,10000000,100000,*,34421,2221025,64.5252897940211
chr1,10000001,10100000,100000,*,36244,2648194,73.0657212228231
chr1,10100001,10200000,100000,*,35649,2325644,65.2372857583663
chr1,10200001,10300000,100000,*,38262,3258031,85.1505671423344
chr1,10300001,10400000,100000,*,36352,2552760,70.2233714788732
chr1,10400001,10500000,100000,*,34209,2212567,64.6779210149376
chr1,10500001,10600000,100000,*,36359,2399812,66.0032454137903
chr1,10600001,10700000,100000,*,34488,2181608,63.2570169334261
chr1,10700001,10800000,100000,*,34818,2293377,65.8675684990522
chr1,10800001,10900000,100000,*,36249,2415144,66.6265000413805
chr1,10900001,11000000,100000,*,36896,2488803,67.4545479184736
chr1,11000001,11100000,100000,*,35619,2481939,69.6801987703192
chr1,11100001,11200000,100000,*,33518,2030563,60.5812697654991
chr1,11200001,11300000,100000,*,35792,2388750,66.7397742512293
chr1,11300001,11400000,100000,*,34794,2370501,68.1295913088464
chr1,11400001,11500000,100000,*,36572,2576372,70.4465711473258
chr1,11500001,11600000,100000,*,37449,2493393,66.5810302010735
chr1,11600001,11700000,100000,*,34098,2233518,65.5029033960936
chr1,11700001,11800000,100000,*,33804,1820400,53.8516151934682
chr1,11800001,11900000,100000,*,36534,1910215,52.2859528110801
chr1,11900001,12000000,100000,*,36801,2123869,57.7122632537159
chr1,12000001,12100000,100000,*,34194,1478090,43.2265894601392
chr1,12100001,12200000,100000,*,34073,1819433,53.3980864614211
chr1,12200001,12300000,100000,*,34746,2177307,62.6635296149197
chr1,12300001,12400000,100000,*,35776,2534959,70.8564121198569
chr1,12400001,12500000,100000,*,35331,2217550,62.7649939146925
chr1,12500001,12600000,100000,*,36384,2503810,68.8162379067722
chr1,12600001,12700000,100000,*,36546,2513267,68.7699611448585
chr1,12700001,12800000,100000,*,37250,2653788,71.2426308724832
chr1,12800001,12900000,100000,*,36108,2396332,66.3656807355711
chr1,12900001,13000000,100000,*,35613,2285730,64.1824614607026
chr1,13000001,13100000,100000,*,33475,1919902,57.3533084391337
chr1,13100001,13200000,100000,*,37065,2606794,70.3303385943613
chr1,13200001,13300000,100000,*,37317,2715441,72.7668622879653
chr1,13300001,13400000,100000,*,38054,2548450,66.9693067745835
chr1,13400001,13500000,100000,*,37345,2527513,67.6800910429776
chr1,13500001,13600000,100000,*,36462,2493662,68.3907081344962
chr1,13600001,13700000,100000,*,35108,2331390,66.4062321977897
chr1,13700001,13800000,100000,*,37684,2592537,68.7967572444539
chr1,13800001,13900000,100000,*,34006,2185071,64.2554549197201
chr1,13900001,14000000,100000,*,35836,2294921,64.0395412434423
chr1,14000001,14100000,100000,*,35227,2234867,63.4418769693701
chr1,14100001,14200000,100000,*,34089,2198695,64.4986652585878
chr1,14200001,14300000,100000,*,35638,2293028,64.3422189797407
chr1,14300001,14400000,100000,*,34533,2041540,59.1185243100802
chr1,14400001,14500000,100000,*,35016,2397235,68.4611320539182
chr1,14500001,14600000,100000,*,33523,2130938,63.566446917042
chr1,14600001,14700000,100000,*,34202,2148354,62.8136951055494
chr1,14700001,14800000,100000,*,36649,2630669,71.7801031406041
chr1,14800001,14900000,100000,*,34386,2717487,79.0288780317571
chr1,14900001,15000000,100000,*,34803,2177979,62.5802086027067
chr1,15000001,15100000,100000,*,37383,2502157,66.933017681834
chr1,15100001,15200000,100000,*,34111,2206276,64.6793116589956
chr1,15200001,15300000,100000,*,36696,2354201,64.1541584913887
chr1,15300001,15400000,100000,*,34588,2222176,64.2470220885856
chr1,15400001,15500000,100000,*,36351,2381706,65.5196830898737
chr1,15500001,15600000,100000,*,36237,2469623,68.1519717415901
chr1,15600001,15700000,100000,*,35072,2235383,63.7369696624088
chr1,15700001,15800000,100000,*,36278,2425644,66.8626715915982
chr1,15800001,15900000,100000,*,36087,2359720,65.3897525424668
chr1,15900001,16000000,100000,*,34377,2503603,72.8278500159991
