seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,33500,146978,4.38740298507463
chr9,100001,200000,100000,*,33216,141054,4.24656791907514
chr9,200001,300000,100000,*,33389,167601,5.01964718919405
chr9,300001,400000,100000,*,34212,193290,5.64977200982112
chr9,400001,500000,100000,*,33462,189869,5.67416771262925
chr9,500001,600000,100000,*,33188,208879,6.29381101602989
chr9,600001,700000,100000,*,32241,192700,5.97686175987097
chr9,700001,800000,100000,*,33556,175253,5.22270234831327
chr9,800001,900000,100000,*,34642,176813,5.10400669707292
chr9,900001,1000000,100000,*,33945,175374,5.16641626159965
chr9,1000001,1100000,100000,*,34816,169910,4.88022748161765
chr9,1100001,1200000,100000,*,31481,179503,5.70194720625139
chr9,1200001,1300000,100000,*,31175,180634,5.79419406575782
chr9,1300001,1400000,100000,*,35682,172620,4.83773331091307
chr9,1400001,1500000,100000,*,33996,190857,5.61410165901871
chr9,1500001,1600000,100000,*,33716,198993,5.90203464230632
chr9,1600001,1700000,100000,*,34561,173938,5.03278261624374
chr9,1700001,1800000,100000,*,34971,171508,4.904292127763
chr9,1800001,1900000,100000,*,32045,169853,5.30045248868778
chr9,1900001,2000000,100000,*,33415,195418,5.84821188089181
chr9,2000001,2100000,100000,*,33796,174155,5.15312463013374
chr9,2100001,2200000,100000,*,34051,178143,5.23165252121817
chr9,2200001,2300000,100000,*,34872,175403,5.02990938288598
chr9,2300001,2400000,100000,*,34071,186021,5.45980452584309
chr9,2400001,2500000,100000,*,35880,162824,4.53801560758083
chr9,2500001,2600000,100000,*,35922,166721,4.64119481097934
chr9,2600001,2700000,100000,*,33176,162654,4.90276103207138
chr9,2700001,2800000,100000,*,35563,175177,4.92582178106459
chr9,2800001,2900000,100000,*,34436,170440,4.9494714833314
chr9,2900001,3000000,100000,*,34945,173441,4.96325654600086
chr9,3000001,3100000,100000,*,30923,156488,5.06056980241244
chr9,3100001,3200000,100000,*,34375,168251,4.89457454545455
chr9,3200001,3300000,100000,*,33562,175457,5.22784696978726
chr9,3300001,3400000,100000,*,34695,184244,5.31039054618821
chr9,3400001,3500000,100000,*,35067,174042,4.96312772692275
chr9,3500001,3600000,100000,*,34101,172573,5.060643382892
chr9,3600001,3700000,100000,*,35210,163463,4.6425163305879
chr9,3700001,3800000,100000,*,31314,154560,4.93581145813374
chr9,3800001,3900000,100000,*,35778,168859,4.71963217619766
chr9,3900001,4000000,100000,*,34252,184978,5.40050216045778
chr9,4000001,4100000,100000,*,34341,169555,4.9373926210652
chr9,4100001,4200000,100000,*,34144,187980,5.5055060918463
chr9,4200001,4300000,100000,*,33385,185844,5.56669162797664
chr9,4300001,4400000,100000,*,33896,175735,5.18453504838329
chr9,4400001,4500000,100000,*,34428,155424,4.51446497037295
chr9,4500001,4600000,100000,*,33328,189602,5.68897023523764
chr9,4600001,4700000,100000,*,35338,171756,4.86037693134869
chr9,4700001,4800000,100000,*,32359,191237,5.90985506350629
chr9,4800001,4900000,100000,*,34140,182394,5.34253075571177
chr9,4900001,5000000,100000,*,32489,198003,6.0944627412355
chr9,5000001,5100000,100000,*,33562,181801,5.41687026994816
chr9,5100001,5200000,100000,*,34289,188441,5.49566916503835
chr9,5200001,5300000,100000,*,32366,173560,5.36241735154174
chr9,5300001,5400000,100000,*,34236,187169,5.46702301670756
chr9,5400001,5500000,100000,*,34892,166477,4.77120829989682
chr9,5500001,5600000,100000,*,25513,167719,6.57386430447223
chr9,5600001,5700000,100000,*,32055,187390,5.84588987677429
chr9,5700001,5800000,100000,*,32644,195775,5.99727361842911
chr9,5800001,5900000,100000,*,32689,179651,5.49576310073725
chr9,5900001,6000000,100000,*,32255,166881,5.17380251123857
chr9,6000001,6100000,100000,*,33337,198322,5.94900560938297
chr9,6100001,6200000,100000,*,21912,118062,5.38800657174151
chr9,6200001,6300000,100000,*,32936,191649,5.81883045907214
chr9,6300001,6400000,100000,*,30810,154258,5.00675105485232
chr9,6400001,6500000,100000,*,35682,164696,4.61566055714366
chr9,6500001,6600000,100000,*,35202,166009,4.71589682404409
chr9,6600001,6700000,100000,*,33665,187840,5.57968216248329
chr9,6700001,6800000,100000,*,35637,166625,4.67561803743301
chr9,6800001,6900000,100000,*,35348,166287,4.70428312775829
chr9,6900001,7000000,100000,*,32951,182582,5.54101544717915
chr9,7000001,7100000,100000,*,36127,162964,4.51086445041105
chr9,7100001,7200000,100000,*,34753,185819,5.34684775415072
chr9,7200001,7300000,100000,*,35231,175865,4.99176861286935
chr9,7300001,7400000,100000,*,33700,182085,5.40311572700297
chr9,7400001,7500000,100000,*,35289,165093,4.67831335543654
chr9,7500001,7600000,100000,*,34608,180226,5.20763985205733
chr9,7600001,7700000,100000,*,34583,174832,5.05543185958419
chr9,7700001,7800000,100000,*,35375,178253,5.03895406360424
chr9,7800001,7900000,100000,*,32989,188115,5.70235533056473
chr9,7900001,8000000,100000,*,33044,193139,5.8449037646774
chr9,8000001,8100000,100000,*,34189,169867,4.96846939073971
chr9,8100001,8200000,100000,*,32177,198535,6.17009043726886
chr9,8200001,8300000,100000,*,33479,182883,5.46261835777652
chr9,8300001,8400000,100000,*,32903,180355,5.48141506853478
chr9,8400001,8500000,100000,*,34065,189039,5.54936151475121
chr9,8500001,8600000,100000,*,34048,179729,5.27869478383459
chr9,8600001,8700000,100000,*,30597,158744,5.18822106742491
chr9,8700001,8800000,100000,*,35235,177062,5.02517383283667
chr9,8800001,8900000,100000,*,32879,190244,5.78618571124426
chr9,8900001,9000000,100000,*,30848,176591,5.72455264522822
chr9,9000001,9100000,100000,*,31980,163367,5.108411507192
chr9,9100001,9200000,100000,*,31825,198548,6.2387431264729
chr9,9200001,9300000,100000,*,35449,163744,4.61914299416063
chr9,9300001,9400000,100000,*,33237,188512,5.67175136143455
chr9,9400001,9500000,100000,*,28609,160725,5.61798734663917
chr9,9500001,9600000,100000,*,32262,198090,6.14004091500837
chr9,9600001,9700000,100000,*,32192,203272,6.31436381709742
chr9,9700001,9800000,100000,*,33296,182226,5.47290965881788
chr9,9800001,9900000,100000,*,33430,197700,5.91384983547712
chr9,9900001,10000000,100000,*,33128,199399,6.01904733156242
chr9,10000001,10100000,100000,*,33919,187298,5.52191986792063
chr9,10100001,10200000,100000,*,31107,174952,5.62420034075931
chr9,10200001,10300000,100000,*,32148,180707,5.62109618016673
chr9,10300001,10400000,100000,*,32654,160970,4.92956452501991
chr9,10400001,10500000,100000,*,34005,182219,5.35859432436406
chr9,10500001,10600000,100000,*,33671,191893,5.69905853701999
chr9,10600001,10700000,100000,*,32239,206510,6.40559570706287
chr9,10700001,10800000,100000,*,34089,172746,5.06749977998768
chr9,10800001,10900000,100000,*,32430,211566,6.52377428307123
chr9,10900001,11000000,100000,*,28455,165381,5.81201897733263
chr9,11000001,11100000,100000,*,20643,122667,5.94230489754396
chr9,11100001,11200000,100000,*,33310,183094,5.49666766736716
chr9,11200001,11300000,100000,*,34718,171692,4.94533095224379
chr9,11300001,11400000,100000,*,31607,170571,5.39662100167684
chr9,11400001,11500000,100000,*,34448,176990,5.13788899210404
chr9,11500001,11600000,100000,*,33519,194508,5.80291774814284
chr9,11600001,11700000,100000,*,32756,201195,6.14223348394187
chr9,11700001,11800000,100000,*,33619,189340,5.63193432285315
chr9,11800001,11900000,100000,*,34948,167015,4.77895730800046
chr9,11900001,12000000,100000,*,33633,166714,4.95685784794696
chr9,12000001,12100000,100000,*,35233,166281,4.71946754463145
chr9,12100001,12200000,100000,*,32757,163298,4.98513294868272
chr9,12200001,12300000,100000,*,34845,186217,5.34415267613718
chr9,12300001,12400000,100000,*,31185,205702,6.59618406285073
chr9,12400001,12500000,100000,*,21948,151092,6.88408966648442
chr9,12500001,12600000,100000,*,30888,187097,6.05727143227143
chr9,12600001,12700000,100000,*,31799,168489,5.2985628478883
chr9,12700001,12800000,100000,*,33632,166704,4.95670789724072
chr9,12800001,12900000,100000,*,32349,205559,6.35441590157346
chr9,12900001,13000000,100000,*,31982,205497,6.42539553498843
chr9,13000001,13100000,100000,*,32227,181694,5.63794333943588
chr9,13100001,13200000,100000,*,31947,166341,5.20677997934078
chr9,13200001,13300000,100000,*,34110,175608,5.14828496042216
chr9,13300001,13400000,100000,*,33799,170672,5.0496168525696
chr9,13400001,13500000,100000,*,33525,247877,7.3937956748695
chr9,13500001,13600000,100000,*,32023,205769,6.42566280485901
chr9,13600001,13700000,100000,*,33834,174908,5.16959271738488
chr9,13700001,13800000,100000,*,34418,187369,5.44392469056889
chr9,13800001,13900000,100000,*,32709,198209,6.05976948240545
chr9,13900001,14000000,100000,*,31062,213033,6.85831562681089
chr9,14000001,14100000,100000,*,33856,186228,5.50059073724008
chr9,14100001,14200000,100000,*,33313,191057,5.73520847717107
chr9,14200001,14300000,100000,*,33154,186577,5.62758641491223
chr9,14300001,14400000,100000,*,32290,195203,6.04530814493651
chr9,14400001,14500000,100000,*,33519,181910,5.42707121334169
chr9,14500001,14600000,100000,*,35233,160497,4.55530326682372
chr9,14600001,14700000,100000,*,31680,196533,6.20369318181818
chr9,14700001,14800000,100000,*,33218,176941,5.32666024444578
chr9,14800001,14900000,100000,*,32335,201616,6.23522498840266
chr9,14900001,15000000,100000,*,33030,196519,5.94971238268241
chr9,15000001,15100000,100000,*,32393,221739,6.84527521378075
chr9,15100001,15200000,100000,*,36399,177895,4.88735954284458
chr9,15200001,15300000,100000,*,23032,140332,6.09291420632164
chr9,15300001,15400000,100000,*,32669,180079,5.51222871835685
chr9,15400001,15500000,100000,*,31812,194940,6.12787627310449
chr9,15500001,15600000,100000,*,33494,190374,5.68382396847197
chr9,15600001,15700000,100000,*,34593,199777,5.77507010088746
chr9,15700001,15800000,100000,*,35036,169667,4.84264756250714
chr9,15800001,15900000,100000,*,33518,187461,5.5928456351811
chr9,15900001,16000000,100000,*,33294,148196,4.45113233615666
chr9,16000001,16100000,100000,*,33465,201024,6.00699238009861
chr9,16100001,16200000,100000,*,32365,166371,5.14046037386065
chr9,16200001,16300000,100000,*,32547,180985,5.56072756321627
chr9,16300001,16400000,100000,*,31634,167012,5.27950938863248
chr9,16400001,16500000,100000,*,34677,164947,4.75666868529573
chr9,16500001,16600000,100000,*,33572,109671,3.26674014059335
chr9,16600001,16700000,100000,*,33126,170636,5.1511199661897
chr9,16700001,16800000,100000,*,33876,188118,5.55313496280553
chr9,16800001,16900000,100000,*,34397,186128,5.41116957874233
chr9,16900001,17000000,100000,*,33497,201488,6.01510583037287
chr9,17000001,17100000,100000,*,32611,192827,5.91294348532704
chr9,17100001,17200000,100000,*,33856,178695,5.2780895557656
chr9,17200001,17300000,100000,*,33173,204441,6.16287342115576
chr9,17300001,17400000,100000,*,32420,209787,6.47091301665639
chr9,17400001,17500000,100000,*,32115,166807,5.19405262338471
chr9,17500001,17600000,100000,*,32639,251732,7.71261374429364
chr9,17600001,17700000,100000,*,33396,174327,5.2199964067553
chr9,17700001,17800000,100000,*,31673,167868,5.30003472989613
chr9,17800001,17900000,100000,*,32020,207541,6.4816052467208
chr9,17900001,18000000,100000,*,32580,214695,6.58977900552486
chr9,18000001,18100000,100000,*,33002,203274,6.15944488212836
chr9,18100001,18200000,100000,*,30564,181791,5.94787985865724
chr9,18200001,18300000,100000,*,32727,187741,5.73657836037523
chr9,18300001,18400000,100000,*,34249,186547,5.44678676749686
chr9,18400001,18500000,100000,*,33117,201859,6.09532868315367
chr9,18500001,18600000,100000,*,34041,155606,4.57113480802562
chr9,18600001,18700000,100000,*,31828,183871,5.77702023375644
chr9,18700001,18800000,100000,*,33598,163933,4.87924876480743
chr9,18800001,18900000,100000,*,23027,65622,2.84978503495896
chr9,18900001,19000000,100000,*,16091,33770,2.0986887079734
chr9,19000001,19100000,100000,*,12241,23399,1.91152683604281
chr9,19100001,19200000,100000,*,12601,27275,2.16451075311483
chr9,19200001,19300000,100000,*,14195,30311,2.13532934131737
chr9,19300001,19400000,100000,*,13007,26479,2.03574998077958
chr9,19400001,19500000,100000,*,13789,28275,2.05054753789252
chr9,19500001,19600000,100000,*,10027,16958,1.69123366909345
chr9,19600001,19700000,100000,*,12798,22161,1.73159868729489
chr9,19700001,19800000,100000,*,11202,23290,2.07909301910373
chr9,19800001,19900000,100000,*,12926,26238,2.02986229305276
chr9,19900001,20000000,100000,*,11337,19919,1.75699038546353
chr9,20000001,20100000,100000,*,13072,28970,2.21618727050184
chr9,20100001,20200000,100000,*,12398,24423,1.96991450233909
chr9,20200001,20300000,100000,*,11490,20424,1.77754569190601
chr9,20300001,20400000,100000,*,11386,20229,1.77665554189355
chr9,20400001,20500000,100000,*,10136,17006,1.67778216258879
chr9,20500001,20600000,100000,*,10337,18712,1.81019638192899
chr9,20600001,20700000,100000,*,11571,20247,1.74980554835364
chr9,20700001,20800000,100000,*,16956,32861,1.93801604151923
chr9,20800001,20900000,100000,*,18958,42343,2.23351619369132
chr9,20900001,21000000,100000,*,32324,119093,3.68435218413563
chr9,21000001,21100000,100000,*,37856,162207,4.28484256128487
chr9,21100001,21200000,100000,*,30978,171680,5.54199754664601
chr9,21200001,21300000,100000,*,33210,202108,6.08575730201746
chr9,21300001,21400000,100000,*,31284,155961,4.98532796317606
chr9,21400001,21500000,100000,*,32723,213710,6.53088042049934
chr9,21500001,21600000,100000,*,32880,193338,5.88010948905109
chr9,21600001,21700000,100000,*,30692,225532,7.34823406750945
chr9,21700001,21800000,100000,*,31831,183546,5.76626559014797
chr9,21800001,21900000,100000,*,32373,198256,6.12411577549192
chr9,21900001,22000000,100000,*,31292,196849,6.29071328134987
chr9,22000001,22100000,100000,*,33496,195826,5.84625029854311
chr9,22100001,22200000,100000,*,30986,204581,6.60236881172142
chr9,22200001,22300000,100000,*,28364,181977,6.41577351572416
chr9,22300001,22400000,100000,*,32003,194226,6.06899353185639
chr9,22400001,22500000,100000,*,29191,177972,6.09681066082012
chr9,22500001,22600000,100000,*,30018,211759,7.05440069291758
chr9,22600001,22700000,100000,*,31158,140311,4.50320944861673
chr9,22700001,22800000,100000,*,30866,223919,7.25455193416704
chr9,22800001,22900000,100000,*,32677,214485,6.56379104568963
chr9,22900001,23000000,100000,*,33330,201276,6.03888388838884
chr9,23000001,23100000,100000,*,36229,160168,4.42098871070137
chr9,23100001,23200000,100000,*,34112,197645,5.79400211069418
chr9,23200001,23300000,100000,*,31318,220036,7.0258637205441
chr9,23300001,23400000,100000,*,31037,213713,6.8857492670039
chr9,23400001,23500000,100000,*,31425,207222,6.59417661097852
chr9,23500001,23600000,100000,*,33093,204348,6.17496147221467
chr9,23600001,23700000,100000,*,21120,111783,5.29275568181818
chr9,23700001,23800000,100000,*,23149,114141,4.9307097498812
chr9,23800001,23900000,100000,*,34243,174152,5.08576935432059
chr9,23900001,24000000,100000,*,33684,183217,5.43928868305427
chr9,24000001,24100000,100000,*,34558,174297,5.04360784767637
chr9,24100001,24200000,100000,*,32124,198471,6.17827792304819
chr9,24200001,24300000,100000,*,31733,206257,6.49976365297955
chr9,24300001,24400000,100000,*,33823,181436,5.36427874523253
chr9,24400001,24500000,100000,*,31478,196642,6.24696613507847
chr9,24500001,24600000,100000,*,32710,190399,5.82081932130847
chr9,24600001,24700000,100000,*,27920,157997,5.65891833810888
chr9,24700001,24800000,100000,*,33106,203658,6.15169455687791
chr9,24800001,24900000,100000,*,32100,197115,6.14065420560748
chr9,24900001,25000000,100000,*,33830,184177,5.44419154596512
chr9,25000001,25100000,100000,*,34406,199743,5.80546997616695
chr9,25100001,25200000,100000,*,33783,175127,5.18387946600361
chr9,25200001,25300000,100000,*,33790,168714,4.99301568511394
chr9,25300001,25400000,100000,*,30009,176229,5.87253823852844
chr9,25400001,25500000,100000,*,34878,181878,5.21469120935833
chr9,25500001,25600000,100000,*,33003,201154,6.09502166469715
chr9,25600001,25700000,100000,*,30526,173199,5.6738190395073
chr9,25700001,25800000,100000,*,30466,210817,6.9197466027703
chr9,25800001,25900000,100000,*,31641,216152,6.83138965266584
chr9,25900001,26000000,100000,*,31758,197959,6.23335852383651
chr9,26000001,26100000,100000,*,25537,125636,4.91976348044015
chr9,26100001,26200000,100000,*,35305,180767,5.12015295283954
chr9,26200001,26300000,100000,*,35112,165782,4.72151970836181
chr9,26300001,26400000,100000,*,33211,174222,5.24591249887086
chr9,26400001,26500000,100000,*,25077,163703,6.52801371774933
chr9,26500001,26600000,100000,*,31080,211012,6.78931788931789
chr9,26600001,26700000,100000,*,30915,179273,5.79890021025392
chr9,26700001,26800000,100000,*,32895,198836,6.04456604347165
chr9,26800001,26900000,100000,*,33395,197131,5.90300943254978
chr9,26900001,27000000,100000,*,32500,196488,6.04578461538462
chr9,27000001,27100000,100000,*,32771,199542,6.08898111134845
chr9,27100001,27200000,100000,*,32107,198240,6.17435450213349
chr9,27200001,27300000,100000,*,32828,186380,5.67747045205313
chr9,27300001,27400000,100000,*,33512,181535,5.41701480066842
chr9,27400001,27500000,100000,*,31210,195541,6.26533162447933
chr9,27500001,27600000,100000,*,32851,177200,5.39405193144805
chr9,27600001,27700000,100000,*,27888,153658,5.50982501434309
chr9,27700001,27800000,100000,*,33676,184931,5.49147761016748
chr9,27800001,27900000,100000,*,33000,184763,5.59887878787879
chr9,27900001,28000000,100000,*,35127,175377,4.99265522247844
chr9,28000001,28100000,100000,*,33853,191697,5.66262960446637
chr9,28100001,28200000,100000,*,32960,155592,4.72063106796116
chr9,28200001,28300000,100000,*,33910,158813,4.68336773813034
chr9,28300001,28400000,100000,*,32978,184440,5.59281945539451
chr9,28400001,28500000,100000,*,34725,175593,5.05667386609071
chr9,28500001,28600000,100000,*,31934,106151,3.32407465397382
chr9,28600001,28700000,100000,*,24943,91709,3.67674297398068
chr9,28700001,28718688,18688,*,507,642,1.26627218934911
chr10,1,100000,100000,*,30540,150811,4.93814669286182
chr10,100001,200000,100000,*,35370,166950,4.72010178117048
chr10,200001,300000,100000,*,32784,202356,6.17240117130307
chr10,300001,400000,100000,*,33940,186225,5.4868886269888
chr10,400001,500000,100000,*,30207,163162,5.40146323699805
chr10,500001,600000,100000,*,23151,128500,5.55051617640707
chr10,600001,700000,100000,*,33364,146061,4.37780242177197
chr10,700001,800000,100000,*,33597,179489,5.34241152483853
chr10,800001,900000,100000,*,33225,191269,5.75677953348382
chr10,900001,1000000,100000,*,29920,177932,5.94692513368984
chr10,1000001,1100000,100000,*,29318,195434,6.6660072310526
chr10,1100001,1200000,100000,*,32147,207536,6.45584346906399
chr10,1200001,1300000,100000,*,32039,188319,5.87780517494304
