seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,8,0,0
chr1,100001,200000,100000,*,6,0,0
chr1,200001,300000,100000,*,5,0,0
chr1,300001,400000,100000,*,10,0,0
chr1,400001,500000,100000,*,6,0,0
chr1,500001,600000,100000,*,3,0,0
chr1,600001,700000,100000,*,3,0,0
chr1,700001,800000,100000,*,2,0,0
chr1,800001,900000,100000,*,6,0,0
chr1,900001,1000000,100000,*,7,0,0
chr1,1000001,1100000,100000,*,6,0,0
chr1,1100001,1200000,100000,*,5,0,0
chr1,1200001,1300000,100000,*,4,0,0
chr1,1300001,1400000,100000,*,7,0,0
chr1,1400001,1500000,100000,*,5,0,0
chr1,1500001,1600000,100000,*,5,0,0
chr1,1600001,1700000,100000,*,8,0,0
chr1,1700001,1800000,100000,*,2,0,0
chr1,1800001,1900000,100000,*,3,0,0
chr1,1900001,2000000,100000,*,5,0,0
chr1,2000001,2100000,100000,*,3,0,0
chr1,2100001,2200000,100000,*,7,0,0
chr1,2200001,2300000,100000,*,4,0,0
chr1,2300001,2400000,100000,*,4,0,0
chr1,2400001,2500000,100000,*,1,0,0
chr1,2500001,2600000,100000,*,5,0,0
chr1,2600001,2700000,100000,*,2,0,0
chr1,2700001,2800000,100000,*,5,0,0
chr1,2800001,2900000,100000,*,10,0,0
chr1,2900001,3000000,100000,*,5,0,0
chr1,3000001,3100000,100000,*,9,0,0
chr1,3100001,3200000,100000,*,6,0,0
chr1,3200001,3300000,100000,*,5,0,0
chr1,3300001,3400000,100000,*,14,0,0
chr1,3400001,3500000,100000,*,7,0,0
chr1,3500001,3600000,100000,*,4,0,0
chr1,3600001,3700000,100000,*,8,0,0
chr1,3700001,3800000,100000,*,8,0,0
chr1,3800001,3900000,100000,*,4,0,0
chr1,3900001,4000000,100000,*,7,0,0
chr1,4000001,4100000,100000,*,3,0,0
chr1,4100001,4200000,100000,*,4,0,0
chr1,4200001,4300000,100000,*,2,0,0
chr1,4300001,4400000,100000,*,10,0,0
chr1,4400001,4500000,100000,*,2,0,0
chr1,4500001,4600000,100000,*,15,0,0
chr1,4600001,4700000,100000,*,4,0,0
chr1,4700001,4800000,100000,*,6,0,0
chr1,4800001,4900000,100000,*,4,0,0
chr1,4900001,5000000,100000,*,4,0,0
chr1,5000001,5100000,100000,*,8,0,0
chr1,5100001,5200000,100000,*,10,0,0
chr1,5200001,5300000,100000,*,8,0,0
chr1,5300001,5400000,100000,*,4,0,0
chr1,5400001,5500000,100000,*,10,0,0
chr1,5500001,5600000,100000,*,3,0,0
chr1,5600001,5700000,100000,*,11,0,0
chr1,5700001,5800000,100000,*,16,0,0
chr1,5800001,5900000,100000,*,6,0,0
chr1,5900001,6000000,100000,*,8,0,0
chr1,6000001,6100000,100000,*,6,0,0
chr1,6100001,6200000,100000,*,9,0,0
chr1,6200001,6300000,100000,*,10,0,0
chr1,6300001,6400000,100000,*,5,0,0
chr1,6400001,6500000,100000,*,5,0,0
chr1,6500001,6600000,100000,*,6,0,0
chr1,6600001,6700000,100000,*,7,0,0
chr1,6700001,6800000,100000,*,5,0,0
chr1,6800001,6900000,100000,*,14,0,0
chr1,6900001,7000000,100000,*,4,0,0
chr1,7000001,7100000,100000,*,11,0,0
chr1,7100001,7200000,100000,*,8,0,0
chr1,7200001,7300000,100000,*,5,0,0
chr1,7300001,7400000,100000,*,10,0,0
chr1,7400001,7500000,100000,*,8,0,0
chr1,7500001,7600000,100000,*,2,0,0
chr1,7600001,7700000,100000,*,7,0,0
chr1,7700001,7800000,100000,*,6,0,0
chr1,7800001,7900000,100000,*,9,0,0
chr1,7900001,8000000,100000,*,3,0,0
chr1,8000001,8100000,100000,*,4,0,0
chr1,8100001,8200000,100000,*,14,0,0
chr1,8200001,8300000,100000,*,7,0,0
chr1,8300001,8400000,100000,*,5,0,0
chr1,8400001,8500000,100000,*,1,0,0
chr1,8500001,8600000,100000,*,10,0,0
chr1,8600001,8700000,100000,*,4,0,0
chr1,8700001,8800000,100000,*,4,0,0
chr1,8800001,8900000,100000,*,9,0,0
chr1,8900001,9000000,100000,*,4,0,0
chr1,9000001,9100000,100000,*,6,0,0
chr1,9100001,9200000,100000,*,3,0,0
chr1,9200001,9300000,100000,*,5,0,0
chr1,9300001,9400000,100000,*,14,0,0
chr1,9400001,9500000,100000,*,7,0,0
chr1,9500001,9600000,100000,*,15,0,0
chr1,9600001,9700000,100000,*,2,0,0
chr1,9700001,9800000,100000,*,9,0,0
chr1,9800001,9900000,100000,*,4,0,0
chr1,9900001,10000000,100000,*,7,0,0
chr1,10000001,10100000,100000,*,15,0,0
