geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022440	chr16	657941	660674	659124	659634	510	decrease
AlMed_G023166	chr16	10134138	10134499	10133938	10134453	316	increase
AlMed_G023152	chr16	9993842	9995186	9994592	9995390	594	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12280167	12280815	648	decrease
AlMed_G022996	chr16	8695231	8695422	8694776	8695245	15	increase
AlMed_G024979	chr16	19827121	19829972	19828760	19828953	193	increase
AlMed_G022633	chr16	2014101	2016268	2015408	2015994	586	increase
AlMed_G022779	chr16	3085772	3086921	3085490	3085978	207	increase
AlMed_G022427	chr16	562631	565843	562592	563473	843	decrease
AlMed_G022737	chr16	2761565	2763181	2761848	2762160	312	decrease
AlMed_G024137	chr16	15872604	15876785	15872278	15872614	11	decrease
AlMed_G024946	chr16	19694489	19698671	19695568	19696027	459	increase
AlMed_G023615	chr16	13041241	13050108	13043347	13044594	1247	decrease
AlMed_G023615	chr16	13041241	13050108	13041121	13041706	466	decrease
AlMed_G022676	chr16	2232554	2236436	2232010	2234926	2373	increase
AlMed_G022742	chr16	2798393	2799394	2799191	2799620	203	decrease
AlMed_G022388	chr16	372509	373643	372992	373679	651	increase
AlMed_G023725	chr16	13694416	13694871	13693435	13694731	316	decrease
AlMed_G023304	chr16	11207060	11210075	11207524	11208280	756	decrease
AlMed_G023658	chr16	13342413	13343972	13342479	13342651	172	decrease
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4626853	4627403	550	decrease
AlMed_G022890	chr16	4323121	4326293	4323457	4323967	510	decrease
AlMed_G022518	chr16	1201039	1209830	1201708	1202348	640	decrease
AlMed_G022518	chr16	1201039	1209830	1204504	1205185	681	decrease
AlMed_G023219	chr16	10574497	10575046	10574966	10575185	80	increase
AlMed_G023667	chr16	13384321	13385849	13385386	13385737	351	decrease
AlMed_G022753	chr16	2855839	2856279	2855768	2856108	270	increase
AlMed_G023040	chr16	9123899	9124150	9124089	9124526	61	increase
AlMed_G024134	chr16	15867081	15868976	15867813	15868273	460	decrease
AlMed_G023274	chr16	10999582	11003920	10999548	11000829	1248	increase
AlMed_G023105	chr16	9658135	9658682	9658137	9658667	530	increase
AlMed_G023723	chr16	13682914	13684975	13682969	13683318	349	increase
AlMed_G023044	chr16	9206664	9210039	9207543	9208276	733	decrease
AlMed_G022546	chr16	1422911	1426917	1422912	1423453	541	decrease
AlMed_G022899	chr16	4444293	4446220	4445350	4445480	130	decrease
AlMed_G023783	chr16	14129548	14131624	14130564	14130959	395	increase
AlMed_G023871	chr16	14564600	14568635	14568544	14569202	91	decrease
AlMed_G023371	chr16	11629827	11630879	11630485	11630987	394	decrease
AlMed_G022408	chr16	480077	482696	480098	480852	754	decrease
AlMed_G023139	chr16	9933826	9937808	9936170	9936257	87	decrease
AlMed_G024506	chr16	17677728	17683455	17679494	17680019	525	increase
AlMed_G022813	chr16	3327412	3327591	3327132	3327571	160	decrease
AlMed_G022635	chr16	2018747	2019127	2018713	2019334	381	increase
AlMed_G024201	chr16	16132661	16135439	16135155	16135796	284	decrease
AlMed_G023897	chr16	14650215	14651809	14650170	14650356	142	decrease
AlMed_G023132	chr16	9886722	9895186	9889937	9890183	246	decrease
AlMed_G023132	chr16	9886722	9895186	9894898	9895178	280	increase
AlMed_G023896	chr16	14645421	14648442	14645500	14646314	814	decrease
AlMed_G023619	chr16	13087081	13088372	13087527	13088402	845	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11839505	11839932	427	decrease
AlMed_G022744	chr16	2805562	2805939	2805880	2806259	59	increase
AlMed_G024144	chr16	15903258	15905201	15905059	15905629	142	decrease
AlMed_G023299	chr16	11140714	11143505	11142652	11142963	311	decrease
AlMed_G022584	chr16	1649581	1650313	1649902	1650061	159	decrease
AlMed_G023980	chr16	15065954	15072590	15068496	15068961	465	decrease
AlMed_G023653	chr16	13323804	13326070	13323181	13323852	49	decrease
AlMed_G022713	chr16	2516439	2524990	2523844	2524308	464	decrease
