geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912174	23913777	407	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873378	2874040	662	decrease
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882196	22882499	303	increase
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24191608	41	decrease
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14875273	14875664	391	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5097256	5098193	153	decrease
maker-chr4-augustus-gene-178.38	chr4	17857008	17861451	17858763	17859096	333	decrease
maker-chr4-augustus-gene-228.9	chr4	22800701	22802312	22801151	22801587	436	increase
augustus_masked-chr4-processed-gene-32.14	chr4	3178026	3179175	3177358	3178130	105	decrease
augustus_masked-chr4-processed-gene-216.20	chr4	21628377	21629794	21628733	21629243	510	increase
augustus_masked-chr4-processed-gene-208.32	chr4	20843110	20846807	20846568	20847342	239	increase
augustus_masked-chr4-processed-gene-7.14	chr4	749262	750395	749559	751726	836	decrease
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319397	8320267	423	increase
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042146	3042842	696	increase
augustus_masked-chr4-processed-gene-242.62	chr4	24287140	24287298	24287125	24287355	159	decrease
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22425972	22426733	761	increase
maker-chr4-augustus-gene-192.34	chr4	19270700	19272824	19271444	19271892	448	increase
maker-chr4-augustus-gene-200.46	chr4	20024080	20026989	20023513	20024340	261	decrease
augustus_masked-chr4-processed-gene-200.3	chr4	20018709	20021686	20019961	20020322	361	decrease
maker-chr4-augustus-gene-34.15	chr4	3450402	3451523	3450798	3451576	725	increase
maker-chr4-augustus-gene-227.27	chr4	22745802	22752195	22750811	22750864	53	increase
maker-chr4-augustus-gene-141.7	chr4	14163483	14164789	14163983	14164200	217	decrease
augustus_masked-chr4-processed-gene-143.10	chr4	14354046	14362408	14360169	14362569	2239	decrease
augustus_masked-chr4-processed-gene-16.6	chr4	1618612	1619094	1618777	1619418	317	decrease
maker-chr4-augustus-gene-252.26	chr4	25233434	25242062	25239456	25239974	518	decrease
maker-chr4-augustus-gene-257.29	chr4	25766145	25767563	25765779	25766380	236	decrease
maker-chr4-augustus-gene-37.3	chr4	3708889	3710270	3708578	3710135	1247	decrease
maker-chr4-augustus-gene-187.22	chr4	18767928	18770508	18769334	18770252	918	increase
augustus_masked-chr4-processed-gene-7.22	chr4	715615	716784	714728	715639	25	decrease
maker-chr4-augustus-gene-18.9	chr4	1845947	1847645	1845975	1846411	436	increase
maker-chr4-augustus-gene-18.9	chr4	1845947	1847645	1847229	1847684	416	increase
maker-chr4-augustus-gene-210.10	chr4	21021615	21024151	21021305	21021939	325	increase
maker-chr4-augustus-gene-200.35	chr4	20022094	20023889	20023513	20024340	376	decrease
augustus_masked-chr4-processed-gene-271.42	chr4	27142881	27143367	27143202	27143485	165	decrease
maker-chr4-augustus-gene-42.16	chr4	4217726	4229310	4219326	4221267	1941	decrease
maker-chr4-augustus-gene-163.23	chr4	16364869	16366801	16364870	16365572	702	decrease
augustus_masked-chr4-processed-gene-230.13_maker-chr4-augustus-gene-230.39	chr4	23077351	23083583	23078972	23079410	438	decrease
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14393401	14393651	250	increase
maker-chr4-augustus-gene-178.31	chr4	17796141	17802293	17797924	17798703	779	increase
maker-chr4-augustus-gene-69.4	chr4	6939365	6943026	6939506	6939951	445	decrease
maker-chr4-augustus-gene-18.11	chr4	1798414	1799094	1797974	1798634	221	increase
maker-chr4-augustus-gene-19.0	chr4	1889549	1891244	1889864	1890243	379	increase
augustus_masked-chr4-processed-gene-125.2	chr4	12503450	12504822	12502849	12505109	1373	increase
augustus_masked-chr4-processed-gene-217.13	chr4	21737292	21739341	21736558	21737513	222	decrease
maker-chr4-augustus-gene-239.35	chr4	23928598	23932972	23928410	23929570	973	increase
maker-chr4-augustus-gene-18.16	chr4	1884016	1886267	1883462	1885231	1216	increase
maker-chr4-augustus-gene-17.4	chr4	1697230	1699073	1697401	1697956	555	decrease
maker-chr4-augustus-gene-42.22	chr4	4220965	4222753	4219326	4221267	303	decrease
augustus_masked-chr4-processed-gene-32.17	chr4	3230360	3234925	3232640	3232902	262	decrease
maker-chr4-augustus-gene-7.10	chr4	750796	752503	749559	751726	931	decrease
augustus_masked-chr4-processed-gene-245.8	chr4	24516169	24517016	24515962	24516984	816	decrease
maker-chr4-augustus-gene-43.2	chr4	4287563	4292982	4288947	4289253	306	decrease
augustus_masked-chr4-processed-gene-218.0	chr4	21790912	21794315	21793991	21794373	324	decrease
maker-chr4-augustus-gene-13.0	chr4	1296301	1297526	1296838	1297142	304	decrease
augustus_masked-chr4-processed-gene-142.14	chr4	14242452	14245347	14242847	14243506	659	decrease
augustus_masked-chr4-processed-gene-142.14	chr4	14242452	14245347	14244015	14244665	650	decrease
maker-chr4-augustus-gene-88.0	chr4	8807715	8809855	8807598	8808445	731	increase
maker-chr4-augustus-gene-138.9	chr4	13884845	13885604	13884727	13885098	254	decrease
maker-chr4-augustus-gene-52.6	chr4	5212216	5215671	5214680	5215180	500	decrease
maker-chr4-augustus-gene-187.29	chr4	18755350	18757878	18755395	18755694	299	increase
maker-chr4-augustus-gene-187.29	chr4	18755350	18757878	18756423	18757554	1131	increase
maker-chr4-augustus-gene-156.8	chr4	15648731	15650144	15648699	15649159	429	decrease
augustus_masked-chr4-processed-gene-35.12	chr4	3495603	3496601	3495354	3495944	342	decrease
augustus_masked-chr4-processed-gene-15.6	chr4	1471692	1475839	1473118	1473697	579	decrease
augustus_masked-chr4-processed-gene-39.7	chr4	3966195	3968268	3967345	3967689	344	decrease
augustus_masked-chr4-processed-gene-187.17	chr4	18786129	18787409	18786227	18786862	635	decrease
maker-chr4-augustus-gene-6.7	chr4	572628	575314	573342	574323	981	increase
