geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18246048	18247548	984	decrease
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551864	14552048	184	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972659	21972981	82	decrease
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24511046	24511237	142	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14278931	14279821	376	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930649	24930899	250	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222679	17226848	2988	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876087	2877325	1218	decrease
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882196	22883184	988	increase
maker-chr4-augustus-gene-50.19	chr4	5014575	5015759	5014736	5016094	1023	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24192123	556	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3900995	3901763	768	decrease
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172914	14174854	808	increase
maker-chr4-augustus-gene-167.22	chr4	16704156	16705707	16704662	16704836	174	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16286777	16288434	1657	increase
augustus_masked-chr4-processed-gene-146.3	chr4	14664280	14666527	14664274	14664918	639	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268010	23269128	833	decrease
augustus_masked-chr4-processed-gene-42.7	chr4	4260416	4264618	4262641	4263744	1103	decrease
augustus_masked-chr4-processed-gene-84.9	chr4	8454898	8456865	8454906	8455397	491	increase
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25715964	25716590	626	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681695	2683335	536	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21987727	21988076	349	increase
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098367	5098630	237	decrease
maker-chr4-augustus-gene-228.6	chr4	22866317	22868338	22866711	22867279	568	increase
augustus_masked-chr4-processed-gene-32.24	chr4	3206840	3207805	3206507	3208290	966	decrease
maker-chr4-augustus-gene-28.25	chr4	2802584	2804514	2801643	2804629	1931	increase
augustus_masked-chr4-processed-gene-223.2	chr4	22300823	22301451	22300104	22302933	629	decrease
maker-chr4-augustus-gene-4.31	chr4	412761	415084	413861	414361	500	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673660	19673872	212	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412588	8414221	1261	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486217	25489955	1407	decrease
augustus_masked-chr4-processed-gene-162.2	chr4	16193419	16197425	16192974	16194497	1079	increase
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539262	1539591	212	decrease
maker-chr4-augustus-gene-4.33	chr4	459483	462435	461832	462524	603	increase
augustus_masked-chr4-processed-gene-23.0	chr4	2291365	2291811	2290744	2293307	447	decrease
maker-chr4-augustus-gene-151.0	chr4	15116477	15118001	15116983	15117274	291	decrease
augustus_masked-chr4-processed-gene-161.19	chr4	16099873	16100656	16099215	16101271	784	increase
augustus_masked-chr4-processed-gene-72.10	chr4	7279810	7280718	7280020	7281003	698	increase
maker-chr4-augustus-gene-77.7	chr4	7738017	7738906	7738118	7739031	788	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16303875	16303944	32	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16305077	16305317	240	decrease
maker-chr4-augustus-gene-190.15	chr4	19028192	19029233	19027987	19029158	967	increase
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510271	12513952	713	increase
augustus_masked-chr4-processed-gene-27.8	chr4	2710225	2710708	2710175	2712673	484	decrease
augustus_masked-chr4-processed-gene-216.20	chr4	21628377	21629794	21628680	21629245	565	decrease
augustus_masked-chr4-processed-gene-236.4	chr4	23603204	23603893	23603665	23603904	228	increase
maker-chr4-augustus-gene-252.39	chr4	25228389	25230164	25228634	25229383	749	decrease
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18602815	18603427	612	increase
augustus_masked-chr4-processed-gene-7.14	chr4	749262	750395	750092	752014	303	decrease
maker-chr4-augustus-gene-151.7	chr4	15171136	15171829	15171532	15172225	297	decrease
maker-chr4-augustus-gene-236.31	chr4	23627868	23628534	23628378	23629004	156	decrease
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319503	8320267	423	decrease
maker-chr4-augustus-gene-9.4	chr4	977193	980716	978306	978483	177	decrease
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042169	3043047	878	decrease
augustus_masked-chr4-processed-gene-270.16	chr4	27074318	27075971	27075624	27076110	347	increase
augustus_masked-chr4-processed-gene-81.12	chr4	8166723	8166995	8166444	8167232	273	increase
augustus_masked-chr4-processed-gene-20.9	chr4	2035831	2036094	2035528	2036098	264	decrease
maker-chr4-augustus-gene-151.1	chr4	15131113	15132949	15131604	15131829	225	decrease
augustus_masked-chr4-processed-gene-250.50	chr4	25013920	25015755	25014922	25015476	554	increase
augustus_masked-chr4-processed-gene-229.19	chr4	22932103	22933782	22932415	22932856	441	increase
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22425972	22426543	571	decrease
maker-chr4-augustus-gene-2.3	chr4	206051	206934	205907	206145	95	decrease
maker-chr4-augustus-gene-192.34	chr4	19270700	19272824	19271386	19271880	494	decrease
