seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
chr2,6668626,6677743,9118,*,399,140.683538204489,-1.08796415264982,-79.6577143369866,1.66430889573105e-05,0.00050268864471229,1252766,1253164,399
chr2,6650738,6660877,10140,*,434,132.332564156672,-0.986609892878918,-68.0296947799387,1.66430889573105e-05,0.00050268864471229,1251898,1252331,434
chr7,16320773,16323057,2285,*,108,74.4822805931561,-1.69013524531206,-67.0362995979981,1.66430889573105e-05,0.00050268864471229,4798886,4798993,108
chr2,3933148,3937234,4087,*,139,77.3756951823068,-1.50303328324368,-52.6360063989572,1.66430889573105e-05,0.00050268864471229,1176973,1177111,139
chr3,6335409,6338964,3556,*,115,62.3611066216733,-1.44238015051863,-42.1775248082736,1.66430889573105e-05,0.00050268864471229,1843222,1843336,115
chr3,22617843,22619164,1322,*,33,18.0200747235278,-1.68129410996177,-41.7691862953631,1.66430889573105e-05,0.00050268864471229,2019653,2019685,33
chr7,4338474,4339848,1375,*,61,26.7505211722862,-1.27088349228556,-40.9713289750452,1.66430889573105e-05,0.00050268864471229,4443111,4443171,61
chr1,13199020,13202862,3843,*,186,121.793745592732,1.69575882054132,39.7661721192792,1.66430889573105e-05,0.00050268864471229,392621,392806,186
chr2,13807773,13808354,582,*,20,14.1507861962417,-2.02932401429712,-39.3047999527969,1.66430889573105e-05,0.00050268864471229,1462690,1462709,20
chr5,3071834,3075353,3520,*,134,71.4479736953154,-1.50634353882449,-39.0636276891296,1.66430889573105e-05,0.00050268864471229,2966423,2966556,134
chr6,21844363,21845477,1115,*,65,27.3063787726195,-1.2102167270654,-38.043216200972,1.66430889573105e-05,0.00050268864471229,4224802,4224866,65
chr8,4728755,4728772,18,*,6,5.26311564629552,2.47320005785823,37.4529332594833,1.66430889573105e-05,0.00050268864471229,5292441,5292446,6
chr2,2314462,2315437,976,*,58,31.4357091945626,-1.53378707204902,-37.4148846979646,1.66430889573105e-05,0.00050268864471229,1127443,1127500,58
chr8,16355129,16356841,1713,*,59,31.4455746598158,-1.42267246705537,-37.0754538516811,1.66430889573105e-05,0.00050268864471229,5536508,5536566,59
chr7,14672441,14673517,1077,*,37,24.0131794158017,-1.70749119130581,-36.3496121280406,1.66430889573105e-05,0.00050268864471229,4751248,4751284,37
chr7,4247603,4248406,804,*,18,9.18981635111217,-1.72772982492485,-36.1131791290211,1.66430889573105e-05,0.00050268864471229,4439911,4439928,18
chr3,28507871,28508634,764,*,37,16.9419924103631,-1.42651445483394,-34.9513153611085,1.66430889573105e-05,0.00050268864471229,2139882,2139918,37
chr5,1357574,1358613,1040,*,31,19.7628709979855,-1.72115242990395,-34.278593384643,1.66430889573105e-05,0.00050268864471229,2953090,2953120,31
chr3,12600887,12601718,832,*,31,13.6933681416722,-1.47623637723448,-34.0891448948467,1.66430889573105e-05,0.00050268864471229,1901814,1901844,31
