geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023966	chr16	14967146	14972178	14967795	14968420	625	decrease
AlMed_G023660	chr16	13353576	13358653	13358207	13359023	446	increase
AlMed_G024087	chr16	15588815	15591113	15589803	15590455	652	increase
AlMed_G024101	chr16	15659728	15663846	15662601	15663021	420	increase
AlMed_G024871	chr16	19388912	19394771	19390692	19391148	456	decrease
AlMed_G024871	chr16	19388912	19394771	19393379	19393779	400	increase
AlMed_G024871	chr16	19388912	19394771	19394390	19394624	234	increase
AlMed_G022952	chr16	7969186	7972376	7970322	7970982	660	increase
AlMed_G024415	chr16	17247822	17250738	17248583	17248764	181	decrease
AlMed_G024415	chr16	17247822	17250738	17249368	17250148	780	increase
AlMed_G024561	chr16	17965387	17971980	17967186	17967387	201	increase
AlMed_G024561	chr16	17965387	17971980	17971593	17971671	78	decrease
AlMed_G022440	chr16	657941	660674	657582	658553	613	increase
AlMed_G022440	chr16	657941	660674	659224	660183	959	decrease
AlMed_G022966	chr16	8221303	8223556	8222360	8223460	1100	increase
AlMed_G023938	chr16	14845803	14849220	14845506	14846657	855	increase
AlMed_G023938	chr16	14845803	14849220	14848093	14849135	1042	increase
AlMed_G022660	chr16	2157688	2165428	2159113	2159348	235	decrease
AlMed_G022660	chr16	2157688	2165428	2160868	2161461	593	increase
AlMed_G022660	chr16	2157688	2165428	2162696	2163036	340	increase
AlMed_G024371	chr16	16968216	16972650	16969958	16970055	97	increase
AlMed_G024371	chr16	16968216	16972650	16970592	16971019	427	decrease
AlMed_G023073	chr16	9392236	9393608	9393114	9393220	106	increase
AlMed_G022431	chr16	603670	608350	606317	606452	135	increase
AlMed_G022431	chr16	603670	608350	607055	607127	72	decrease
AlMed_G024579	chr16	18055533	18058459	18057088	18057442	354	increase
AlMed_G024579	chr16	18055533	18058459	18058007	18058055	48	decrease
AlMed_G023604	chr16	12975784	12984153	12977949	12978694	745	increase
AlMed_G023604	chr16	12975784	12984153	12982322	12983570	1248	decrease
AlMed_G024206	chr16	16158414	16161511	16159365	16159823	458	increase
AlMed_G024185	chr16	16046374	16047210	16046108	16046399	26	increase
AlMed_G024476	chr16	17539569	17541095	17540279	17540808	529	decrease
AlMed_G023166	chr16	10134138	10134499	10134035	10134472	335	increase
AlMed_G022336	chr16	97540	103822	99363	100149	786	decrease
AlMed_G022336	chr16	97540	103822	97815	98500	685	increase
AlMed_G023368	chr16	11620773	11623482	11621468	11622477	1009	increase
AlMed_G022409	chr16	487305	489083	488095	488248	153	decrease
AlMed_G023004	chr16	8766685	8773854	8767365	8769082	1717	increase
AlMed_G023004	chr16	8766685	8773854	8770105	8770974	869	increase
AlMed_G023004	chr16	8766685	8773854	8772625	8773435	810	increase
AlMed_G023004	chr16	8766685	8773854	8773766	8774294	88	decrease
AlMed_G023578	chr16	12831258	12833471	12831230	12831650	393	increase
AlMed_G023578	chr16	12831258	12833471	12833068	12833715	403	decrease
AlMed_G023152	chr16	9993842	9995186	9994603	9995164	561	decrease
AlMed_G023522	chr16	12529410	12532916	12530382	12530522	140	increase
AlMed_G023522	chr16	12529410	12532916	12531030	12531564	534	increase
AlMed_G023522	chr16	12529410	12532916	12532366	12532550	184	increase
AlMed_G025061	chr16	20235305	20236903	20235396	20236548	1152	increase
AlMed_G023836	chr16	14399497	14403372	14400567	14403319	2752	increase
AlMed_G024369	chr16	16956906	16963737	16958996	16959737	741	increase
AlMed_G024369	chr16	16956906	16963737	16961111	16962245	1134	increase
AlMed_G022578	chr16	1625772	1627740	1627316	1627788	424	increase
AlMed_G024827	chr16	19151354	19154116	19152623	19153040	417	decrease
AlMed_G022522	chr16	1240098	1243093	1240276	1240878	602	decrease
AlMed_G022522	chr16	1240098	1243093	1242601	1243497	492	decrease
AlMed_G023227_AlMed_G023228	chr16	10653008	10658294	10656072	10656172	100	increase
AlMed_G024139	chr16	15883877	15886327	15885904	15885949	45	decrease
AlMed_G022620_AlMed_G022621	chr16	1940503	1943200	1942798	1943066	268	increase
AlMed_G024738	chr16	18781861	18783735	18783238	18783315	77	decrease
AlMed_G022836	chr16	3623381	3627484	3624708	3624775	67	increase
AlMed_G022836	chr16	3623381	3627484	3625164	3627200	2036	decrease
AlMed_G024012	chr16	15215928	15218936	15216040	15216554	514	increase
AlMed_G022497	chr16	1020595	1025310	1020540	1020607	13	increase
AlMed_G024222	chr16	16235543	16237495	16236503	16237105	602	increase
