seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,34868,193608,5.5525983709992
chr9,100001,200000,100000,*,34145,181272,5.30888856347928
chr9,200001,300000,100000,*,34146,212654,6.22778656357992
chr9,300001,400000,100000,*,35073,239557,6.83023978559005
chr9,400001,500000,100000,*,31881,120132,3.76813776230357
chr9,500001,600000,100000,*,31906,122560,3.84128377107754
chr9,600001,700000,100000,*,31327,121482,3.87786893095413
chr9,700001,800000,100000,*,31862,115924,3.63831523444856
chr9,800001,900000,100000,*,32573,126550,3.88511957756424
chr9,900001,1000000,100000,*,31153,105830,3.39710461271788
chr9,1000001,1100000,100000,*,32681,116447,3.56314066277042
chr9,1100001,1200000,100000,*,29595,113609,3.83879033620544
chr9,1200001,1300000,100000,*,29562,107920,3.65063256883837
chr9,1300001,1400000,100000,*,33452,115772,3.46083941169437
chr9,1400001,1500000,100000,*,32694,123478,3.77677861381293
chr9,1500001,1600000,100000,*,31643,120328,3.80267357709446
chr9,1600001,1700000,100000,*,32937,114480,3.47572638673832
chr9,1700001,1800000,100000,*,33999,121551,3.57513456278126
chr9,1800001,1900000,100000,*,30315,106600,3.51641101764803
chr9,1900001,2000000,100000,*,31973,147642,4.61770869170863
chr9,2000001,2100000,100000,*,32217,124894,3.87664897414409
chr9,2100001,2200000,100000,*,32450,114530,3.52942989214176
chr9,2200001,2300000,100000,*,33350,114242,3.42554722638681
chr9,2300001,2400000,100000,*,32501,121753,3.74613088828036
chr9,2400001,2500000,100000,*,33537,106186,3.16623430837582
chr9,2500001,2600000,100000,*,33902,116948,3.44958999469058
chr9,2600001,2700000,100000,*,31847,106369,3.34000062800264
chr9,2700001,2800000,100000,*,33888,106494,3.1425283286119
chr9,2800001,2900000,100000,*,32806,117937,3.59498262512955
chr9,2900001,3000000,100000,*,33889,132584,3.91230192687893
chr9,3000001,3100000,100000,*,29994,112018,3.73468026938721
chr9,3100001,3200000,100000,*,33171,113592,3.42443700823008
chr9,3200001,3300000,100000,*,32042,113348,3.53748205480307
chr9,3300001,3400000,100000,*,33125,133326,4.0249358490566
chr9,3400001,3500000,100000,*,33770,122156,3.61729345572994
chr9,3500001,3600000,100000,*,32588,113240,3.47489873573094
chr9,3600001,3700000,100000,*,34026,119276,3.50543701875037
chr9,3700001,3800000,100000,*,28896,103490,3.58146456256921
chr9,3800001,3900000,100000,*,33810,116689,3.45131617864537
chr9,3900001,4000000,100000,*,32999,124630,3.77678111457923
chr9,4000001,4100000,100000,*,33000,116458,3.5290303030303
chr9,4100001,4200000,100000,*,32417,115889,3.57494524477897
chr9,4200001,4300000,100000,*,32379,121316,3.74674943636307
chr9,4300001,4400000,100000,*,31169,110778,3.55410824858032
chr9,4400001,4500000,100000,*,32284,106264,3.29153760376657
chr9,4500001,4600000,100000,*,31679,116721,3.6844913033871
chr9,4600001,4700000,100000,*,32944,109408,3.32102962603205
chr9,4700001,4800000,100000,*,33092,231465,6.99459083766469
chr9,4800001,4900000,100000,*,35228,231380,6.56807085273078
chr9,4900001,5000000,100000,*,33295,234688,7.04874605796666
chr9,5000001,5100000,100000,*,34362,224646,6.53762877597346
chr9,5100001,5200000,100000,*,34547,219665,6.35843922771876
chr9,5200001,5300000,100000,*,31277,193034,6.17175560315887
chr9,5300001,5400000,100000,*,35176,238235,6.77265749374574
chr9,5400001,5500000,100000,*,35616,218276,6.12859389038634
chr9,5500001,5600000,100000,*,25858,196598,7.60298553639106
chr9,5600001,5700000,100000,*,32387,212311,6.55543891067404
chr9,5700001,5800000,100000,*,33301,242403,7.27915077625297
chr9,5800001,5900000,100000,*,34039,224946,6.60847850994448
