geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022345	chr16	166796	172451	168745	169382	637	decrease
AlMed_G003275	chr9	15763855	15766370	15764450	15765127	677	decrease
AlMed_G000988	chr9	3982022	3984778	3982854	3983573	719	decrease
AlMed_G003612	chr9	21879903	21883373	21882557	21883060	503	increase
AlMed_G001330	chr9	5432648	5433603	5432790	5433329	539	decrease
AlMed_G011502	chr14	19614057	19616476	19615629	19616206	577	decrease
AlMed_G011457	chr14	18880096	18884949	18882748	18883287	539	decrease
AlMed_G011236	chr14	12085422	12089319	12088218	12088771	553	decrease
AlMed_G014365	chr11	7700562	7711167	7709455	7710405	950	decrease
AlMed_G015498	chr11	20989967	20991409	20989999	20990751	752	decrease
AlMed_G017060	chr12	11792056	11797322	11794242	11794583	341	increase
AlMed_G005706	chr15	5068044	5075389	5072853	5073168	315	decrease
AlMed_G007919	chr15	17964278	17970166	17965642	17966405	763	increase
AlMed_G006914	chr15	10465213	10465524	10465314	10465630	210	decrease
AlMed_G008583	chr15	26913320	26916171	26914322	26914889	567	decrease
AlMed_G006987	chr15	10795455	10798258	10796625	10797289	664	increase
AlMed_G025770	chr10	3819560	3823092	3821171	3821739	568	decrease
