seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
chr8,17085623,17087195,1573,*,68,58.3142847040507,-2.37212389368501,-121.010208790188,8.29324929507381e-05,0.000712079397020421,7829558,7829625,68
chr3,17954415,17955696,1282,*,80,68.9714111215196,-2.48016612195365,-112.192438483841,8.29324929507381e-05,0.000712079397020421,2824925,2825004,80
chr6,21826310,21827015,706,*,60,31.1200259319767,1.42207449188917,73.5963324104884,8.29324929507381e-05,0.000712079397020421,5902237,5902296,60
chr7,18870890,18871705,816,*,45,32.0083369435443,-1.73535442834139,-67.6564086739165,8.29324929507381e-05,0.000712079397020421,6905951,6905995,45
chr2,3932997,3938027,5031,*,155,121.206310395679,-2.00654545748407,-67.3262898379258,8.29324929507381e-05,0.000712079397020421,1526389,1526543,155
chr1,16324821,16325964,1144,*,72,54.5248855900927,-1.95827399232027,-63.4106156391838,8.29324929507381e-05,0.000712079397020421,606054,606125,72
chr3,30047181,30048726,1546,*,277,57.2403187981962,0.760945695340409,62.033225657068,8.29324929507381e-05,0.000712079397020421,3212896,3213172,277
chr7,30080974,30081414,441,*,90,19.3101784736269,0.743138326811784,59.9234735678001,8.29324929507381e-05,0.000712079397020421,7290275,7290364,90
chr3,28507771,28508822,1052,*,72,57.059898993554,-2.19634682843208,-50.0270705758376,8.29324929507381e-05,0.000712079397020421,3157539,3157610,72
chr4,3042038,3043051,1014,*,49,29.6039674087005,-1.6733650430268,-47.8574191788648,8.29324929507381e-05,0.000712079397020421,3329352,3329400,49
chr7,10070363,10071568,1206,*,47,42.4004516343992,-2.2220479553013,-47.6587415531126,8.29324929507381e-05,0.000712079397020421,6550803,6550849,47
chr1,19567724,19568323,600,*,32,26.9758927094266,-2.26002842343477,-45.7036665338508,8.29324929507381e-05,0.000712079397020421,742952,742983,32
chr8,1883196,1884733,1538,*,93,59.4506449239446,-1.73026813465376,-42.7761071656271,8.29324929507381e-05,0.000712079397020421,7365254,7365346,93
chr3,25291161,25291789,629,*,56,30.3028068813636,2.78435769085476,41.7550150308472,8.29324929507381e-05,0.000712079397020421,3065251,3065306,56
chr6,27633005,27633459,455,*,47,36.2799743742394,-2.79535195486157,-41.250148285488,8.29324929507381e-05,0.000712079397020421,6130246,6130292,47
chr5,1357603,1358985,1383,*,68,43.5274729695121,-1.84680796306828,-39.7804984165067,8.29324929507381e-05,0.000712079397020421,4226904,4226971,68
chr6,20667088,20668411,1324,*,141,79.3465623253117,-1.4382331871627,-37.9889678573514,8.29324929507381e-05,0.000712079397020421,5853070,5853210,141
chr7,13059106,13060113,1008,*,40,31.5763760729938,-1.97439621010237,-37.6467940624361,8.29324929507381e-05,0.000712079397020421,6668737,6668776,40
chr7,27952810,27953769,960,*,74,54.9048512813306,-2.03656271444389,-37.4954604795635,8.29324929507381e-05,0.000712079397020421,7204812,7204885,74
chr4,23663710,23664567,858,*,58,45.1891583394266,-1.90506718157292,-37.3490913947451,8.29324929507381e-05,0.000712079397020421,4033242,4033299,58
chr1,11149396,11150570,1175,*,69,44.2063767884003,1.57494440242761,37.1236378605599,8.29324929507381e-05,0.000712079397020421,414165,414233,69
chr1,16143498,16144766,1269,*,64,36.2093507576773,-1.46936033127339,-37.1180483191527,8.29324929507381e-05,0.000712079397020421,601321,601384,64
chr8,2737720,2738458,739,*,32,17.5816676116511,-1.63241396650519,-36.9933121735079,8.29324929507381e-05,0.000712079397020421,7396233,7396264,32
chr1,35854785,35857230,2446,*,123,49.6335042779365,-1.38755712188952,-36.9308419849404,8.29324929507381e-05,0.000712079397020421,1286039,1286161,123
chr7,1274572,1275090,519,*,28,22.0451637288572,-2.26235873035706,-36.5242572093201,8.29324929507381e-05,0.000712079397020421,6196160,6196187,28
chr1,27971408,27971787,380,*,32,28.9798001413077,-2.45281408978734,-35.9870124915314,8.29324929507381e-05,0.000712079397020421,1009965,1009996,32
chr4,12502825,12505108,2284,*,97,54.7081103301628,-1.46057338954838,-35.736683535413,8.29324929507381e-05,0.000712079397020421,3599508,3599604,97
chr3,12738382,12739211,830,*,36,21.7677039663626,-1.67215389340151,-35.4914077211768,8.29324929507381e-05,0.000712079397020421,2625730,2625765,36
chr1,13127307,13128127,821,*,63,27.3507579397426,1.50499221422138,35.4237003505305,8.29324929507381e-05,0.000712079397020421,482191,482253,63
chr1,10719431,10720156,726,*,88,57.1884646381918,1.79493052172994,34.288851167286,8.29324929507381e-05,0.000712079397020421,395854,395941,88
chr5,1136963,1137810,848,*,57,31.5798407523431,-1.55277802534294,-33.7653513402536,8.29324929507381e-05,0.000712079397020421,4218370,4218426,57
chr8,17088521,17089682,1162,*,53,41.4234122180651,-1.98899004321832,-33.6729473727654,8.29324929507381e-05,0.000712079397020421,7829681,7829733,53
chr3,12600729,12601712,984,*,31,16.6951397245387,-1.73492825377175,-33.2938928468465,8.29324929507381e-05,0.000712079397020421,2620406,2620436,31
chr7,19184223,19185253,1031,*,79,20.7934021711327,-0.83547880529378,-33.0374652344989,8.29324929507381e-05,0.000712079397020421,6915590,6915668,79
chr5,24501213,24502344,1132,*,57,32.3526995349851,-1.58694994199207,-32.8618124043142,8.29324929507381e-05,0.000712079397020421,5055970,5056026,57
