seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,36140,248645,6.8800498063088
chr9,100001,200000,100000,*,35747,224940,6.29255601868688
chr9,200001,300000,100000,*,35143,285090,8.11228409640611
chr9,300001,400000,100000,*,35695,315897,8.84989494326937
chr9,400001,500000,100000,*,35161,313783,8.92417735559284
chr9,500001,600000,100000,*,34164,344903,10.0955098934551
chr9,600001,700000,100000,*,33962,328497,9.67248689712031
chr9,700001,800000,100000,*,35472,296191,8.34999436175011
chr9,800001,900000,100000,*,36090,288995,8.00761983929066
chr9,900001,1000000,100000,*,35558,284111,7.99007255751167
chr9,1000001,1100000,100000,*,36861,283591,7.69352432109818
chr9,1100001,1200000,100000,*,33159,307365,9.26942911426762
chr9,1200001,1300000,100000,*,32980,307931,9.33690115221346
chr9,1300001,1400000,100000,*,37174,284699,7.65855167590251
chr9,1400001,1500000,100000,*,35097,313875,8.94307205744081
chr9,1500001,1600000,100000,*,35142,318699,9.06889192419327
chr9,1600001,1700000,100000,*,36234,294923,8.13939945907159
chr9,1700001,1800000,100000,*,36875,293193,7.95099661016949
chr9,1800001,1900000,100000,*,33774,278209,8.23737194291467
chr9,1900001,2000000,100000,*,34962,319423,9.13629083004405
chr9,2000001,2100000,100000,*,36242,294791,8.13396059820098
chr9,2100001,2200000,100000,*,35421,292654,8.26216086502357
chr9,2200001,2300000,100000,*,36279,281697,7.76473993219218
chr9,2300001,2400000,100000,*,35366,302045,8.54054741842448
chr9,2400001,2500000,100000,*,37257,271117,7.27694124594036
chr9,2500001,2600000,100000,*,38096,277197,7.27627572448551
chr9,2600001,2700000,100000,*,36087,268419,7.43810790589409
chr9,2700001,2800000,100000,*,36961,275916,7.46505776358865
chr9,2800001,2900000,100000,*,36669,285319,7.7809321225013
chr9,2900001,3000000,100000,*,36820,295511,8.02582835415535
chr9,3000001,3100000,100000,*,32838,258803,7.88120470186978
chr9,3100001,3200000,100000,*,36019,276492,7.67628196229768
chr9,3200001,3300000,100000,*,35050,290327,8.2832239657632
chr9,3300001,3400000,100000,*,35929,303401,8.44445990703888
chr9,3400001,3500000,100000,*,36456,292615,8.0265251261795
chr9,3500001,3600000,100000,*,36196,288543,7.97168195380705
chr9,3600001,3700000,100000,*,37110,277905,7.48868229587712
chr9,3700001,3800000,100000,*,32868,256180,7.79420713155653
chr9,3800001,3900000,100000,*,36923,268759,7.27890474771822
chr9,3900001,4000000,100000,*,35927,293388,8.166225958193
chr9,4000001,4100000,100000,*,36579,286263,7.82588370376445
chr9,4100001,4200000,100000,*,35473,310527,8.75389733036394
chr9,4200001,4300000,100000,*,34737,302492,8.70806344819645
chr9,4300001,4400000,100000,*,35405,280612,7.92577319587629
chr9,4400001,4500000,100000,*,35984,258738,7.19036238328146
chr9,4500001,4600000,100000,*,34306,312231,9.10135253308459
chr9,4600001,4700000,100000,*,36839,278665,7.56440185672792
chr9,4700001,4800000,100000,*,33663,319060,9.47806196714494
chr9,4800001,4900000,100000,*,35775,296065,8.27575122292103
chr9,4900001,5000000,100000,*,34150,330305,9.67218155197657
chr9,5000001,5100000,100000,*,35395,300498,8.48984319819183
chr9,5100001,5200000,100000,*,35387,305659,8.63760703083053
chr9,5200001,5300000,100000,*,33838,281880,8.33027956735032
chr9,5300001,5400000,100000,*,35639,309606,8.6872807879009
chr9,5400001,5500000,100000,*,36400,274789,7.54914835164835
chr9,5500001,5600000,100000,*,26509,279474,10.5426081708099
chr9,5600001,5700000,100000,*,33392,308893,9.250509103977
chr9,5700001,5800000,100000,*,33814,325028,9.61223162003904
chr9,5800001,5900000,100000,*,34405,299432,8.70315361139369
chr9,5900001,6000000,100000,*,34147,280887,8.22581778779981
chr9,6000001,6100000,100000,*,34611,326223,9.42541388575886
chr9,6100001,6200000,100000,*,22840,199899,8.75214535901926
chr9,6200001,6300000,100000,*,34243,314838,9.19422947755746
chr9,6300001,6400000,100000,*,32185,262809,8.165574025167
chr9,6400001,6500000,100000,*,37954,265181,6.98690520103283
chr9,6500001,6600000,100000,*,37677,280310,7.43981739522786
chr9,6600001,6700000,100000,*,35226,299343,8.49778572645205
chr9,6700001,6800000,100000,*,37286,286049,7.67175347315346
chr9,6800001,6900000,100000,*,37171,274749,7.39148798794759
chr9,6900001,7000000,100000,*,34587,303136,8.76444907046
chr9,7000001,7100000,100000,*,37952,264814,6.97760328836425
chr9,7100001,7200000,100000,*,36092,300467,8.32503047766818
chr9,7200001,7300000,100000,*,36599,293227,8.01188557064401
chr9,7300001,7400000,100000,*,35168,295121,8.39174818016379
chr9,7400001,7500000,100000,*,36571,277229,7.58056930354653
chr9,7500001,7600000,100000,*,35886,297898,8.30123167809174
chr9,7600001,7700000,100000,*,36166,279505,7.7283913067522
chr9,7700001,7800000,100000,*,37091,288058,7.76625057291526
chr9,7800001,7900000,100000,*,34072,308804,9.06327776473351
chr9,7900001,8000000,100000,*,34211,314885,9.20420332641548
chr9,8000001,8100000,100000,*,35991,277177,7.70128643271929
chr9,8100001,8200000,100000,*,33104,326191,9.85352223296278
chr9,8200001,8300000,100000,*,34868,300681,8.62340828266606
chr9,8300001,8400000,100000,*,34595,301831,8.72470010117069
chr9,8400001,8500000,100000,*,35223,308301,8.75283195639213
chr9,8500001,8600000,100000,*,35338,295799,8.37056426509706
chr9,8600001,8700000,100000,*,32511,266420,8.1947648488204
chr9,8700001,8800000,100000,*,36180,295498,8.16744057490326
chr9,8800001,8900000,100000,*,34720,312363,8.9966301843318
chr9,8900001,9000000,100000,*,31907,292050,9.15316388253361
chr9,9000001,9100000,100000,*,33813,274986,8.13255256853873
chr9,9100001,9200000,100000,*,32960,333431,10.1162317961165
chr9,9200001,9300000,100000,*,37273,271607,7.28696375392375
chr9,9300001,9400000,100000,*,34725,317045,9.13016558675306
chr9,9400001,9500000,100000,*,29799,263125,8.82999429511057
chr9,9500001,9600000,100000,*,33191,320022,9.64183061673345
chr9,9600001,9700000,100000,*,32941,336206,10.2063082480799
chr9,9700001,9800000,100000,*,35058,301683,8.60525415026527
chr9,9800001,9900000,100000,*,34681,323615,9.33118998875465
chr9,9900001,10000000,100000,*,34463,323548,9.38827147955779
chr9,10000001,10100000,100000,*,35202,302234,8.58570535765013
chr9,10100001,10200000,100000,*,32387,295059,9.1104146725538
chr9,10200001,10300000,100000,*,34119,306043,8.96987016032123
chr9,10300001,10400000,100000,*,34306,260421,7.59112108669038
chr9,10400001,10500000,100000,*,35632,301264,8.45487202514594
chr9,10500001,10600000,100000,*,34765,316433,9.10205666618726
chr9,10600001,10700000,100000,*,33376,344048,10.3082454458293
chr9,10700001,10800000,100000,*,35409,283289,8.00048010392838
chr9,10800001,10900000,100000,*,33064,352581,10.6635918219211
chr9,10900001,11000000,100000,*,29895,271796,9.09168757317277
chr9,11000001,11100000,100000,*,21461,204659,9.53632169982759
chr9,11100001,11200000,100000,*,34931,302416,8.65752483467407
chr9,11200001,11300000,100000,*,36442,288583,7.91896712584381
chr9,11300001,11400000,100000,*,33261,287225,8.6354890111542
chr9,11400001,11500000,100000,*,36086,291735,8.08443717785291
chr9,11500001,11600000,100000,*,34807,321114,9.22555807739822
chr9,11600001,11700000,100000,*,33749,324873,9.62615188598181
chr9,11700001,11800000,100000,*,35162,310679,8.83564643649394
chr9,11800001,11900000,100000,*,36964,274085,7.41491721675143
chr9,11900001,12000000,100000,*,35418,277996,7.84900333163928
chr9,12000001,12100000,100000,*,37102,276532,7.45329092771279
chr9,12100001,12200000,100000,*,34715,268052,7.72150367276393
chr9,12200001,12300000,100000,*,35857,300799,8.38885015478149
chr9,12300001,12400000,100000,*,32616,335964,10.3005886681383
chr9,12400001,12500000,100000,*,22839,250810,10.9816541880117
chr9,12500001,12600000,100000,*,32042,306273,9.55848573746957
chr9,12600001,12700000,100000,*,33369,286072,8.57298690401271
chr9,12700001,12800000,100000,*,35010,278473,7.95409882890603
chr9,12800001,12900000,100000,*,33291,330202,9.91865669400138
chr9,12900001,13000000,100000,*,33297,337594,10.1388713697931
chr9,13000001,13100000,100000,*,34046,307401,9.02899018974329
chr9,13100001,13200000,100000,*,33646,277728,8.25441360042799
chr9,13200001,13300000,100000,*,36076,296577,8.22089477769154
chr9,13300001,13400000,100000,*,35596,273117,7.67268794246545
chr9,13400001,13500000,100000,*,34590,386728,11.1803411390575
chr9,13500001,13600000,100000,*,33569,344130,10.2514224433257
chr9,13600001,13700000,100000,*,35658,288122,8.08015031689943
chr9,13700001,13800000,100000,*,35760,309814,8.66370246085011
chr9,13800001,13900000,100000,*,34403,320389,9.31282155625963
chr9,13900001,14000000,100000,*,32156,359089,11.1670916780694
chr9,14000001,14100000,100000,*,35138,308545,8.7809493995105
chr9,14100001,14200000,100000,*,34774,311717,8.96408236038419
