seqnames	start	end	width	strand	dens
chr9	1	100000	100000	*	39120
chr9	100001	200000	100000	*	39947
chr9	200001	300000	100000	*	37565
chr9	300001	400000	100000	*	36195
chr9	400001	500000	100000	*	35695
chr9	500001	600000	100000	*	34418
chr9	600001	700000	100000	*	34302
chr9	700001	800000	100000	*	36186
chr9	800001	900000	100000	*	36385
chr9	900001	1000000	100000	*	36607
chr9	1000001	1100000	100000	*	38067
chr9	1100001	1200000	100000	*	34637
chr9	1200001	1300000	100000	*	34386
chr9	1300001	1400000	100000	*	37664
chr9	1400001	1500000	100000	*	35446
chr9	1500001	1600000	100000	*	35957
chr9	1600001	1700000	100000	*	36748
chr9	1700001	1800000	100000	*	37304
chr9	1800001	1900000	100000	*	36219
chr9	1900001	2000000	100000	*	35613
chr9	2000001	2100000	100000	*	37014
chr9	2100001	2200000	100000	*	36615
chr9	2200001	2300000	100000	*	36922
chr9	2300001	2400000	100000	*	35792
chr9	2400001	2500000	100000	*	38142
chr9	2500001	2600000	100000	*	38535
chr9	2600001	2700000	100000	*	37696
chr9	2700001	2800000	100000	*	38403
chr9	2800001	2900000	100000	*	37168
chr9	2900001	3000000	100000	*	37181
chr9	3000001	3100000	100000	*	37374
chr9	3100001	3200000	100000	*	36986
chr9	3200001	3300000	100000	*	36260
chr9	3300001	3400000	100000	*	36208
chr9	3400001	3500000	100000	*	36778
chr9	3500001	3600000	100000	*	36818
chr9	3600001	3700000	100000	*	37548
chr9	3700001	3800000	100000	*	37498
chr9	3800001	3900000	100000	*	37672
chr9	3900001	4000000	100000	*	36337
chr9	4000001	4100000	100000	*	37542
chr9	4100001	4200000	100000	*	35911
chr9	4200001	4300000	100000	*	35673
chr9	4300001	4400000	100000	*	36242
chr9	4400001	4500000	100000	*	38006
chr9	4500001	4600000	100000	*	34680
chr9	4600001	4700000	100000	*	37197
chr9	4700001	4800000	100000	*	34156
chr9	4800001	4900000	100000	*	36143
chr9	4900001	5000000	100000	*	34356
chr9	5000001	5100000	100000	*	35766
chr9	5100001	5200000	100000	*	35749
chr9	5200001	5300000	100000	*	35405
chr9	5300001	5400000	100000	*	35980
chr9	5400001	5500000	100000	*	37394
chr9	5500001	5600000	100000	*	34154
chr9	5600001	5700000	100000	*	34792
chr9	5700001	5800000	100000	*	34531
chr9	5800001	5900000	100000	*	36089
chr9	5900001	6000000	100000	*	36065
chr9	6000001	6100000	100000	*	35049
chr9	6100001	6200000	100000	*	36313
chr9	6200001	6300000	100000	*	35112
chr9	6300001	6400000	100000	*	37160
chr9	6400001	6500000	100000	*	38726
chr9	6500001	6600000	100000	*	38211
chr9	6600001	6700000	100000	*	35993
chr9	6700001	6800000	100000	*	38419
chr9	6800001	6900000	100000	*	37555
chr9	6900001	7000000	100000	*	35494
chr9	7000001	7100000	100000	*	38462
chr9	7100001	7200000	100000	*	36412
chr9	7200001	7300000	100000	*	37102
chr9	7300001	7400000	100000	*	35968
chr9	7400001	7500000	100000	*	37045
chr9	7500001	7600000	100000	*	36226
chr9	7600001	7700000	100000	*	36844
chr9	7700001	7800000	100000	*	37720
