seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,36711,416466,11.3444471684236
chr9,100001,200000,100000,*,36731,357416,9.73063624731154
chr9,200001,300000,100000,*,35481,455368,12.8341365801415
chr9,300001,400000,100000,*,36097,511920,14.1817879602183
chr9,400001,500000,100000,*,35481,496224,13.9856261097489
chr9,500001,600000,100000,*,34326,390874,11.3871118102896
chr9,600001,700000,100000,*,34055,363370,10.6700924974306
chr9,700001,800000,100000,*,35468,351231,9.90275741513477
chr9,800001,900000,100000,*,36106,354972,9.83138536531324
chr9,900001,1000000,100000,*,35312,321363,9.10067399184413
chr9,1000001,1100000,100000,*,37285,352402,9.45157570068392
chr9,1100001,1200000,100000,*,33275,329767,9.91035311795642
chr9,1200001,1300000,100000,*,33261,326836,9.82640329515048
chr9,1300001,1400000,100000,*,37511,348430,9.28874196902242
chr9,1400001,1500000,100000,*,35398,357233,10.091897847336
chr9,1500001,1600000,100000,*,35567,358859,10.0896617651194
chr9,1600001,1700000,100000,*,36510,356684,9.76948781155848
chr9,1700001,1800000,100000,*,37150,369217,9.9385464333782
chr9,1800001,1900000,100000,*,34092,318260,9.33532793617271
chr9,1900001,2000000,100000,*,35136,380140,10.8191029143898
chr9,2000001,2100000,100000,*,36541,342428,9.37106264196382
chr9,2100001,2200000,100000,*,35808,350363,9.78448949955317
chr9,2200001,2300000,100000,*,36708,356609,9.71474882859322
chr9,2300001,2400000,100000,*,35507,361797,10.1894556003042
chr9,2400001,2500000,100000,*,37802,340034,8.99513253267023
chr9,2500001,2600000,100000,*,38264,349212,9.12638511394522
chr9,2600001,2700000,100000,*,36634,334660,9.13522956816072
chr9,2700001,2800000,100000,*,37648,332442,8.83026986825329
chr9,2800001,2900000,100000,*,36927,362373,9.81322609472744
chr9,2900001,3000000,100000,*,36960,371822,10.060119047619
chr9,3000001,3100000,100000,*,33226,308549,9.28637211822067
chr9,3100001,3200000,100000,*,36652,340680,9.29499072356215
chr9,3200001,3300000,100000,*,35219,346357,9.83437917033419
chr9,3300001,3400000,100000,*,36133,373878,10.3472725763153
chr9,3400001,3500000,100000,*,36753,373652,10.1665714363453
chr9,3500001,3600000,100000,*,36467,349588,9.58642059944608
chr9,3600001,3700000,100000,*,37373,371149,9.93093944826479
chr9,3700001,3800000,100000,*,32649,314617,9.63634414530307
chr9,3800001,3900000,100000,*,37195,356142,9.57499663933324
chr9,3900001,4000000,100000,*,36067,342376,9.49277733107827
chr9,4000001,4100000,100000,*,36623,237372,6.48150069628376
chr9,4100001,4200000,100000,*,35016,235394,6.72246972812429
chr9,4200001,4300000,100000,*,34660,240286,6.93266012694749
chr9,4300001,4400000,100000,*,34641,232136,6.70119222886175
chr9,4400001,4500000,100000,*,35132,214319,6.100392804281
chr9,4500001,4600000,100000,*,34148,242408,7.09874663230643
chr9,4600001,4700000,100000,*,36760,224128,6.09706202393906
chr9,4700001,4800000,100000,*,33677,238436,7.08008433055201
chr9,4800001,4900000,100000,*,35531,232319,6.53848751794208
chr9,4900001,5000000,100000,*,34033,246993,7.2574559985896
chr9,5000001,5100000,100000,*,35026,237539,6.78179066978816
chr9,5100001,5200000,100000,*,35341,233411,6.60453863784273
chr9,5200001,5300000,100000,*,31590,197497,6.25188350743906
chr9,5300001,5400000,100000,*,35337,242733,6.86908905679599
chr9,5400001,5500000,100000,*,36214,221939,6.12854144805876
chr9,5500001,5600000,100000,*,26327,199111,7.56299616363429
chr9,5600001,5700000,100000,*,33409,218753,6.54772666048071
chr9,5700001,5800000,100000,*,33709,243341,7.2188732979323
chr9,5800001,5900000,100000,*,34506,231593,6.71167333217411
chr9,5900001,6000000,100000,*,33973,216622,6.37629882553793
chr9,6000001,6100000,100000,*,34733,241587,6.95554659833588
chr9,6100001,6200000,100000,*,22664,143212,6.31891987292623
chr9,6200001,6300000,100000,*,34057,232024,6.81281381213847
chr9,6300001,6400000,100000,*,32317,211896,6.55679673236996
chr9,6400001,6500000,100000,*,37858,236948,6.25886206350045
chr9,6500001,6600000,100000,*,37190,230182,6.18935197633773
chr9,6600001,6700000,100000,*,35401,230375,6.50758453151041
chr9,6700001,6800000,100000,*,37491,239385,6.38513243178363
chr9,6800001,6900000,100000,*,37067,242694,6.54744112013381
chr9,6900001,7000000,100000,*,34362,234300,6.81857866247599
chr9,7000001,7100000,100000,*,38166,239084,6.26431902740659
chr9,7100001,7200000,100000,*,35958,241889,6.72698704043606
chr9,7200001,7300000,100000,*,36328,239748,6.59953754679586
chr9,7300001,7400000,100000,*,34623,233234,6.7363891055079
chr9,7400001,7500000,100000,*,36339,230998,6.35675169927626
chr9,7500001,7600000,100000,*,35761,235434,6.58354072872683
chr9,7600001,7700000,100000,*,36252,230653,6.36249034536026
chr9,7700001,7800000,100000,*,37234,251794,6.76247515711447
chr9,7800001,7900000,100000,*,33702,224409,6.65862560085455
chr9,7900001,8000000,100000,*,34241,234310,6.84296603487048
chr9,8000001,8100000,100000,*,35614,211667,5.94336496883248
chr9,8100001,8200000,100000,*,32855,228220,6.94627910515903
chr9,8200001,8300000,100000,*,34845,225190,6.46262017506098
chr9,8300001,8400000,100000,*,34400,221103,6.42741279069767
chr9,8400001,8500000,100000,*,34995,238218,6.80720102871839
chr9,8500001,8600000,100000,*,35250,230852,6.54899290780142
chr9,8600001,8700000,100000,*,32269,207019,6.41541417459481
chr9,8700001,8800000,100000,*,36248,239997,6.62097219156919
chr9,8800001,8900000,100000,*,35225,239949,6.81189496096522
chr9,8900001,9000000,100000,*,31675,209157,6.60322020520916
chr9,9000001,9100000,100000,*,33921,228316,6.73081571887621
chr9,9100001,9200000,100000,*,32870,241433,7.34508670520231
chr9,9200001,9300000,100000,*,37230,220963,5.93507923717432
chr9,9300001,9400000,100000,*,34818,241570,6.93807800562927
chr9,9400001,9500000,100000,*,29348,198840,6.77524873926673
chr9,9500001,9600000,100000,*,33046,213649,6.46520002420868
chr9,9600001,9700000,100000,*,32762,243658,7.43721384530859
chr9,9700001,9800000,100000,*,34738,232903,6.70455984800507
chr9,9800001,9900000,100000,*,34560,239934,6.94253472222222
chr9,9900001,10000000,100000,*,34313,228250,6.65199778509603
chr9,10000001,10100000,100000,*,35067,228599,6.51892092280492
chr9,10100001,10200000,100000,*,32114,215027,6.69574017562434
chr9,10200001,10300000,100000,*,33631,218098,6.48502869376468
chr9,10300001,10400000,100000,*,33926,211181,6.22475387608324
chr9,10400001,10500000,100000,*,35557,225445,6.34038304693872
chr9,10500001,10600000,100000,*,33027,222188,6.72746540709117
chr9,10600001,10700000,100000,*,33452,297934,8.90631352385508
chr9,10700001,10800000,100000,*,35345,244223,6.90969019663319
chr9,10800001,10900000,100000,*,32834,248579,7.5707802887251
chr9,10900001,11000000,100000,*,29355,203160,6.92079713847726
chr9,11000001,11100000,100000,*,20958,140512,6.70445653211184
chr9,11100001,11200000,100000,*,34472,230085,6.67454745880715
chr9,11200001,11300000,100000,*,35974,223781,6.22063156724301
chr9,11300001,11400000,100000,*,32911,211133,6.41527148977545
chr9,11400001,11500000,100000,*,35538,242295,6.8179132196522
chr9,11500001,11600000,100000,*,34938,239148,6.84492529623905
chr9,11600001,11700000,100000,*,33822,235356,6.95866595706936
chr9,11700001,11800000,100000,*,34089,234695,6.88477221391065
chr9,11800001,11900000,100000,*,36893,220335,5.97227116255116
chr9,11900001,12000000,100000,*,34817,219795,6.31286440531924
chr9,12000001,12100000,100000,*,35361,218558,6.1807641186618
chr9,12100001,12200000,100000,*,34435,207527,6.02662988238711
chr9,12200001,12300000,100000,*,36023,237168,6.5837936873664
chr9,12300001,12400000,100000,*,32609,242929,7.4497531356374
chr9,12400001,12500000,100000,*,22550,159796,7.08629711751663
chr9,12500001,12600000,100000,*,31848,225215,7.07155865360462
chr9,12600001,12700000,100000,*,32519,219963,6.76413788861896
chr9,12700001,12800000,100000,*,35092,208536,5.94255100877693
chr9,12800001,12900000,100000,*,32598,219868,6.74483097122523
chr9,12900001,13000000,100000,*,32372,235111,7.26278882985296
chr9,13000001,13100000,100000,*,33605,228022,6.78535932152953
chr9,13100001,13200000,100000,*,33233,205006,6.16874793127313
chr9,13200001,13300000,100000,*,35910,239755,6.67655249234197
chr9,13300001,13400000,100000,*,35176,188762,5.36621560154651
chr9,13400001,13500000,100000,*,34122,336441,9.85994373131704
chr9,13500001,13600000,100000,*,33211,232181,6.9910872903556
chr9,13600001,13700000,100000,*,35104,206279,5.87622493163172
chr9,13700001,13800000,100000,*,35429,240217,6.78023652939682
chr9,13800001,13900000,100000,*,34138,231125,6.77031460542504
chr9,13900001,14000000,100000,*,31901,239728,7.51474875395756
chr9,14000001,14100000,100000,*,34937,238609,6.82969344820677
chr9,14100001,14200000,100000,*,34731,226014,6.50755808931502
chr9,14200001,14300000,100000,*,34460,222062,6.44405107370865
chr9,14300001,14400000,100000,*,33206,224100,6.74878034090225
chr9,14400001,14500000,100000,*,34925,235965,6.7563350035791
chr9,14500001,14600000,100000,*,36710,195064,5.31364750749115
chr9,14600001,14700000,100000,*,32705,222181,6.79348723436783
chr9,14700001,14800000,100000,*,34887,220138,6.31002952389142
chr9,14800001,14900000,100000,*,33779,243347,7.20409129932798
chr9,14900001,15000000,100000,*,33939,238050,7.01405462741978
chr9,15000001,15100000,100000,*,33406,248033,7.42480392743818
chr9,15100001,15200000,100000,*,38189,220176,5.7654298358166
chr9,15200001,15300000,100000,*,23574,154857,6.56897429371341
chr9,15300001,15400000,100000,*,34309,229891,6.70060334023143
chr9,15400001,15500000,100000,*,33049,223320,6.7572392508094
chr9,15500001,15600000,100000,*,35220,252996,7.18330494037479
chr9,15600001,15700000,100000,*,35958,227053,6.31439457144446
chr9,15700001,15800000,100000,*,36011,211067,5.86118130571214
chr9,15800001,15900000,100000,*,34709,248011,7.14543778270766
chr9,15900001,16000000,100000,*,34681,210222,6.06158991955249
chr9,16000001,16100000,100000,*,34135,216884,6.35371319759777
chr9,16100001,16200000,100000,*,31134,121177,3.89211151795465
chr9,16200001,16300000,100000,*,31873,125832,3.94791830075613
chr9,16300001,16400000,100000,*,30422,97496,3.20478601012425
chr9,16400001,16500000,100000,*,33917,92715,2.73358492791226
chr9,16500001,16600000,100000,*,31604,79041,2.50098088849513
chr9,16600001,16700000,100000,*,32737,235504,7.1938173931637
