geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023966	chr16	14967146	14972178	14967588	14968419	831	decrease
AlMed_G023660	chr16	13353576	13358653	13356001	13356663	662	decrease
AlMed_G024087	chr16	15588815	15591113	15589339	15590118	779	decrease
AlMed_G023060	chr16	9286152	9286704	9286330	9286365	35	decrease
AlMed_G023992	chr16	15126196	15127667	15126591	15127200	609	decrease
AlMed_G024871	chr16	19388912	19394771	19390027	19390766	739	decrease
AlMed_G024871	chr16	19388912	19394771	19393648	19394281	633	increase
AlMed_G022673	chr16	2225795	2226339	2226089	2227673	250	decrease
AlMed_G022992	chr16	8683747	8685287	8684014	8685394	1273	decrease
AlMed_G022952	chr16	7969186	7972376	7969861	7970301	440	decrease
AlMed_G022952	chr16	7969186	7972376	7971362	7971753	391	decrease
AlMed_G024143	chr16	15898518	15901774	15898868	15899333	465	decrease
AlMed_G024143	chr16	15898518	15901774	15901028	15901975	746	decrease
AlMed_G024415	chr16	17247822	17250738	17248583	17249076	493	decrease
AlMed_G024561	chr16	17965387	17971980	17966169	17966310	141	decrease
AlMed_G022440	chr16	657941	660674	657823	658415	475	increase
AlMed_G022440	chr16	657941	660674	659927	660655	728	decrease
AlMed_G023938	chr16	14845803	14849220	14846478	14846894	416	increase
AlMed_G022660	chr16	2157688	2165428	2159113	2159334	221	decrease
AlMed_G022660	chr16	2157688	2165428	2161726	2161866	140	increase
AlMed_G022660	chr16	2157688	2165428	2163803	2164261	458	decrease
AlMed_G024371	chr16	16968216	16972650	16970591	16971394	803	decrease
AlMed_G022431	chr16	603670	608350	605285	605395	110	decrease
AlMed_G023604	chr16	12975784	12984153	12978886	12979764	878	decrease
AlMed_G023604	chr16	12975784	12984153	12981440	12981768	328	decrease
AlMed_G023604	chr16	12975784	12984153	12983638	12983830	192	decrease
AlMed_G023604	chr16	12975784	12984153	12975860	12976264	404	decrease
AlMed_G024792	chr16	19007582	19010067	19007509	19007739	158	decrease
AlMed_G024206	chr16	16158414	16161511	16159431	16159981	550	decrease
AlMed_G024206	chr16	16158414	16161511	16160770	16161330	560	decrease
AlMed_G024476	chr16	17539569	17541095	17540250	17540963	713	decrease
AlMed_G022739	chr16	2776669	2777391	2777175	2777213	38	increase
AlMed_G023166	chr16	10134138	10134499	10134372	10134857	127	decrease
AlMed_G022336	chr16	97540	103822	99679	100149	470	decrease
AlMed_G022336	chr16	97540	103822	97954	99260	1306	increase
AlMed_G023368	chr16	11620773	11623482	11621468	11622501	1033	increase
AlMed_G023368	chr16	11620773	11623482	11623407	11623607	75	increase
AlMed_G023578	chr16	12831258	12833471	12831231	12832873	1616	increase
AlMed_G023578	chr16	12831258	12833471	12833271	12833316	45	decrease
AlMed_G024766	chr16	18897736	18899984	18898018	18898876	858	decrease
AlMed_G023152	chr16	9993842	9995186	9994737	9995282	449	decrease
AlMed_G025061	chr16	20235305	20236903	20235396	20235953	557	increase
AlMed_G025061	chr16	20235305	20236903	20236356	20236812	456	decrease
AlMed_G023836	chr16	14399497	14403372	14400226	14401272	1046	decrease
AlMed_G023836	chr16	14399497	14403372	14402985	14403130	145	increase
AlMed_G024369	chr16	16956906	16963737	16958996	16959481	485	increase
AlMed_G024369	chr16	16956906	16963737	16960391	16960911	520	decrease
AlMed_G024369	chr16	16956906	16963737	16961840	16963030	1190	decrease
AlMed_G022578	chr16	1625772	1627740	1627316	1627668	352	decrease
AlMed_G024344	chr16	16837130	16837647	16836882	16839088	518	decrease
AlMed_G024827	chr16	19151354	19154116	19150647	19151845	492	decrease
AlMed_G022522	chr16	1240098	1243093	1241179	1242310	1131	decrease
AlMed_G023227_AlMed_G023228	chr16	10653008	10658294	10653331	10653721	390	increase
AlMed_G023227_AlMed_G023228	chr16	10653008	10658294	10656158	10656235	77	increase
AlMed_G024139	chr16	15883877	15886327	15885306	15885949	643	decrease
AlMed_G022620_AlMed_G022621	chr16	1940503	1943200	1941389	1941409	20	decrease
AlMed_G024738	chr16	18781861	18783735	18783224	18783315	91	decrease
AlMed_G022836	chr16	3623381	3627484	3626197	3626648	451	increase
AlMed_G023868	chr16	14547914	14551571	14548483	14549097	614	decrease
AlMed_G024012	chr16	15215928	15218936	15216209	15216696	487	decrease
AlMed_G024012	chr16	15215928	15218936	15218185	15218420	235	decrease
AlMed_G022497	chr16	1020595	1025310	1021632	1022068	436	decrease
AlMed_G024222	chr16	16235543	16237495	16236723	16237070	347	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12278061	12279892	1831	decrease
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12280433	12280700	267	increase
AlMed_G022604	chr16	1813755	1818303	1815814	1816012	198	decrease
AlMed_G024612	chr16	18236050	18238999	18237472	18237754	282	decrease
AlMed_G023336	chr16	11419422	11420027	11419480	11420111	547	decrease
AlMed_G024869	chr16	19377515	19379957	19378469	19378874	405	decrease
AlMed_G024807	chr16	19071497	19077434	19072717	19073365	648	decrease
AlMed_G024807	chr16	19071497	19077434	19076526	19076837	311	decrease
AlMed_G025051	chr16	20193274	20196183	20194814	20196207	1369	decrease
AlMed_G024399	chr16	17134340	17136777	17134679	17134980	301	decrease
AlMed_G024399	chr16	17134340	17136777	17136202	17136785	575	decrease
AlMed_G023467	chr16	12214711	12216199	12216087	12217817	112	decrease
AlMed_G023647	chr16	13294636	13297677	13296500	13296694	194	decrease
AlMed_G023647	chr16	13294636	13297677	13297425	13298132	252	decrease
AlMed_G024756	chr16	18855852	18861398	18856857	18857407	550	decrease
AlMed_G024756	chr16	18855852	18861398	18859677	18860434	757	decrease
AlMed_G024472	chr16	17523741	17528653	17525338	17526297	959	decrease
AlMed_G024514	chr16	17710250	17711762	17710816	17711422	606	decrease
AlMed_G024428	chr16	17289209	17292729	17289788	17290492	704	decrease
AlMed_G024428	chr16	17289209	17292729	17291406	17291825	419	decrease
AlMed_G024480	chr16	17550782	17552612	17552135	17552406	271	decrease
AlMed_G023945	chr16	14863813	14866357	14864934	14865872	938	decrease
AlMed_G023832	chr16	14389458	14390666	14390268	14390564	296	increase
AlMed_G023047	chr16	9215436	9218894	9217041	9217567	526	decrease
AlMed_G023358	chr16	11552600	11556688	11555032	11555827	795	decrease
AlMed_G023526	chr16	12547013	12549279	12548560	12549182	622	decrease
AlMed_G023196	chr16	10396726	10400351	10396807	10397250	443	decrease
AlMed_G023196	chr16	10396726	10400351	10398793	10399360	567	increase
AlMed_G023237	chr16	10752689	10765546	10754364	10754571	207	decrease
AlMed_G023237	chr16	10752689	10765546	10755200	10755307	107	increase
AlMed_G023237	chr16	10752689	10765546	10757292	10757470	178	increase
AlMed_G023237	chr16	10752689	10765546	10757964	10758299	335	decrease
AlMed_G023237	chr16	10752689	10765546	10759281	10759633	352	decrease
AlMed_G023237	chr16	10752689	10765546	10760610	10761133	523	decrease
AlMed_G023237	chr16	10752689	10765546	10762690	10762886	196	increase
AlMed_G023237	chr16	10752689	10765546	10763571	10763955	384	decrease
AlMed_G023237	chr16	10752689	10765546	10765269	10765932	277	decrease
AlMed_G023429	chr16	11955853	11958669	11956384	11956840	456	decrease
AlMed_G024226	chr16	16249036	16252256	16249057	16249662	605	decrease
AlMed_G024783	chr16	18959583	18964853	18961178	18961796	618	decrease
AlMed_G022398	chr16	425989	428372	427701	427780	79	decrease
AlMed_G024307	chr16	16646995	16651413	16648010	16648466	456	decrease
AlMed_G024307	chr16	16646995	16651413	16649830	16650439	609	decrease
AlMed_G022777	chr16	3079728	3081250	3081091	3082381	159	decrease
AlMed_G024859	chr16	19305519	19308934	19306320	19306469	149	decrease
AlMed_G022358	chr16	221540	227182	220814	221700	161	increase
AlMed_G022358	chr16	221540	227182	224618	224908	290	decrease
AlMed_G022358	chr16	221540	227182	226119	226334	215	decrease
AlMed_G022429	chr16	576516	580289	577649	577790	141	increase
AlMed_G022429	chr16	576516	580289	579267	580006	739	decrease
AlMed_G023214	chr16	10551820	10553681	10551582	10552236	417	decrease
AlMed_G022467	chr16	812784	814687	813351	813985	634	decrease
AlMed_G022647	chr16	2067091	2070538	2069898	2070063	165	decrease
AlMed_G023858	chr16	14506650	14509082	14507440	14508421	981	decrease
AlMed_G023024	chr16	9016611	9019179	9018196	9018465	269	decrease
AlMed_G024616	chr16	18257513	18261527	18260150	18260519	369	decrease
AlMed_G022983	chr16	8535323	8539347	8535468	8536121	653	decrease
AlMed_G024977	chr16	19812663	19815740	19813851	19814374	523	decrease
AlMed_G024745	chr16	18808024	18812344	18808094	18808659	565	decrease
AlMed_G024075	chr16	15541326	15543415	15541258	15541402	77	increase
