geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222655	17222734	79	decrease
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14875065	14875473	408	increase
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042095	3043051	956	decrease
augustus_masked-chr4-processed-gene-195.23	chr4	19472353	19476122	19475620	19476123	502	increase
maker-chr4-augustus-gene-19.8	chr4	1954625	1958037	1957243	1957989	746	decrease
augustus_masked-chr4-processed-gene-238.25	chr4	23796153	23799602	23797947	23798584	637	increase
maker-chr4-augustus-gene-217.31	chr4	21735875	21736462	21736409	21737129	53	decrease
maker-chr4-augustus-gene-18.9	chr4	1845947	1847645	1847137	1847597	460	decrease
augustus_masked-chr4-processed-gene-125.2	chr4	12503450	12504822	12502465	12504708	1259	decrease
augustus_masked-chr4-processed-gene-212.6	chr4	21227603	21230213	21228414	21228843	429	decrease
maker-chr4-augustus-gene-18.16	chr4	1884016	1886267	1883550	1884451	436	decrease
augustus_masked-chr4-processed-gene-4.13	chr4	431704	437153	432292	432880	588	decrease
augustus_masked-chr4-processed-gene-181.18	chr4	18157318	18163054	18160908	18161150	242	decrease
maker-chr4-augustus-gene-7.4	chr4	705052	707416	707223	707711	193	decrease
maker-chr4-augustus-gene-150.2	chr4	15078816	15081039	15078534	15079190	375	decrease
augustus_masked-chr4-processed-gene-221.4	chr4	22144092	22148117	22144733	22145087	354	increase
maker-chr4-augustus-gene-150.10	chr4	15053473	15053944	15053505	15054333	439	decrease
augustus_masked-chr4-processed-gene-217.2	chr4	21700831	21703897	21701375	21702238	863	increase
maker-chr4-augustus-gene-265.2	chr4	26546937	26550770	26548268	26548352	84	decrease
maker-chr4-augustus-gene-162.28	chr4	16237187	16241105	16236862	16237188	2	increase
augustus_masked-chr4-processed-gene-224.41	chr4	22435611	22438038	22436678	22437037	359	increase
augustus_masked-chr4-processed-gene-12.14	chr4	1241032	1244003	1241806	1241911	105	decrease
maker-chr4-augustus-gene-134.17	chr4	13486701	13489607	13487366	13487889	523	increase
maker-chr4-augustus-gene-134.17	chr4	13486701	13489607	13489166	13489671	441	decrease
augustus_masked-chr4-processed-gene-36.12	chr4	3651176	3652385	3652090	3652213	123	decrease
maker-chr4-augustus-gene-3.21	chr4	322868	327800	325739	327312	1573	increase
augustus_masked-chr4-processed-gene-164.32	chr4	16474942	16477297	16475291	16475413	122	increase
augustus_masked-chr4-processed-gene-89.11	chr4	8921140	8924161	8921184	8921488	304	increase
maker-chr4-augustus-gene-218.38	chr4	21847989	21849429	21848561	21849399	838	decrease
augustus_masked-chr4-processed-gene-220.35	chr4	22039803	22040934	22039566	22040502	700	decrease
maker-chr1-augustus-gene-132.15	chr1	13198601	13205778	13201839	13202625	786	decrease
augustus_masked-chr1-processed-gene-107.6	chr1	10718179	10722343	10721784	10721869	85	decrease
maker-chr1-augustus-gene-322.18	chr1	32242577	32243852	32242039	32242593	17	decrease
augustus_masked-chr1-processed-gene-89.31	chr1	8973908	8974481	8974289	8974664	192	decrease
augustus_masked-chr1-processed-gene-372.8	chr1	37283237	37284760	37282519	37283323	87	decrease
maker-chr1-augustus-gene-53.0	chr1	5277400	5280885	5278564	5279158	594	increase
maker-chr1-augustus-gene-95.6	chr1	9522593	9526556	9526151	9526594	405	decrease
augustus_masked-chr1-processed-gene-45.8	chr1	4520776	4522384	4520839	4521527	688	decrease
maker-chr1-augustus-gene-158.0	chr1	15789402	15792884	15789341	15789703	302	decrease
augustus_masked-chr1-processed-gene-118.7	chr1	11816369	11817428	11816071	11816495	127	decrease
maker-chr1-augustus-gene-241.4	chr1	24152931	24155791	24153988	24154797	809	decrease
maker-chr1-augustus-gene-249.18	chr1	24951573	24958710	24958455	24959497	255	increase
maker-chr1-augustus-gene-309.18	chr1	30967072	30970936	30968546	30969844	1298	decrease
augustus_masked-chr1-processed-gene-123.5	chr1	12302229	12302743	12302329	12302879	414	increase
augustus_masked-chr1-processed-gene-193.0	chr1	19294399	19294566	19294132	19294600	168	decrease
maker-chr1-augustus-gene-314.10	chr1	31444718	31446978	31446841	31446949	108	increase
maker-chr1-augustus-gene-205.0	chr1	20501925	20503633	20501003	20502046	122	decrease
maker-chr1-augustus-gene-43.31	chr1	4317266	4319429	4317901	4318005	104	decrease
maker-chr1-augustus-gene-7.5	chr1	751461	756241	755542	755585	43	decrease
augustus_masked-chr1-processed-gene-249.13	chr1	24958567	24960772	24958455	24959497	931	increase
augustus_masked-chr1-processed-gene-291.11	chr1	29136493	29136803	29136144	29136655	163	decrease
maker-chr1-augustus-gene-286.9	chr1	28586261	28654725	28636919	28637211	292	decrease
maker-chr1-augustus-gene-45.34	chr1	4508787	4509884	4509812	4510288	72	decrease
augustus_masked-chr1-processed-gene-175.15_maker-chr1-augustus-gene-175.4	chr1	17519618	17541241	17520961	17521407	446	decrease
augustus_masked-chr8-processed-gene-173.15	chr8	17285894	17287923	17286374	17286708	334	decrease
maker-chr8-augustus-gene-5.38	chr8	499832	500699	500047	500804	652	increase
augustus_masked-chr8-processed-gene-249.29	chr8	24979596	24982530	24979409	24979619	24	increase
maker-chr8-augustus-gene-132.7	chr8	13190335	13190704	13190364	13191032	340	increase
maker-chr8-augustus-gene-234.11	chr8	23437814	23442154	23437634	23438455	642	decrease
maker-chr8-augustus-gene-69.2	chr8	6980615	6981542	6980643	6981593	899	increase
augustus_masked-chr8-processed-gene-61.0	chr8	6092191	6094330	6094248	6094454	82	decrease
maker-chr8-augustus-gene-200.0	chr8	20001997	20006995	20004294	20004628	334	increase
augustus_masked-chr8-processed-gene-210.10	chr8	21031360	21040094	21034853	21035441	588	decrease
augustus_masked-chr8-processed-gene-210.10	chr8	21031360	21040094	21037313	21037420	107	decrease
augustus_masked-chr8-processed-gene-60.5	chr8	5985985	5987010	5986963	5987504	47	decrease
maker-chr8-augustus-gene-148.24	chr8	14850581	14854829	14850291	14850924	344	decrease
augustus_masked-chr8-processed-gene-144.10	chr8	14403389	14404588	14403514	14403895	381	decrease
maker-chr8-augustus-gene-263.21	chr8	26309077	26311923	26309719	26310285	566	decrease
augustus_masked-chr8-processed-gene-206.23	chr8	20619156	20621954	20619879	20619915	36	decrease
maker-chr8-augustus-gene-27.0	chr8	2710065	2710636	2710146	2710628	482	decrease
maker-chr8-augustus-gene-180.29	chr8	17984818	17985862	17984914	17985233	319	decrease
maker-chr8-augustus-gene-241.28	chr8	24118080	24119028	24118251	24118427	176	increase
maker-chr8-augustus-gene-167.3_maker-chr8-augustus-gene-167.2	chr8	16599768	16690492	16614655	16615294	639	decrease
maker-chr8-augustus-gene-179.19	chr8	17932491	17934380	17933843	17934256	413	decrease
maker-chr8-augustus-gene-222.10	chr8	22235023	22235857	22235408	22235930	449	decrease
maker-chr8-augustus-gene-179.20	chr8	17937146	17944997	17937734	17937859	125	decrease
augustus_masked-chr8-processed-gene-35.28	chr8	3506957	3507699	3506927	3507670	714	decrease
augustus_masked-chr8-processed-gene-162.6	chr8	16255711	16257616	16257162	16257612	450	decrease
maker-chr5-augustus-gene-227.26	chr5	22744747	22746632	22745068	22746181	1113	decrease
maker-chr5-augustus-gene-177.26	chr5	17773619	17774507	17773901	17774726	606	decrease
augustus_masked-chr5-processed-gene-13.18	chr5	1358145	1360536	1357470	1358324	180	increase
maker-chr5-augustus-gene-119.8	chr5	11917781	11920748	11917241	11917968	188	decrease
augustus_masked-chr5-processed-gene-16.21	chr5	1653359	1654035	1653927	1654158	108	increase
maker-chr5-augustus-gene-174.13	chr5	17463752	17465116	17464549	17464950	401	increase
maker-chr5-augustus-gene-63.0	chr5	6295684	6299119	6297600	6297947	347	decrease
maker-chr5-augustus-gene-167.37	chr5	16746430	16760863	16746469	16746854	385	decrease
maker-chr5-augustus-gene-57.15_maker-chr5-augustus-gene-57.16	chr5	5703331	5732284	5711812	5712511	699	decrease
maker-chr5-augustus-gene-162.25	chr5	16285025	16287300	16286363	16287290	927	decrease
maker-chr5-augustus-gene-226.5	chr5	22623318	22626801	22624321	22624943	622	increase
maker-chr5-augustus-gene-38.2	chr5	3795622	3802359	3802306	3802668	53	decrease
maker-chr5-augustus-gene-246.3	chr5	24582692	24592619	24589649	24590017	368	decrease
maker-chr5-augustus-gene-232.15	chr5	23251443	23253333	23251510	23252023	513	decrease
augustus_masked-chr5-processed-gene-192.20	chr5	19248495	19249607	19249330	19249960	277	decrease
augustus_masked-chr5-processed-gene-15.6	chr5	1560154	1560969	1560110	1560731	578	increase
augustus_masked-chr5-processed-gene-201.20	chr5	20120846	20122148	20122070	20122586	78	increase
augustus_masked-chr5-processed-gene-241.33	chr5	24069993	24086097	24082674	24082886	212	decrease
augustus_masked-chr5-processed-gene-241.30	chr5	24082661	24083875	24082674	24082886	212	decrease
maker-chr5-augustus-gene-130.1	chr5	12994009	13015104	12994702	12995113	411	increase
augustus_masked-chr5-processed-gene-243.34	chr5	24322782	24323348	24322864	24323381	484	increase
augustus_masked-chr5-processed-gene-178.15	chr5	17789819	17790606	17790149	17790531	382	decrease
maker-chr5-augustus-gene-61.1	chr5	6126116	6129893	6127338	6128144	806	increase
augustus_masked-chr5-processed-gene-15.3	chr5	1540067	1544034	1541907	1542552	645	increase
maker-chr5-augustus-gene-163.14	chr5	16327841	16330011	16328279	16328744	465	increase
augustus_masked-chr5-processed-gene-241.36	chr5	24100300	24101514	24100473	24100579	106	decrease
augustus_masked-chr5-processed-gene-215.0	chr5	21489437	21492433	21490199	21491245	1046	decrease
maker-chr5-augustus-gene-190.29	chr5	19019430	19026437	19022129	19022854	725	decrease
maker-chr7-augustus-gene-271.28	chr7	27097999	27098726	27098013	27098145	132	decrease
maker-chr7-augustus-gene-163.28	chr7	16344682	16346803	16346764	16347253	39	decrease
maker-chr7-augustus-gene-76.41	chr7	7670948	7674917	7672493	7673390	897	increase
maker-chr7-augustus-gene-91.32	chr7	9134756	9137799	9137158	9137607	449	decrease
augustus_masked-chr7-processed-gene-269.13	chr7	26927124	26927312	26926840	26927646	189	decrease
maker-chr7-augustus-gene-85.2	chr7	8520424	8520795	8520362	8520912	372	increase
maker-chr7-augustus-gene-65.11	chr7	6551188	6554216	6553808	6553972	164	increase
augustus_masked-chr7-processed-gene-269.21	chr7	26959655	26964491	26959588	26960064	410	decrease
augustus_masked-chr7-processed-gene-181.13	chr7	18155767	18155964	18155542	18156314	198	decrease
augustus_masked-chr7-processed-gene-155.15	chr7	15544136	15545756	15544233	15545513	1280	decrease
maker-chr7-augustus-gene-141.0	chr7	14106455	14107544	14106408	14106981	527	decrease
maker-chr7-augustus-gene-246.19	chr7	24651345	24653637	24652663	24653197	534	decrease
maker-chr3-augustus-gene-294.1	chr3	29415498	29417894	29414752	29415623	126	decrease
maker-chr3-augustus-gene-293.4	chr3	29382806	29387920	29384944	29385008	64	decrease
augustus_masked-chr3-processed-gene-22.31	chr3	2230034	2230403	2229766	2230085	52	increase
augustus_masked-chr3-processed-gene-292.29	chr3	29199891	29201977	29200242	29200883	641	decrease
maker-chr3-augustus-gene-143.20	chr3	14339791	14341640	14340463	14341167	704	decrease
maker-chr3-augustus-gene-239.20	chr3	23909616	23911823	23911532	23912212	291	increase
maker-chr3-augustus-gene-144.7	chr3	14410675	14422083	14414171	14414523	352	decrease
maker-chr3-augustus-gene-15.9	chr3	1522717	1523514	1522804	1523185	381	decrease
maker-chr3-augustus-gene-41.6	chr3	4173665	4176876	4174772	4175155	383	decrease
augustus_masked-chr3-processed-gene-149.8	chr3	14976152	14976745	14976358	14976847	387	increase
maker-chr3-augustus-gene-19.14	chr3	1959190	1960852	1960633	1960977	219	decrease
augustus_masked-chr3-processed-gene-172.2	chr3	17191974	17195421	17191781	17193270	1297	decrease
