geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G002420_AlMed_G002419	chr9	10296326	10306990	10306375	10306420	45	decrease
AlMed_G000763	chr9	3050638	3054518	3054367	3054896	151	increase
AlMed_G003368	chr9	16603119	16604131	16603793	16604278	338	decrease
AlMed_G003612	chr9	21879903	21883373	21882534	21883067	533	increase
AlMed_G003525	chr9	18395254	18398880	18395027	18395584	331	increase
AlMed_G011457	chr14	18880096	18884949	18882936	18883235	299	decrease
AlMed_G011442	chr14	18698059	18701138	18700660	18701282	478	decrease
AlMed_G010308	chr14	6754949	6757344	6756802	6757173	371	decrease
AlMed_G011598	chr14	20597559	20601517	20601266	20601644	251	increase
AlMed_G010309	chr14	6753906	6760418	6756802	6757173	371	decrease
AlMed_G010848	chr14	9332133	9335104	9334831	9335244	273	decrease
AlMed_G011112	chr14	11176241	11179519	11179005	11179600	514	increase
AlMed_G015729_AlMed_G015730	chr11	23377399	23392834	23385622	23386291	669	decrease
AlMed_G016732	chr12	3523200	3524051	3523956	3524496	95	decrease
AlMed_G016469	chr12	1545077	1546720	1546249	1546556	307	decrease
AlMed_G017671	chr12	16440995	16443724	16440985	16441053	59	decrease
AlMed_G021183	chr13	17882530	17884288	17883116	17883458	342	decrease
AlMed_G019458	chr13	414097	418222	415125	415656	531	decrease
AlMed_G007951	chr15	21293990	21296280	21294681	21294833	152	decrease
AlMed_G008161	chr15	24000420	24005817	24000983	24001441	458	decrease
AlMed_G007475_AlMed_G007477	chr15	13588936	13600497	13591586	13591924	338	increase
AlMed_G008450	chr15	26022784	26030257	26028322	26028962	640	decrease
AlMed_G007523	chr15	13915465	13919418	13916712	13916741	29	increase
AlMed_G006508	chr15	8433721	8434088	8433643	8433727	7	decrease
AlMed_G004752	chr15	855974	865104	861898	862345	447	decrease
AlMed_G006851_AlMed_G006852	chr15	10135687	10147641	10140479	10140883	404	decrease
AlMed_G006081	chr15	6771811	6775572	6773553	6773699	146	increase
AlMed_G007326	chr15	12654276	12656607	12656244	12656734	363	decrease
AlMed_G025555	chr10	2510347	2513449	2511170	2511192	22	decrease
AlMed_G026583	chr10	14446166	14452665	14449151	14449804	653	increase
AlMed_G026583	chr10	14446166	14452665	14452169	14452631	462	increase
AlMed_G025382	chr10	1434082	1434825	1434321	1434832	504	increase
