geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18244917	18247559	1157	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972639	21973079	180	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222369	17226576	3021	decrease
augustus_masked-chr4-processed-gene-59.8	chr4	5967850	5968368	5967644	5967864	15	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24190982	24191665	98	decrease
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172958	14175377	808	increase
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16287783	16288191	408	increase
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14884326	14884518	70	decrease
augustus_masked-chr4-processed-gene-146.3	chr4	14664280	14666527	14664038	14664462	183	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268993	23269097	104	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716137	25716751	614	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2682081	2683257	536	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098022	5098742	564	decrease
maker-chr4-augustus-gene-228.6	chr4	22866317	22868338	22866689	22867267	578	increase
augustus_masked-chr4-processed-gene-32.24	chr4	3206840	3207805	3207691	3208685	114	decrease
maker-chr4-augustus-gene-28.25	chr4	2802584	2804514	2803088	2804604	1426	increase
maker-chr4-augustus-gene-4.31	chr4	412761	415084	413828	414489	661	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8413762	8414042	87	decrease
augustus_masked-chr4-processed-gene-34.0	chr4	3420616	3421415	3420692	3421679	723	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486340	25489945	1407	decrease
augustus_masked-chr4-processed-gene-162.2	chr4	16193419	16197425	16193082	16194509	1091	increase
augustus_masked-chr4-processed-gene-252.12	chr4	25273965	25276835	25275429	25275650	221	decrease
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227815	18228032	217	decrease
augustus_masked-chr4-processed-gene-161.19	chr4	16099873	16100656	16099343	16100440	568	increase
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16305132	16305274	142	decrease
augustus_masked-chr4-processed-gene-94.12	chr4	9456507	9458583	9456177	9456533	27	decrease
maker-chr4-augustus-gene-190.15	chr4	19028192	19029233	19028049	19028886	695	increase
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510407	12511051	625	increase
maker-chr4-augustus-gene-26.18	chr4	2669597	2671795	2671761	2672307	34	increase
augustus_masked-chr4-processed-gene-236.4	chr4	23603204	23603893	23603618	23603940	275	increase
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18602148	18602259	111	decrease
maker-chr4-augustus-gene-33.26	chr4	3311093	3311857	3310707	3312502	765	decrease
augustus_masked-chr4-processed-gene-20.9	chr4	2035831	2036094	2035482	2035920	90	decrease
augustus_masked-chr4-processed-gene-250.50	chr4	25013920	25015755	25014921	25015427	506	increase
augustus_masked-chr4-processed-gene-229.19	chr4	22932103	22933782	22932332	22932707	375	increase
maker-chr4-augustus-gene-2.3	chr4	206051	206934	205740	207506	884	decrease
augustus_masked-chr4-processed-gene-129.13	chr4	12974470	12974892	12974250	12974581	112	increase
maker-chr4-augustus-gene-126.12	chr4	12608219	12610330	12610019	12610559	311	increase
maker-chr4-augustus-gene-33.27	chr4	3318849	3319529	3319374	3319837	155	decrease
maker-chr4-augustus-gene-188.8	chr4	18815464	18817996	18816505	18816983	478	decrease
augustus_masked-chr4-processed-gene-76.3	chr4	7680213	7684086	7682906	7683273	367	decrease
augustus_masked-chr4-processed-gene-30.13	chr4	3065208	3066332	3065525	3066041	516	decrease
augustus_masked-chr4-processed-gene-84.5	chr4	8440860	8441437	8440303	8440942	83	increase
maker-chr4-augustus-gene-34.15	chr4	3450402	3451523	3450786	3451356	570	increase
maker-chr4-augustus-gene-231.2	chr4	23121939	23128165	23124002	23124405	403	decrease
maker-chr4-augustus-gene-231.2	chr4	23121939	23128165	23127965	23128567	200	increase
augustus_masked-chr4-processed-gene-173.30	chr4	17321275	17321487	17321066	17321399	125	decrease
augustus_masked-chr4-processed-gene-145.13	chr4	14528394	14530152	14528037	14528947	554	decrease
maker-chr4-augustus-gene-36.2	chr4	3609631	3614335	3609239	3610474	844	decrease
maker-chr4-augustus-gene-36.2	chr4	3609631	3614335	3613539	3613773	234	increase
maker-chr4-augustus-gene-206.21_maker-chr4-augustus-gene-206.22	chr4	20608737	20620314	20611985	20612031	46	decrease
maker-chr4-augustus-gene-206.21_maker-chr4-augustus-gene-206.22	chr4	20608737	20620314	20614206	20614294	88	increase
maker-chr4-augustus-gene-144.9	chr4	14396708	14400404	14398307	14398928	621	increase
augustus_masked-chr4-processed-gene-238.25	chr4	23796153	23799602	23798276	23799011	735	decrease
maker-chr4-augustus-gene-232.36	chr4	23241595	23244969	23242558	23242930	372	decrease
augustus_masked-chr4-processed-gene-10.16	chr4	988707	990732	989719	989932	213	decrease
augustus_masked-chr4-processed-gene-79.15	chr4	7970776	7971081	7971021	7971896	60	increase
maker-chr4-augustus-gene-187.22	chr4	18767928	18770508	18767435	18770108	2181	increase
augustus_masked-chr4-processed-gene-7.22	chr4	715615	716784	716091	716761	670	decrease
augustus_masked-chr4-processed-gene-167.10	chr4	16739420	16740618	16740033	16740279	246	decrease
maker-chr4-augustus-gene-161.8	chr4	16132753	16134086	16132043	16132778	26	decrease
