geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022440	chr16	657941	660674	657650	658744	804	increase
AlMed_G023938	chr16	14845803	14849220	14846417	14846974	557	increase
AlMed_G023152	chr16	9993842	9995186	9994364	9994403	39	decrease
AlMed_G024344	chr16	16837130	16837647	16836791	16838217	518	decrease
AlMed_G022620_AlMed_G022621	chr16	1940503	1943200	1943127	1943632	73	decrease
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12278138	12279833	1695	decrease
AlMed_G023336	chr16	11419422	11420027	11419972	11420114	55	decrease
AlMed_G022777	chr16	3079728	3081250	3079624	3079772	45	decrease
AlMed_G023332	chr16	11382643	11386278	11382491	11382789	147	decrease
AlMed_G023033	chr16	9099311	9103210	9102852	9103195	343	decrease
AlMed_G022906	chr16	4507476	4509141	4508126	4508222	96	increase
AlMed_G023000	chr16	8699194	8703851	8700979	8702331	1352	increase
AlMed_G024266	chr16	16421737	16428806	16427736	16428447	711	decrease
AlMed_G022654	chr16	2110280	2111618	2111306	2111689	312	decrease
AlMed_G023714	chr16	13636458	13642728	13637102	13637494	392	decrease
AlMed_G022737	chr16	2761565	2763181	2762101	2762301	200	increase
AlMed_G022556	chr16	1474391	1475050	1475047	1475583	3	decrease
AlMed_G023615	chr16	13041241	13050108	13043182	13048332	5150	increase
AlMed_G023615	chr16	13041241	13050108	13041037	13042085	845	increase
AlMed_G024995	chr16	19921262	19923690	19922497	19922673	176	increase
AlMed_G022676	chr16	2232554	2236436	2235584	2235898	314	decrease
AlMed_G023986	chr16	15091747	15093754	15093485	15094229	269	decrease
AlMed_G022394	chr16	400716	402545	400789	401189	400	decrease
AlMed_G023523	chr16	12533537	12536756	12534861	12535004	143	increase
AlMed_G023523	chr16	12533537	12536756	12536600	12536648	48	increase
AlMed_G024555	chr16	17936992	17937802	17937256	17937841	546	decrease
AlMed_G023068	chr16	9335057	9338523	9336351	9336420	69	increase
AlMed_G023304	chr16	11207060	11210075	11208028	11208254	226	increase
AlMed_G023658	chr16	13342413	13343972	13342596	13344304	1376	increase
AlMed_G022781	chr16	3096771	3103406	3102085	3102338	253	increase
AlMed_G024007	chr16	15196861	15198297	15197814	15198136	322	decrease
AlMed_G022347	chr16	178458	182629	182439	182594	155	increase
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4624623	4625480	857	decrease
AlMed_G022518	chr16	1201039	1209830	1207880	1208338	458	increase
AlMed_G024993	chr16	19909924	19911177	19911043	19911541	134	increase
AlMed_G023581	chr16	12855847	12859343	12856495	12858547	2052	decrease
AlMed_G024475	chr16	17535430	17536892	17536743	17537030	149	increase
AlMed_G022450	chr16	698082	699902	694367	700212	1821	decrease
AlMed_G023657	chr16	13339122	13340634	13338822	13340251	1130	increase
AlMed_G024008	chr16	15200371	15204198	15200209	15200856	486	decrease
AlMed_G022697	chr16	2391123	2392829	2391504	2392193	689	increase
AlMed_G023659	chr16	13345293	13349608	13347404	13347743	339	decrease
AlMed_G022719	chr16	2613278	2618345	2613598	2613812	214	increase
AlMed_G023293	chr16	11098369	11098725	11098267	11099761	357	decrease
AlMed_G023420	chr16	11896826	11899219	11893783	11897022	197	increase
AlMed_G023669	chr16	13398397	13399206	13398331	13399221	810	increase
AlMed_G023044	chr16	9206664	9210039	9208104	9208426	322	increase
AlMed_G022546	chr16	1422911	1426917	1426908	1427059	9	increase
AlMed_G022449	chr16	694972	697901	694367	700212	2930	decrease
AlMed_G023921	chr16	14766885	14767884	14766566	14767179	295	increase
AlMed_G023616	chr16	13050617	13051363	13050919	13052039	444	increase
AlMed_G022371	chr16	281422	282621	282599	283189	22	increase
AlMed_G023871	chr16	14564600	14568635	14567346	14567589	243	decrease
AlMed_G023939	chr16	14849303	14849972	14849237	14850063	670	increase
AlMed_G023844	chr16	14448006	14450882	14448564	14449092	528	decrease
AlMed_G022827	chr16	3507868	3508378	3508111	3508203	92	increase
AlMed_G023137	chr16	9918529	9919728	9918559	9919870	1169	decrease
