geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023938	chr16	14845803	14849220	14846619	14847261	642	decrease
AlMed_G023938	chr16	14845803	14849220	14848037	14848083	46	increase
AlMed_G023166	chr16	10134138	10134499	10133964	10134564	362	increase
AlMed_G024344	chr16	16837130	16837647	16836924	16838777	518	increase
AlMed_G022620_AlMed_G022621	chr16	1940503	1943200	1943070	1943572	130	increase
AlMed_G022497	chr16	1020595	1025310	1020359	1020637	43	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12280257	12280457	200	decrease
AlMed_G023336	chr16	11419422	11420027	11419972	11420142	55	increase
AlMed_G022368	chr16	269745	272745	270142	271014	872	decrease
AlMed_G022777	chr16	3079728	3081250	3079712	3081525	1523	increase
AlMed_G024859	chr16	19305519	19308934	19308338	19308528	190	increase
AlMed_G023183	chr16	10313244	10317727	10315186	10315842	656	increase
AlMed_G022884	chr16	4291020	4294976	4288064	4291461	442	increase
AlMed_G023033	chr16	9099311	9103210	9102924	9103291	286	increase
AlMed_G024501	chr16	17660548	17664875	17662044	17662278	234	decrease
AlMed_G023815	chr16	14308756	14311021	14311009	14311407	12	increase
AlMed_G023808	chr16	14273688	14274716	14273772	14274050	278	decrease
AlMed_G024266	chr16	16421737	16428806	16427729	16428414	685	increase
AlMed_G022654	chr16	2110280	2111618	2110441	2111674	1177	increase
AlMed_G023714	chr16	13636458	13642728	13637301	13637533	232	increase
AlMed_G023459	chr16	12156757	12158607	12158408	12158810	199	decrease
AlMed_G025021	chr16	20038895	20042491	20040777	20041683	906	increase
AlMed_G024951	chr16	19718070	19718865	19718104	19719268	761	decrease
AlMed_G022556	chr16	1474391	1475050	1474811	1475928	239	increase
AlMed_G023015	chr16	8929751	8934121	8930104	8930692	588	increase
AlMed_G023015	chr16	8929751	8934121	8931941	8932746	805	increase
AlMed_G023015	chr16	8929751	8934121	8933743	8934822	378	increase
AlMed_G023300	chr16	11160710	11161911	11160615	11161877	1168	decrease
AlMed_G023615	chr16	13041241	13050108	13043198	13044912	1714	decrease
AlMed_G023615	chr16	13041241	13050108	13041501	13042069	568	decrease
AlMed_G022676	chr16	2232554	2236436	2233089	2233738	649	increase
AlMed_G023986	chr16	15091747	15093754	15093554	15098771	200	increase
AlMed_G024965	chr16	19753356	19753682	19753258	19753636	281	decrease
AlMed_G022519	chr16	1217506	1228599	1217150	1217660	155	decrease
AlMed_G022742	chr16	2798393	2799394	2799107	2799662	287	decrease
AlMed_G022475	chr16	852544	854243	852650	854315	1593	increase
AlMed_G024555	chr16	17936992	17937802	17937307	17938357	495	increase
AlMed_G022981_AlMed_G022982	chr16	8508391	8512250	8508348	8508642	252	decrease
AlMed_G024217	chr16	16211340	16214419	16213192	16213525	333	increase
AlMed_G023304	chr16	11207060	11210075	11207846	11208211	365	decrease
AlMed_G024234	chr16	16273428	16276245	16270223	16273538	111	decrease
AlMed_G024234	chr16	16273428	16276245	16275377	16276062	685	decrease
AlMed_G022781	chr16	3096771	3103406	3099353	3099421	68	decrease
AlMed_G022781	chr16	3096771	3103406	3099836	3100255	419	increase
AlMed_G022781	chr16	3096771	3103406	3102061	3102194	133	increase
AlMed_G024007	chr16	15196861	15198297	15197811	15198468	486	increase
AlMed_G022347	chr16	178458	182629	182171	182594	423	increase
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4624695	4625467	772	increase
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4627855	4628121	266	decrease
AlMed_G022890	chr16	4323121	4326293	4323099	4323582	462	decrease
AlMed_G023553	chr16	12698425	12699356	12698536	12699014	478	decrease
AlMed_G022518	chr16	1201039	1209830	1206264	1206331	67	increase
AlMed_G022518	chr16	1201039	1209830	1207465	1207986	521	decrease
AlMed_G023581	chr16	12855847	12859343	12856222	12857118	896	increase
AlMed_G022753	chr16	2855839	2856279	2851990	2856206	368	increase
AlMed_G023040	chr16	9123899	9124150	9123214	9123932	34	decrease
AlMed_G023155	chr16	10009342	10009575	10009036	10009677	234	increase
AlMed_G024541	chr16	17870785	17871593	17870784	17871501	717	decrease
AlMed_G023657	chr16	13339122	13340634	13338465	13339365	244	decrease
AlMed_G024349	chr16	16856919	16857858	16856705	16857151	233	increase
AlMed_G022717	chr16	2559430	2560551	2559615	2559774	159	decrease
AlMed_G023348	chr16	11473368	11474711	11472783	11473380	13	decrease
AlMed_G024008	chr16	15200371	15204198	15200079	15200891	521	increase
AlMed_G023659	chr16	13345293	13349608	13344959	13346335	1043	increase
AlMed_G022719	chr16	2613278	2618345	2613501	2614133	632	decrease
AlMed_G023293	chr16	11098369	11098725	11098158	11099700	357	increase
AlMed_G022741	chr16	2786925	2792775	2790416	2791418	1002	increase
AlMed_G022730	chr16	2681817	2685456	2682224	2683371	1147	increase
AlMed_G022730	chr16	2681817	2685456	2685164	2685896	292	increase
AlMed_G023069	chr16	9377662	9379092	9378647	9378795	148	increase
AlMed_G023044	chr16	9206664	9210039	9207929	9208273	344	increase
AlMed_G022546	chr16	1422911	1426917	1426803	1426909	106	increase
AlMed_G023783	chr16	14129548	14131624	14130171	14131122	951	increase
AlMed_G022977	chr16	8446598	8449809	8449797	8450410	12	decrease
AlMed_G022371	chr16	281422	282621	282472	283212	149	decrease
AlMed_G023871	chr16	14564600	14568635	14566345	14567589	1244	increase
AlMed_G023871	chr16	14564600	14568635	14568145	14568675	490	decrease
AlMed_G025022	chr16	20042222	20044520	20042690	20043436	746	increase
AlMed_G023844	chr16	14448006	14450882	14447594	14449293	1288	increase
AlMed_G022408	chr16	480077	482696	480317	480493	176	decrease
AlMed_G022827	chr16	3507868	3508378	3507553	3508203	336	decrease
AlMed_G022792	chr16	3135871	3137042	3137012	3137572	30	increase
