seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,26928,289829,10.7631090314914
chr1,100001,200000,100000,*,17157,110517,6.44151075362826
chr1,200001,300000,100000,*,32392,311547,9.61802296863423
chr1,300001,400000,100000,*,31752,286776,9.03174603174603
chr1,400001,500000,100000,*,34677,326056,9.40265882285088
chr1,500001,600000,100000,*,30474,323378,10.6116033339896
chr1,600001,700000,100000,*,26768,203788,7.61312014345487
chr1,700001,800000,100000,*,33811,338919,10.0239271243087
chr1,800001,900000,100000,*,32221,280200,8.69619192452127
chr1,900001,1000000,100000,*,29276,275092,9.39650225440634
chr1,1000001,1100000,100000,*,35262,316446,8.97413646418241
chr1,1100001,1200000,100000,*,29691,256863,8.65120743659695
chr1,1200001,1300000,100000,*,27655,234168,8.46747423612367
chr1,1300001,1400000,100000,*,12928,55911,4.32479888613861
chr1,1400001,1500000,100000,*,21649,139715,6.45364681971454
chr1,1500001,1600000,100000,*,32964,306154,9.28752578570562
chr1,1600001,1700000,100000,*,31737,284169,8.9538708762643
chr1,1700001,1800000,100000,*,33491,308775,9.21964109760831
chr1,1800001,1900000,100000,*,36201,338268,9.3441617634872
chr1,1900001,2000000,100000,*,31121,384071,12.3412165418849
chr1,2000001,2100000,100000,*,33689,324151,9.62186470361246
chr1,2100001,2200000,100000,*,19288,169082,8.76617586063874
chr1,2200001,2300000,100000,*,31290,250470,8.00479386385427
chr1,2300001,2400000,100000,*,31796,299423,9.41700213863379
chr1,2400001,2500000,100000,*,35172,289624,8.23450471966337
chr1,2500001,2600000,100000,*,34551,306347,8.86651616451043
chr1,2600001,2700000,100000,*,34928,317806,9.09888914338067
chr1,2700001,2800000,100000,*,36752,310459,8.44740422289943
chr1,2800001,2900000,100000,*,31092,313873,10.0949761996655
chr1,2900001,3000000,100000,*,35540,323472,9.10163196398424
chr1,3000001,3100000,100000,*,31618,264456,8.36409640078436
chr1,3100001,3200000,100000,*,31700,277571,8.75618296529968
chr1,3200001,3300000,100000,*,31918,312040,9.77630177329407
chr1,3300001,3400000,100000,*,27001,279116,10.3372467686382
chr1,3400001,3500000,100000,*,30566,330902,10.8258195380488
chr1,3500001,3600000,100000,*,36361,366689,10.0846786392013
chr1,3600001,3700000,100000,*,32111,297306,9.25869639687335
chr1,3700001,3800000,100000,*,29209,249877,8.55479475504125
chr1,3800001,3900000,100000,*,32921,299496,9.09741502384496
chr1,3900001,4000000,100000,*,33432,289280,8.65278774826514
chr1,4000001,4100000,100000,*,35076,319065,9.09639069449196
chr1,4100001,4200000,100000,*,33451,295448,8.83226211473499
chr1,4200001,4300000,100000,*,32466,270667,8.33693710343128
chr1,4300001,4400000,100000,*,29455,262724,8.9195043286369
chr1,4400001,4500000,100000,*,34269,301389,8.79479996498293
chr1,4500001,4600000,100000,*,32027,287890,8.98897804977051
chr1,4600001,4700000,100000,*,30278,273215,9.02354845102054
chr1,4700001,4800000,100000,*,31996,295729,9.24268658582323
chr1,4800001,4900000,100000,*,34703,332309,9.575800363081
chr1,4900001,5000000,100000,*,34685,296785,8.55658065446158
chr1,5000001,5100000,100000,*,28947,273610,9.45210211766332
chr1,5100001,5200000,100000,*,26722,222430,8.32385300501459
chr1,5200001,5300000,100000,*,32647,326142,9.98995313505069
chr1,5300001,5400000,100000,*,32392,311230,9.60823660163003
chr1,5400001,5500000,100000,*,32712,316919,9.68815725116165
chr1,5500001,5600000,100000,*,32273,334542,10.3660025408236
chr1,5600001,5700000,100000,*,27741,254289,9.1665404996215
chr1,5700001,5800000,100000,*,29695,318442,10.7237582084526
chr1,5800001,5900000,100000,*,30819,312378,10.1358901976054
chr1,5900001,6000000,100000,*,31131,296199,9.51459959525875
chr1,6000001,6100000,100000,*,30466,281338,9.23449090789733
chr1,6100001,6200000,100000,*,26645,267717,10.0475511352974
chr1,6200001,6300000,100000,*,33170,347744,10.4836900813989
chr1,6300001,6400000,100000,*,29759,296452,9.96175946772405
chr1,6400001,6500000,100000,*,33401,328387,9.83165174695368
chr1,6500001,6600000,100000,*,32653,299769,9.18044283833032
chr1,6600001,6700000,100000,*,22705,209170,9.21250825809293
chr1,6700001,6800000,100000,*,30357,284648,9.37668412557236
chr1,6800001,6900000,100000,*,30448,295913,9.71863504992118
chr1,6900001,7000000,100000,*,32630,294525,9.02620288078455
chr1,7000001,7100000,100000,*,32543,294693,9.05549580554958
chr1,7100001,7200000,100000,*,34490,273087,7.91786024934764
chr1,7200001,7300000,100000,*,36850,321317,8.71959294436906
chr1,7300001,7400000,100000,*,26717,225977,8.45817269903058
chr1,7400001,7500000,100000,*,32193,280067,8.6996241418942
chr1,7500001,7600000,100000,*,37534,318684,8.49054190866947
chr1,7600001,7700000,100000,*,29614,220862,7.45802660903627
chr1,7700001,7800000,100000,*,36348,339092,9.32904148783977
chr1,7800001,7900000,100000,*,34203,339879,9.93711077975616
chr1,7900001,8000000,100000,*,33111,301552,9.10730572921386
chr1,8000001,8100000,100000,*,31379,3901729,124.342044042194
chr1,8100001,8200000,100000,*,19751,194679,9.85666548529188
chr1,8200001,8300000,100000,*,34622,299302,8.64485009531512
chr1,8300001,8400000,100000,*,34305,305258,8.89835300976534
chr1,8400001,8500000,100000,*,33030,273533,8.28135028761732
chr1,8500001,8600000,100000,*,34562,353686,10.2333776980499
chr1,8600001,8700000,100000,*,29825,237796,7.97304274937133
chr1,8700001,8800000,100000,*,31711,312897,9.86714389328624
chr1,8800001,8900000,100000,*,32310,332601,10.2940575673166
chr1,8900001,9000000,100000,*,32027,306241,9.56196334342898
chr1,9000001,9100000,100000,*,31655,303467,9.58670036329174
chr1,9100001,9200000,100000,*,34564,309816,8.96354588589284
chr1,9200001,9300000,100000,*,32187,256981,7.98399975145245
chr1,9300001,9400000,100000,*,22512,198030,8.79664179104478
chr1,9400001,9500000,100000,*,32136,284015,8.83790764251929
chr1,9500001,9600000,100000,*,32084,352938,11.0004363545693
chr1,9600001,9700000,100000,*,34618,312489,9.02677797677509
chr1,9700001,9800000,100000,*,31971,315358,9.86387663820337
chr1,9800001,9900000,100000,*,31846,293064,9.20253721032469
chr1,9900001,10000000,100000,*,27053,257544,9.5199792998928
chr1,10000001,10100000,100000,*,27894,234100,8.39248583924858
chr1,10100001,10200000,100000,*,21689,161151,7.43007976393564
chr1,10200001,10300000,100000,*,27815,252403,9.07434837317994
chr1,10300001,10400000,100000,*,31901,300371,9.4157236450268
chr1,10400001,10500000,100000,*,31875,325357,10.2072784313725
chr1,10500001,10600000,100000,*,29970,266069,8.87784451117784
chr1,10600001,10700000,100000,*,29924,297037,9.9263801630798
chr1,10700001,10800000,100000,*,30066,293405,9.75869753209606
chr1,10800001,10900000,100000,*,30706,291459,9.49192340259233
chr1,10900001,11000000,100000,*,30727,255913,8.32860350831516
chr1,11000001,11100000,100000,*,33139,321158,9.69123992878482
chr1,11100001,11200000,100000,*,29219,364079,12.4603511413806
chr1,11200001,11300000,100000,*,28970,241906,8.35022437003797
chr1,11300001,11400000,100000,*,33168,317653,9.57709237819585
chr1,11400001,11500000,100000,*,31154,278105,8.92678307761443
chr1,11500001,11600000,100000,*,27798,218623,7.86470249658249
chr1,11600001,11700000,100000,*,31880,327704,10.2792973651192
chr1,11700001,11800000,100000,*,5932,51816,8.73499662845583
chr1,11800001,11900000,100000,*,20037,176975,8.83241004142337
chr1,11900001,12000000,100000,*,30878,288305,9.33690653539737
chr1,12000001,12100000,100000,*,26438,252635,9.55575308268402
chr1,12100001,12200000,100000,*,16750,103258,6.16465671641791
chr1,12200001,12300000,100000,*,26676,251052,9.41115609536662
chr1,12300001,12400000,100000,*,30093,284963,9.46941149104443
chr1,12400001,12500000,100000,*,32359,325310,10.0531536821286
chr1,12500001,12600000,100000,*,32121,301822,9.39640733476542
chr1,12600001,12700000,100000,*,29955,271049,9.04853947588049
chr1,12700001,12800000,100000,*,30278,288455,9.52688420635445
chr1,12800001,12900000,100000,*,20774,147982,7.12342351015693
chr1,12900001,13000000,100000,*,24546,233519,9.51352562535647
chr1,13000001,13100000,100000,*,2880,7977,2.76979166666667
chr1,13100001,13200000,100000,*,26757,211650,7.91007960533692
chr1,13200001,13300000,100000,*,33657,305664,9.08173634013727
chr1,13300001,13400000,100000,*,30258,242800,8.02432414568048
chr1,13400001,13500000,100000,*,29448,252453,8.5728402607987
chr1,13500001,13600000,100000,*,34366,315105,9.16909154396788
chr1,13600001,13700000,100000,*,33522,342362,10.2130541137164
chr1,13700001,13800000,100000,*,31042,274188,8.83280716448682
chr1,13800001,13900000,100000,*,31707,355847,11.2229791528685
chr1,13900001,14000000,100000,*,19863,161187,8.11493732064643
chr1,14000001,14100000,100000,*,28839,275736,9.56121918235722
chr1,14100001,14200000,100000,*,24596,275731,11.2104000650512
chr1,14200001,14300000,100000,*,32644,310972,9.52616100968019
chr1,14300001,14400000,100000,*,20116,146294,7.2725193875522
chr1,14400001,14500000,100000,*,30429,308786,10.1477537875053
chr1,14500001,14600000,100000,*,22483,215880,9.60192145176356
chr1,14600001,14700000,100000,*,30536,338814,11.0955593397957
chr1,14700001,14800000,100000,*,35265,354891,10.063547426627
chr1,14800001,14900000,100000,*,29980,270671,9.0283855903936
chr1,14900001,15000000,100000,*,19000,157205,8.27394736842105
chr1,15000001,15100000,100000,*,25798,230307,8.92731994728273
chr1,15100001,15200000,100000,*,31507,292286,9.27685911067382
chr1,15200001,15300000,100000,*,21957,182678,8.31980689529535
chr1,15300001,15400000,100000,*,23351,191623,8.2062010192283
chr1,15400001,15500000,100000,*,31980,321381,10.0494371482176
chr1,15500001,15600000,100000,*,28480,308703,10.8392907303371
chr1,15600001,15700000,100000,*,27755,265653,9.57135651234012
chr1,15700001,15800000,100000,*,26710,223483,8.36701609883939
chr1,15800001,15900000,100000,*,27656,274856,9.9383858837142
chr1,15900001,16000000,100000,*,32904,329281,10.0073243374666
chr1,16000001,16100000,100000,*,34099,345090,10.1202381301504
chr1,16100001,16200000,100000,*,30349,307346,10.1270552571749
chr1,16200001,16300000,100000,*,12036,84663,7.03414755732802
chr1,16300001,16400000,100000,*,12209,109048,8.93177164386928
chr1,16400001,16500000,100000,*,28598,321610,11.2458913210714
chr1,16500001,16600000,100000,*,30681,321830,10.4895537955086
chr1,16600001,16700000,100000,*,25139,256935,10.2205736107244
chr1,16700001,16800000,100000,*,32833,307083,9.35287667895106
chr1,16800001,16900000,100000,*,31607,309939,9.8060239820293
chr1,16900001,17000000,100000,*,31822,318917,10.0219030859154
chr1,17000001,17100000,100000,*,31647,293881,9.2862198628622
chr1,17100001,17200000,100000,*,31820,299412,9.4095537397863
chr1,17200001,17300000,100000,*,27881,256798,9.2105017754026
chr1,17300001,17400000,100000,*,23990,197966,8.25202167569821
chr1,17400001,17500000,100000,*,33161,294772,8.88911673351226
chr1,17500001,17600000,100000,*,28395,258116,9.09019193519986
chr1,17600001,17700000,100000,*,33606,280737,8.35377611140868
chr1,17700001,17800000,100000,*,28307,278555,9.84049881654714
chr1,17800001,17900000,100000,*,25497,218360,8.56414480134918
