geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022368	chr16	269745	272745	272540	273171	205	decrease
AlMed_G024717	chr16	18691368	18693652	18693641	18693887	11	decrease
AlMed_G024286	chr16	16550652	16554543	16554266	16555004	277	decrease
AlMed_G023581	chr16	12855847	12859343	12855642	12856196	350	decrease
AlMed_G022369	chr16	272816	274867	272540	273171	356	decrease
AlMed_G023491	chr16	12345331	12349768	12345642	12346288	646	increase
AlMed_G023338	chr16	11427090	11427614	11427424	11427836	190	decrease
AlMed_G022712	chr16	2500600	2557378	2554642	2554808	166	decrease
AlMed_G023377	chr16	11649006	11659790	11652979	11654687	1708	decrease
AlMed_G024128	chr16	15843665	15845460	15843186	15843892	228	decrease
AlMed_G022496	chr16	1015278	1015882	1015865	1016398	17	decrease
AlMed_G003023	chr9	13858736	13860066	13859286	13859760	474	decrease
AlMed_G002908	chr9	13080017	13084990	13082560	13083121	561	decrease
AlMed_G002988_AlMed_G002989	chr9	13662584	13690064	13681003	13681422	419	decrease
AlMed_G001368	chr9	5619684	5620142	5619612	5619703	20	decrease
AlMed_G000184	chr9	753641	754626	754259	754882	367	decrease
AlMed_G000041	chr9	193456	197929	195863	196453	590	decrease
AlMed_G002520_AlMed_G002521	chr9	10806438	10818281	10809306	10809685	379	decrease
AlMed_G004303	chr9	27000113	27002366	27000573	27001122	549	increase
AlMed_G003934	chr9	24813566	24816288	24813715	24813883	168	decrease
AlMed_G003795	chr9	23835949	23837751	23837332	23837853	419	decrease
AlMed_G003277	chr9	15776449	15780833	15776864	15777668	804	decrease
AlMed_G001314	chr9	5381698	5383616	5382697	5382933	236	increase
AlMed_G000185	chr9	754717	756261	754259	754882	166	decrease
AlMed_G003444	chr9	17334125	17339451	17337087	17337130	43	decrease
AlMed_G000985	chr9	3969765	3972487	3970899	3970925	26	increase
AlMed_G000026_AlMed_G000027	chr9	100718	125058	118602	118987	385	decrease
AlMed_G001623	chr9	6654310	6657259	6655661	6655805	144	decrease
AlMed_G001271	chr9	5197377	5204644	5203794	5203873	79	decrease
AlMed_G003217	chr9	15285850	15292099	15288427	15289449	1022	decrease
AlMed_G009878	chr14	4895304	4895886	4895881	4897114	5	decrease
AlMed_G011906	chr14	22912254	22914491	22914376	22914999	115	decrease
AlMed_G009232	chr14	2202646	2207359	2204065	2205107	1042	decrease
AlMed_G009879	chr14	4895919	4896443	4895881	4897114	525	decrease
AlMed_G011217	chr14	11866716	11872060	11866830	11867528	698	decrease
AlMed_G011699	chr14	21487546	21489952	21488636	21489334	698	decrease
AlMed_G009664_AlMed_G009665	chr14	3993936	3997771	3994947	3996485	1538	decrease
AlMed_G009025	chr14	1322021	1327375	1325560	1326079	519	decrease
AlMed_G009620	chr14	3785796	3789196	3787966	3788436	470	decrease
AlMed_G011194	chr14	11741627	11741821	11741546	11741868	195	decrease
AlMed_G008904	chr14	800075	800278	800015	800615	204	decrease
AlMed_G009781	chr14	4489981	4493784	4491825	4492539	714	decrease
AlMed_G011198	chr14	11767417	11769406	11767008	11767439	23	decrease
AlMed_G011115	chr14	11195829	11196869	11196813	11196936	56	decrease
AlMed_G011907	chr14	22914911	22916279	22914376	22914999	89	decrease
AlMed_G010059	chr14	5649790	5651223	5651189	5651772	34	decrease
AlMed_G011700	chr14	21488427	21491882	21488636	21489334	698	decrease
AlMed_G011204	chr14	11793998	11795899	11795350	11795736	386	decrease
AlMed_G010782	chr14	8938495	8940088	8939633	8940237	455	decrease
AlMed_G014431	chr11	7972532	7974976	7974082	7974867	785	decrease
AlMed_G015355_AlMed_G015356	chr11	14024576	14047294	14027066	14027679	613	decrease
AlMed_G015421	chr11	14918362	14922096	14919778	14920359	581	decrease
AlMed_G015370_AlMed_G015371	chr11	14310370	14328490	14317283	14318393	1110	decrease
AlMed_G015232	chr11	13106970	13108444	13108334	13108669	110	decrease
AlMed_G015544	chr11	21495117	21503679	21499914	21500335	421	decrease
AlMed_G014783_AlMed_G014784	chr11	9779143	9784977	9783108	9783917	809	decrease
AlMed_G015123	chr11	11885194	11889631	11886256	11886617	361	decrease
AlMed_G014443	chr11	8020475	8020915	8020678	8021325	237	decrease
AlMed_G015334_AlMed_G015330	chr11	13792794	13847183	13843772	13844679	907	decrease
AlMed_G015247_AlMed_G015246	chr11	13195006	13209589	13199825	13201221	1396	decrease
AlMed_G015746_AlMed_G015747	chr11	23557747	23567014	23560198	23560972	774	decrease
AlMed_G014569	chr11	8624603	8625858	8624015	8624766	164	decrease
AlMed_G013558	chr11	4311244	4315711	4312875	4313093	218	decrease
AlMed_G017213	chr12	13405375	13415349	13413520	13413967	447	decrease
AlMed_G018641	chr12	21483038	21484032	21482724	21483385	348	decrease
AlMed_G018853	chr12	22449733	22450723	22449737	22450282	545	decrease
AlMed_G016276	chr12	345644	347967	346665	347033	368	decrease
AlMed_G016378	chr12	909058	913671	910630	911636	1006	decrease
AlMed_G017112	chr12	12456769	12472429	12460113	12460567	454	decrease
AlMed_G016630	chr12	2751846	2755730	2755085	2755714	629	decrease
AlMed_G017690	chr12	16530500	16533079	16531159	16531474	315	decrease
AlMed_G017694	chr12	16552180	16555133	16551723	16552220	41	decrease
AlMed_G017654	chr12	16355838	16358597	16357534	16358022	488	decrease
AlMed_G017718	chr12	16656651	16661302	16658290	16659344	1054	decrease
AlMed_G017032	chr12	11536700	11537796	11536556	11537088	389	decrease
AlMed_G017977	chr12	18018641	18021415	18020806	18021185	379	decrease
AlMed_G017869	chr12	17459127	17460220	17458734	17459336	210	decrease
AlMed_G020853_AlMed_G020854	chr13	16233966	16240570	16237365	16238879	1514	decrease
AlMed_G019395	chr13	100660	105285	101003	101532	529	decrease
AlMed_G019462	chr13	440307	443763	440992	441359	367	decrease
AlMed_G019913	chr13	2894134	2894889	2894379	2895166	510	decrease
AlMed_G020886	chr13	16387687	16389211	16387804	16388517	713	decrease
AlMed_G020717	chr13	15446083	15447956	15447934	15448603	22	decrease
AlMed_G019996	chr13	3376121	3377099	3376408	3377030	622	decrease
AlMed_G020875	chr13	16320938	16322621	16321761	16322641	860	decrease
AlMed_G020143	chr13	4679971	4682446	4681067	4681404	337	decrease
AlMed_G020352_AlMed_G020356	chr13	12746818	12786109	12776122	12776464	342	decrease
AlMed_G020979	chr13	16858518	16860506	16858699	16859285	586	decrease
AlMed_G020710	chr13	15388617	15389284	15389079	15389757	205	decrease
AlMed_G020902	chr13	16474530	16476531	16474001	16474637	108	decrease
AlMed_G020751	chr13	15642376	15645713	15643947	15644590	643	decrease
AlMed_G020815	chr13	15991637	15996499	15994781	15995429	648	decrease
AlMed_G020106	chr13	4302924	4309204	4306684	4307406	722	decrease
AlMed_G022217	chr13	22753564	22757195	22754225	22754355	130	decrease
AlMed_G007292	chr15	12437600	12440057	12438983	12439623	640	decrease
AlMed_G008151	chr15	23901109	23916373	23899971	23901240	132	decrease
AlMed_G005687_AlMed_G005688	chr15	4970540	4977168	4971822	4972387	565	decrease
AlMed_G006675	chr15	9176352	9177319	9175904	9176574	223	increase
AlMed_G006262	chr15	7463821	7464558	7464191	7464849	367	decrease
AlMed_G005710	chr15	5105689	5108538	5106578	5107167	589	decrease
AlMed_G007343_AlMed_G007344	chr15	12745728	12765499	12752530	12752804	274	decrease
AlMed_G007343_AlMed_G007344	chr15	12745728	12765499	12754046	12754440	394	decrease
AlMed_G007343_AlMed_G007344	chr15	12745728	12765499	12762148	12762667	519	decrease
AlMed_G007413	chr15	13154365	13154677	13153424	13154993	313	decrease
AlMed_G008046	chr15	22850755	22851157	22851061	22851531	96	decrease
AlMed_G008109	chr15	23516544	23529802	23523427	23525043	1616	decrease
AlMed_G007284	chr15	12406912	12407224	12406533	12407428	313	decrease
AlMed_G007782_AlMed_G007783	chr15	16363641	16369449	16366204	16366982	778	decrease
AlMed_G007782_AlMed_G007783	chr15	16363641	16369449	16369050	16369375	325	decrease
AlMed_G007247_AlMed_G007248	chr15	12246076	12253070	12250333	12251104	771	decrease
AlMed_G008010	chr15	22037166	22038209	22037051	22037580	415	decrease
AlMed_G006822	chr15	9955047	9959791	9957140	9958168	1028	decrease
AlMed_G007446	chr15	13411438	13420202	13414370	13415058	688	decrease
AlMed_G007775	chr15	16315394	16317935	16316707	16317054	347	decrease
AlMed_G008111	chr15	23534349	23537906	23534962	23535724	762	decrease
AlMed_G005173	chr15	2728053	2733299	2729070	2729562	492	decrease
AlMed_G008086	chr15	23263738	23266044	23264980	23266594	1064	increase
AlMed_G006224	chr15	7315595	7322166	7316139	7316775	636	decrease
AlMed_G006224	chr15	7315595	7322166	7320541	7321052	511	decrease
AlMed_G005269	chr15	3182405	3201359	3197580	3198240	660	decrease
AlMed_G008041	chr15	22786412	22796837	22794749	22795505	756	decrease
AlMed_G008257	chr15	24697866	24701222	24700690	24700788	98	decrease
AlMed_G026044	chr10	6261553	6275485	6270402	6271126	724	decrease
AlMed_G026035_AlMed_G026038	chr10	6118350	6189270	6123247	6123884	637	decrease
AlMed_G026035_AlMed_G026038	chr10	6118350	6189270	6137972	6138415	443	decrease
AlMed_G025117	chr10	53243	57361	54261	54316	55	decrease
AlMed_G026556	chr10	14304905	14305937	14304781	14305371	467	decrease
AlMed_G026457	chr10	13423662	13425334	13423128	13423682	21	decrease
AlMed_G025299	chr10	968172	970268	966645	969832	1661	increase
AlMed_G026614	chr10	14657042	14664189	14658133	14658558	425	decrease
AlMed_G027550	chr10	19518938	19520954	19518535	19519258	321	decrease
AlMed_G025949	chr10	5352870	5354110	5353838	5354446	272	decrease
AlMed_G027423	chr10	18883050	18884787	18883684	18884635	951	increase
AlMed_G026533	chr10	14058365	14083470	14073127	14073893	766	decrease
AlMed_G026193_AlMed_G026198	chr10	10525985	10573485	10536513	10536909	396	decrease
AlMed_G026393	chr10	12829746	12833786	12830932	12831241	309	decrease
AlMed_G026678	chr10	15003585	15004683	15004450	15004939	233	decrease
AlMed_G026151_AlMed_G026160	chr10	10127448	10192629	10137395	10137549	154	decrease
