geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022753	chr16	2855839	2856279	2855751	2856175	337	increase
AlMed_G024462	chr16	17476960	17479727	17477629	17478177	548	decrease
AlMed_G023330	chr16	11369327	11369844	11369271	11370031	518	increase
AlMed_G001013	chr9	4074545	4075713	4075420	4075623	203	increase
AlMed_G000747	chr9	2983661	2987526	2985612	2985898	286	decrease
AlMed_G000749	chr9	2989427	2990386	2989447	2990470	939	increase
AlMed_G002947	chr9	13285358	13288526	13285199	13285405	48	decrease
AlMed_G003023	chr9	13858736	13860066	13859439	13860034	595	decrease
AlMed_G003617	chr9	21914447	21917260	21916284	21916716	432	decrease
AlMed_G004558	chr9	28400518	28406452	28400745	28401116	371	increase
AlMed_G004124	chr9	25969516	25971326	25969672	25970679	1007	increase
AlMed_G004303	chr9	27000113	27002366	27002061	27002103	42	increase
AlMed_G003934	chr9	24813566	24816288	24813737	24814153	416	decrease
AlMed_G004537	chr9	28310321	28312447	28310453	28310631	178	increase
AlMed_G001314	chr9	5381698	5383616	5382842	5383898	774	increase
AlMed_G003664	chr9	22394600	22397317	22395034	22395142	108	decrease
AlMed_G001544	chr9	6306281	6309780	6307308	6307999	691	increase
AlMed_G004179	chr9	26268532	26273405	26269083	26269326	243	increase
AlMed_G002664	chr9	11637960	11638937	11637744	11638743	784	increase
AlMed_G004368	chr9	27365751	27400483	27390820	27391304	484	increase
AlMed_G002329	chr9	9770523	9778139	9776045	9776272	227	increase
AlMed_G009878	chr14	4895304	4895886	4895740	4896525	146	increase
AlMed_G012249	chr14	24944578	24946183	24944072	24944877	300	decrease
AlMed_G009879	chr14	4895919	4896443	4895740	4896525	525	increase
AlMed_G009620	chr14	3785796	3789196	3788002	3788371	369	decrease
AlMed_G011973	chr14	23436338	23439355	23436402	23436759	357	increase
AlMed_G011771	chr14	22075506	22079846	22076025	22077494	1469	increase
AlMed_G010922	chr14	9767307	9770407	9769502	9770259	757	increase
AlMed_G009476	chr14	3207807	3209562	3208101	3208603	502	decrease
AlMed_G015115	chr11	11828057	11829718	11827893	11828422	366	decrease
AlMed_G015079	chr11	11642216	11644891	11644788	11645297	103	decrease
AlMed_G015024	chr11	11159946	11164186	11163541	11164184	643	increase
AlMed_G012764	chr11	1196699	1198868	1196406	1198315	1617	increase
AlMed_G013356	chr11	3531946	3534702	3532174	3532299	125	increase
AlMed_G016912	chr12	6117477	6118709	6117348	6118527	1051	decrease
AlMed_G020634	chr13	14944339	14945151	14944836	14945482	315	increase
AlMed_G020299	chr13	12216733	12218282	12217999	12218229	230	increase
AlMed_G019395	chr13	100660	105285	101062	101546	484	decrease
AlMed_G020875	chr13	16320938	16322621	16321101	16321620	519	decrease
AlMed_G022010_AlMed_G022011	chr13	21778251	21785357	21780813	21780891	78	decrease
AlMed_G007777_AlMed_G007778	chr15	16331309	16337034	16330676	16332414	1106	increase
AlMed_G005165	chr15	2707452	2708301	2708168	2708512	133	decrease
AlMed_G005105	chr15	2446129	2448420	2446046	2446469	341	decrease
AlMed_G006675	chr15	9176352	9177319	9175723	9176581	230	increase
AlMed_G006796	chr15	9815132	9821054	9815126	9815253	122	increase
AlMed_G006813	chr15	9906580	9907936	9906155	9906857	278	increase
AlMed_G008608	chr15	27049732	27051915	27049290	27049892	161	increase
AlMed_G005156	chr15	2669444	2670399	2669497	2669762	265	increase
AlMed_G007779	chr15	16344480	16349661	16345043	16345507	464	increase
AlMed_G007599	chr15	14436981	14438517	14437637	14438325	688	increase
AlMed_G007780	chr15	16353524	16354385	16353130	16354377	854	increase
AlMed_G006083	chr15	6780770	6784402	6780229	6781499	730	increase
AlMed_G004644	chr15	264939	266108	265009	265452	443	decrease
AlMed_G006508	chr15	8433721	8434088	8433643	8434237	368	decrease
AlMed_G007602	chr15	14489800	14492993	14489745	14490591	792	increase
AlMed_G007536	chr15	14017324	14017841	14017351	14018146	490	increase
AlMed_G008086	chr15	23263738	23266044	23264213	23267765	1831	increase
AlMed_G007802	chr15	16724721	16725448	16723658	16726588	728	increase
AlMed_G025850	chr10	4500873	4503795	4500788	4501140	268	decrease
AlMed_G027763	chr10	20573610	20574579	20573527	20574433	824	increase
AlMed_G026583	chr10	14446166	14452665	14449805	14450343	538	increase
AlMed_G026868	chr10	16189988	16192011	16191957	16193068	54	increase
AlMed_G025809	chr10	4090402	4091503	4090617	4091097	480	increase
AlMed_G025778	chr10	3873670	3876599	3874043	3874965	922	increase
AlMed_G026186	chr10	10406477	10407204	10406497	10407006	509	increase
AlMed_G026079	chr10	6630442	6630839	6629792	6630841	398	decrease
AlMed_G027550	chr10	19518938	19520954	19519738	19520415	677	decrease
AlMed_G025819	chr10	4173124	4174757	4174386	4175012	371	increase
AlMed_G025154	chr10	212994	214475	213554	213796	242	increase
AlMed_G026199	chr10	10635332	10641396	10640478	10641289	811	increase
AlMed_G027423	chr10	18883050	18884787	18883854	18884560	706	increase
AlMed_G027061	chr10	17132115	17134567	17133042	17133655	613	decrease
