seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
chr6,9840854,9853736,12883,*,2949,575.766309526744,0.647994921665572,108.70564870597,1.23513209737781e-05,7.18622311201638e-05,22248211,22251159,2949
chr11,20675546,20679480,3935,*,978,213.755377458747,0.919187407691688,108.02415211895,1.23513209737781e-05,7.18622311201638e-05,41721540,41722517,978
chr8,22046311,22051700,5390,*,1142,326.791136514352,1.02331010235779,104.685558813041,1.23513209737781e-05,7.18622311201638e-05,31944971,31946112,1142
chr8,25962276,25968305,6030,*,1743,516.129576235647,-0.86436783478563,-95.4152465713736,1.23513209737781e-05,7.18622311201638e-05,32645479,32647221,1743
chr1,28448848,28454735,5888,*,1576,327.790331827329,-0.736244329160051,-94.4767097011407,1.23513209737781e-05,7.18622311201638e-05,4419239,4420814,1576
chr16,9850074,9860578,10505,*,2234,548.6754438622,-0.727023262006696,-90.650740445903,1.23513209737781e-05,7.18622311201638e-05,55729501,55731734,2234
chr7,5278140,5284685,6546,*,1537,323.215341812244,-0.716667869933289,-88.6655606356211,1.23513209737781e-05,7.18622311201638e-05,25853044,25854580,1537
chr8,23044892,23051519,6628,*,1648,511.339701508293,-0.855898828055079,-87.2639382227554,1.23513209737781e-05,7.18622311201638e-05,32126684,32128331,1648
chr8,25114688,25118241,3554,*,1006,227.573076310462,0.844377131194003,84.9296138082105,1.23513209737781e-05,7.18622311201638e-05,32502152,32503157,1006
chr10,10099798,10104625,4828,*,1003,240.034691929688,-0.836578863610666,-84.155253245351,1.23513209737781e-05,7.18622311201638e-05,37584290,37585292,1003
chr5,22901633,22907282,5650,*,1512,472.360470578787,-0.903060234737285,-83.9061182670519,1.23513209737781e-05,7.18622311201638e-05,20162848,20164359,1512
chr1,3255509,3261324,5816,*,1439,260.681982938001,0.685469562453277,82.5237487454784,1.23513209737781e-05,7.18622311201638e-05,566149,567587,1439
chr2,1751217,1757100,5884,*,1727,453.496601060103,-0.767833911652035,-82.0282088516841,1.23513209737781e-05,7.18622311201638e-05,5766459,5768185,1727
chr16,14726667,14731589,4923,*,1388,246.257333033513,0.688098418048779,81.3268437116423,1.23513209737781e-05,7.18622311201638e-05,56438982,56440369,1388
chr5,13551857,13556253,4397,*,1206,341.603224297889,-1.0025790661317,-81.1717436715447,1.23513209737781e-05,7.18622311201638e-05,18596516,18597721,1206
chr1,16826025,16832457,6433,*,1566,463.9373789023,-0.81502877837757,-80.5429613444904,1.23513209737781e-05,7.18622311201638e-05,2983037,2984602,1566
chr1,26977286,26983537,6252,*,1500,418.207924563077,-0.873335085014027,-80.3569992380791,1.23513209737781e-05,7.18622311201638e-05,4178510,4180009,1500
chr8,2113834,2118782,4949,*,1427,363.661049296431,0.802401774237991,80.09822167842,1.23513209737781e-05,7.18622311201638e-05,29607813,29609239,1427
chr2,8495791,8501617,5827,*,1495,263.315639889025,-0.634989729284228,-78.7593654672262,1.23513209737781e-05,7.18622311201638e-05,6614742,6616236,1495
chr6,24934686,24938853,4168,*,758,159.207755977439,0.841128768539642,78.5922156644426,1.23513209737781e-05,7.18622311201638e-05,24441710,24442467,758
chr13,15019264,15022663,3400,*,868,288.987753674326,-1.0245264931178,-78.4171734706426,1.23513209737781e-05,7.18622311201638e-05,46624454,46625321,868
chr9,24314281,24320123,5843,*,1733,419.186395823676,0.777180425435588,76.416258938901,1.23513209737781e-05,7.18622311201638e-05,36022382,36024114,1733
chr6,5501861,5507274,5414,*,1549,406.115950152684,-0.761720943892164,-76.2102742388341,1.23513209737781e-05,7.18622311201638e-05,21567227,21568775,1549
chr16,13043198,13048345,5148,*,1034,285.123009167152,-0.85809812817237,-75.5097399557983,1.23513209737781e-05,7.18622311201638e-05,56186037,56187070,1034
chr1,11174071,11178255,4185,*,1114,183.77782968429,-0.644248012949436,-74.8628696065529,1.23513209737781e-05,7.18622311201638e-05,2092395,2093508,1114
chr11,2574217,2579129,4913,*,1305,309.767590768138,0.763456474689598,74.2983024357836,1.23513209737781e-05,7.18622311201638e-05,39644919,39646223,1305
chr3,2912457,2915607,3151,*,901,245.711045515712,-0.890888128361799,-74.1531947844365,1.23513209737781e-05,7.18622311201638e-05,9007329,9008229,901
chr12,459763,461892,2130,*,602,117.091609084314,0.832860090112321,74.1159189902171,1.23513209737781e-05,7.18622311201638e-05,42570088,42570689,602
chr12,16833082,16836834,3753,*,974,140.103047052556,0.628943163839416,74.0944084297967,1.23513209737781e-05,7.18622311201638e-05,44254523,44255496,974
chr13,17031587,17036546,4960,*,1408,296.135703107781,0.669638960267571,73.9993220863551,1.23513209737781e-05,7.18622311201638e-05,46923367,46924774,1408
chr5,17320689,17327064,6376,*,1743,384.422476458602,-0.681276607401526,-72.7691642890884,1.23513209737781e-05,7.18622311201638e-05,19146573,19148315,1743
