geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18246098	18247548	934	decrease
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551864	14551914	50	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972795	21972981	82	decrease
augustus_masked-chr4-processed-gene-198.24	chr4	19840010	19840786	19840095	19845310	691	increase
maker-chr4-augustus-gene-127.3	chr4	12781251	12784950	12783340	12784048	708	increase
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24511101	24511237	87	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930758	24931086	250	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222943	17226739	2724	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876143	2877433	1162	decrease
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22881912	22882499	587	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24192178	607	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3901250	3901893	643	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23267837	23269275	912	decrease
augustus_masked-chr4-processed-gene-42.7	chr4	4260416	4264618	4262238	4268078	2380	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716085	25717078	993	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681631	2683524	536	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21987278	21987727	364	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098348	5098643	256	decrease
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9389265	9389829	564	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19960025	19960935	910	increase
augustus_masked-chr4-processed-gene-30.6	chr4	3024361	3024711	3024288	3024662	302	decrease
maker-chr4-augustus-gene-28.41	chr4	2844805	2846487	2844252	2846987	1683	decrease
augustus_masked-chr4-processed-gene-223.2	chr4	22300823	22301451	22300399	22302986	629	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673276	19674103	642	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412767	8414151	1082	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486559	25490010	1407	decrease
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539262	1539504	212	increase
augustus_masked-chr4-processed-gene-23.0	chr4	2291365	2291811	2290856	2291925	447	decrease
maker-chr4-augustus-gene-151.0	chr4	15116477	15118001	15116945	15117321	376	decrease
augustus_masked-chr4-processed-gene-161.19	chr4	16099873	16100656	16099218	16099942	70	increase
augustus_masked-chr4-processed-gene-51.16	chr4	5136246	5139120	5137386	5138052	666	decrease
maker-chr4-augustus-gene-77.7	chr4	7738017	7738906	7738301	7739359	605	decrease
maker-chr4-augustus-gene-31.12	chr4	3102476	3104648	3103976	3105383	672	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16303734	16303929	17	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16305195	16305327	132	decrease
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510391	12511077	641	increase
augustus_masked-chr4-processed-gene-27.8	chr4	2710225	2710708	2710175	2712061	484	decrease
augustus_masked-chr4-processed-gene-216.20	chr4	21628377	21629794	21628680	21629444	764	decrease
augustus_masked-chr4-processed-gene-208.32	chr4	20843110	20846807	20846343	20846924	464	decrease
maker-chr4-augustus-gene-253.1	chr4	25317301	25317709	25317424	25318213	285	increase
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18602702	18603184	482	increase
augustus_masked-chr4-processed-gene-7.14	chr4	749262	750395	750311	751838	84	decrease
augustus_masked-chr4-processed-gene-157.8	chr4	15734969	15740878	15736893	15737218	325	increase
